event_id,strike,dip,rake,quality,fault_plane_uncertainty,aux_plane_uncertainty,num_p_pol,num_sp_ratios,polarity_misfit,prob_mech,sta_distribution_ratio,sp_misfit,mult_solution_flag,time,magnitude,origin_lat,origin_lon,origin_depth_km,horz_uncert_km,vert_uncert_km
2148509,115.7,39.1,90.3,A,13.0,11.5,60,0,6.4,99.0,56.0,0.0,False,1994-01-21 11:04:15,2.3,34.2425,-118.617667,18.13,0.07,0.1
2155068,161.7,38.3,139.0,A,21.2,21.5,34,0,3.4,93.8,58.1,0.0,False,1994-01-25 10:05:22,2.4,34.241167,-118.621167,18.54,0.03,0.09
3143312,107.7,38.7,92.7,A,22.5,25.8,30,0,8.2,89.0,70.3,0.0,False,1994-01-28 07:44:46,3.4,34.239167,-118.6215,18.96,0.09,0.18
3145744,162.9,50.2,144.6,A,23.1,26.6,33,0,9.5,82.6,65.9,0.0,False,1994-01-28 15:47:20,2.0,34.238167,-118.6105,17.79,0.06,0.09
3146815,133.9,42.7,113.6,A,11.7,11.7,73,0,11.8,100.0,57.0,0.0,False,1994-01-29 07:52:21,2.6,34.238333,-118.624667,19.2,0.09,0.12
3146907,142.5,51.6,122.2,A,23.6,25.4,23,0,9.0,87.5,68.5,0.0,False,1994-01-31 07:13:16,2.2,34.241833,-118.6155,17.92,0.05,0.1
3147167,136.5,45.1,102.2,A,14.4,16.2,55,0,6.4,99.3,61.4,0.0,False,1994-02-05 07:11:45,2.4,34.240167,-118.616667,18.2,0.04,0.06
3148018,169.0,38.3,134.4,A,15.0,16.3,46,0,9.8,99.3,60.9,0.0,False,1994-02-10 04:19:26,2.5,34.242167,-118.620167,18.31,0.05,0.06
3148047,163.5,49.5,138.0,A,16.0,19.7,39,0,6.4,96.7,67.8,0.0,False,1994-02-10 04:46:40,2.3,34.241167,-118.620167,18.45,0.05,0.1
3149674,126.0,40.3,100.5,A,16.5,11.8,50,0,8.0,100.0,61.6,0.0,False,1994-02-13 09:04:56,2.1,34.237833,-118.612833,17.74,0.03,0.03
3150301,136.3,33.1,120.4,C,23.1,30.1,32,0,20.8,79.8,69.3,0.0,False,1994-02-14 13:19:47,2.3,34.241667,-118.617167,17.96,0.07,0.13
3150490,119.2,40.1,93.1,A,24.0,20.4,57,0,9.0,90.0,67.2,0.0,False,1994-02-15 01:59:47,2.5,34.241667,-118.619,18.19,0.01,0.06
3150936,139.5,43.9,117.5,A,17.0,19.1,57,0,12.2,97.2,59.7,0.0,False,1994-02-15 04:10:52,2.0,34.239833,-118.621333,18.39,0.07,0.06
3150947,152.4,37.2,140.5,A,13.0,14.4,49,0,9.6,99.1,54.8,0.0,False,1994-02-15 21:13:54,2.3,34.239667,-118.615833,17.91,0.03,0.13
3151649,139.2,35.9,120.5,A,21.4,18.2,33,0,5.5,94.6,57.4,0.0,False,1994-02-20 19:35:21,1.9,34.237833,-118.611833,17.83,0.06,0.07
3152142,152.2,35.3,142.5,A,12.0,14.4,48,0,6.0,100.0,59.6,0.0,False,1994-03-14 10:02:19,2.2,34.239333,-118.618333,18.35,0.06,0.03
3152388,102.2,40.3,64.8,A,16.6,19.4,34,0,7.2,94.8,60.8,0.0,False,1994-03-18 08:27:27,2.2,34.2405,-118.617667,18.28,0.03,0.04
3152559,163.2,35.8,126.1,A,15.8,16.3,42,0,7.8,99.0,57.9,0.0,False,1994-03-20 00:11:12,2.5,34.241167,-118.615833,18.0,0.05,0.07
3153955,313.9,45.0,112.9,B,27.1,27.2,32,0,9.6,79.2,64.2,0.0,False,1994-03-22 13:07:33,2.3,34.239333,-118.615667,18.17,0.04,0.04
3158361,107.5,37.7,73.6,A,17.8,20.1,46,0,12.8,97.9,59.5,0.0,False,1994-03-24 11:23:51,1.7,34.240167,-118.618333,18.04,0.05,0.05
3159027,120.5,39.3,99.6,A,21.5,20.9,39,0,3.8,93.6,72.9,0.0,False,1994-07-26 02:58:20,2.6,34.239,-118.6115,17.78,0.05,0.14
3159267,117.7,41.4,85.9,A,16.2,16.8,44,0,5.8,100.0,68.2,0.0,False,1994-01-31 04:53:39,2.1,34.238167,-118.610667,17.44,0.09,0.13
3160206,166.9,37.9,147.3,B,24.0,26.5,31,0,11.2,86.2,59.9,0.0,False,1994-02-07 05:23:49,1.8,34.237333,-118.613,17.7,0.06,0.11
3177685,119.6,32.1,94.8,A,20.4,16.7,51,0,14.1,97.5,66.3,0.0,False,1994-02-08 02:07:08,2.6,34.238167,-118.606333,17.75,0.07,0.16
