event_id,strike,dip,rake,quality,fault_plane_uncertainty,aux_plane_uncertainty,num_p_pol,num_sp_ratios,polarity_misfit,prob_mech,sta_distribution_ratio,sp_misfit,mult_solution_flag,time,magnitude,origin_lat,origin_lon,origin_depth_km,horz_uncert_km,vert_uncert_km
2148509,113.3,40.1,95.9,B,18.8,14.3,43,0,16.5,99.3,53.5,0.0,False,1994-01-21 11:04:15,2.3,34.2425,-118.617667,18.13,0.07,0.1
2155068,158.0,50.1,138.9,B,24.5,23.6,28,0,0.0,87.7,48.4,0.0,False,1994-01-25 10:05:22,2.4,34.241167,-118.621167,18.54,0.03,0.09
3143312,135.4,46.7,143.0,A,17.5,21.4,26,0,10.7,96.7,67.0,0.0,False,1994-01-28 07:44:46,3.4,34.239167,-118.6215,18.96,0.09,0.18
3145744,150.8,43.6,125.6,B,27.5,35.6,27,0,15.9,69.3,59.7,0.0,True,1994-01-28 15:47:20,2.0,34.238167,-118.6105,17.79,0.06,0.09
3145744,167.6,85.9,-154.4,D,41.9,46.9,27,0,15.4,28.0,60.4,0.0,True,1994-01-28 15:47:20,2.0,34.238167,-118.6105,17.79,0.06,0.09
3146815,145.7,38.3,141.1,A,12.4,11.2,43,0,15.0,100.0,55.8,0.0,False,1994-01-29 07:52:21,2.6,34.238333,-118.624667,19.2,0.09,0.12
3146907,297.6,52.6,98.3,B,30.0,32.3,19,0,6.2,66.0,61.2,0.0,True,1994-01-31 07:13:16,2.2,34.241833,-118.6155,17.92,0.05,0.1
3146907,164.0,62.8,163.3,D,43.8,39.6,19,0,10.9,27.7,60.5,0.0,True,1994-01-31 07:13:16,2.2,34.241833,-118.6155,17.92,0.05,0.1
3147167,142.1,43.0,117.8,A,11.2,14.6,47,0,5.1,100.0,57.5,0.0,False,1994-02-05 07:11:45,2.4,34.240167,-118.616667,18.2,0.04,0.06
3148018,156.9,35.7,128.6,A,16.4,22.2,36,0,10.5,97.7,51.6,0.0,False,1994-02-10 04:19:26,2.5,34.242167,-118.620167,18.31,0.05,0.06
3148047,159.5,43.2,137.4,A,19.4,17.6,33,0,6.8,99.7,59.8,0.0,False,1994-02-10 04:46:40,2.3,34.241167,-118.620167,18.45,0.05,0.1
3149674,141.4,41.3,113.9,A,13.5,18.6,41,0,11.6,100.0,59.9,0.0,False,1994-02-13 09:04:56,2.1,34.237833,-118.612833,17.74,0.03,0.03
3150301,289.2,57.9,87.3,A,24.1,19.4,28,0,13.4,89.7,64.2,0.0,False,1994-02-14 13:19:47,2.3,34.241667,-118.617167,17.96,0.07,0.13
3150490,301.1,45.6,108.4,A,18.2,13.9,40,0,10.0,100.0,57.9,0.0,False,1994-02-15 01:59:47,2.5,34.241667,-118.619,18.19,0.01,0.06
3150936,135.7,42.0,121.9,A,16.0,15.4,38,0,6.6,99.7,61.0,0.0,False,1994-02-15 04:10:52,2.0,34.239833,-118.621333,18.39,0.07,0.06
3150947,157.6,47.6,138.1,A,17.0,15.1,39,0,9.2,100.0,52.6,0.0,False,1994-02-15 21:13:54,2.3,34.239667,-118.615833,17.91,0.03,0.13
3151649,288.5,55.8,81.1,A,25.1,23.2,26,0,0.0,87.7,56.0,0.0,False,1994-02-20 19:35:21,1.9,34.237833,-118.611833,17.83,0.06,0.07
3152142,278.8,63.2,66.1,A,19.1,19.1,39,0,6.2,98.7,61.2,0.0,False,1994-03-14 10:02:19,2.2,34.239333,-118.618333,18.35,0.06,0.03
3152388,159.1,49.9,142.2,B,28.0,26.5,26,0,10.1,80.0,58.2,0.0,False,1994-03-18 08:27:27,2.2,34.2405,-118.617667,18.28,0.03,0.04
3152559,155.8,41.8,127.2,A,17.4,18.6,32,0,7.8,99.3,53.3,0.0,False,1994-03-20 00:11:12,2.5,34.241167,-118.615833,18.0,0.05,0.07
3153955,315.9,50.2,120.9,B,26.1,24.6,27,0,0.0,85.7,60.4,0.0,False,1994-03-22 13:07:33,2.3,34.239333,-118.615667,18.17,0.04,0.04
3158361,144.9,43.5,125.8,A,18.2,15.8,34,0,9.6,100.0,51.2,0.0,False,1994-03-24 11:23:51,1.7,34.240167,-118.618333,18.04,0.05,0.05
3159267,137.0,50.6,117.5,A,17.0,16.7,35,0,0.0,99.7,57.4,0.0,False,1994-01-31 04:53:39,2.1,34.238167,-118.610667,17.44,0.09,0.13
3177685,142.1,49.2,125.7,A,19.2,19.0,31,0,6.1,97.3,52.2,0.0,False,1994-02-08 02:07:08,2.6,34.238167,-118.606333,17.75,0.07,0.16
