sta_code,source,count_correct,count_total,pol_accuracy,weight_correct,weight_total,weight_pol_accuracy
GHGB.01.EHZ,con_p,24,344,7.0,0.01275,3.93443,0.3
GSN.01.EHZ,con_p,10,188,5.3,0.00749,1.07544,0.7
AL1.--.DPZ,con_p,25,50,50.0,0.01914,0.14652,13.1
KFP.--.EHZ,con_p,2,12,16.7,0.01852,0.04087,45.3
HBW.--.DPZ,con_p,123,193,63.7,0.04115,0.06497,63.3
GCK.--.EHZ,con_p,26,49,53.1,0.27638,0.37281,74.1
RVIT.00.HHZ,con_p,109,214,50.9,0.31395,0.38011,82.6
HOPS.00.HHZ,con_p,60,82,73.2,0.76794,0.89708,85.6
KCPB.--.HHZ,con_p,241,352,68.5,3.10543,3.46642,89.6
KFP.01.EHZ,con_p,3,13,23.1,0.04447,0.04806,92.5
GGPC.01.EHZ,con_p,3,8,37.5,0.18094,0.1897,95.4
GNR.01.HNZ,con_p,155,224,69.2,1.17295,1.21494,96.5
KBN.--.EHZ,con_p,117,127,92.1,4.06885,4.17818,97.4
GPM.03.EHZ,con_p,59,82,72.0,0.44027,0.45098,97.6
GNR.01.EHZ,con_p,376,441,85.3,3.57762,3.65049,98.0
GFC.01.EHZ,con_p,34,37,91.9,0.92844,0.94515,98.2
GVV.--.EHZ,con_p,59,62,95.2,2.25848,2.28665,98.8
KIP.01.EHZ,con_p,211,222,95.0,1.32219,1.33264,99.2
GMR.01.HNZ,con_p,97,108,89.8,3.39193,3.41539,99.3
GRT.01.EHZ,con_p,51,55,92.7,2.02946,2.03796,99.6
DCMP.00.HHZ,con_p,402,448,89.7,4.9637,4.98038,99.7
PETY.00.HHZ,con_p,119,124,96.0,2.52461,2.53004,99.8
GBL.01.EHZ,con_p,62,65,95.4,0.55211,0.55339,99.8
GDCB.01.EHZ,con_p,199,201,99.0,0.59404,0.59477,99.9
GWW.01.EHZ,con_p,74,79,93.7,2.37483,2.37794,99.9
MNDO.00.HHZ,con_p,70,73,95.9,0.32116,0.3214,99.9
DCMP.00.HNZ,con_p,48,52,92.3,0.8781,0.87894,99.9
INGL.00.HHZ,con_p,491,491,100.0,9.03452,9.03452,100.0
GMR.01.EHZ,con_p,488,497,98.2,9.04491,9.04772,100.0
GWR.01.EHZ,con_p,478,478,100.0,8.73196,8.73196,100.0
BARR.00.HHZ,con_p,429,439,97.7,8.84422,8.84737,100.0
BONV.00.HHZ,con_p,322,326,98.8,3.91001,3.91057,100.0
KRK.01.EHZ,con_p,294,294,100.0,7.18998,7.18998,100.0
GHO.01.EHZ,con_p,250,254,98.4,4.67161,4.67165,100.0
GTC.--.EHZ,con_p,210,211,99.5,5.93746,5.93788,100.0
GWR.01.HNZ,con_p,97,98,99.0,2.65646,2.65664,100.0
KRK.01.HNZ,con_p,64,64,100.0,2.49966,2.49966,100.0
79668.10.HNZ,con_p,61,66,92.4,0.97288,0.97299,100.0
GRO.--.EHZ,con_p,40,40,100.0,1.66477,1.66477,100.0
