#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
BK|JCC||BHE|40.817451|-124.029549|27.2|0.0|90.0|0.0|STS-2,Velocity Sensor,STRECKEISEN|643286000.0|1.0|M/S|40.0|2004-09-02T18:00:00|2009-03-25T20:00:00
BK|JCC||BHN|40.817451|-124.029549|27.2|0.0|0.0|0.0|STS-2,Velocity Sensor,STRECKEISEN|646766000.0|1.0|M/S|40.0|2004-09-02T18:00:00|2009-03-25T20:00:00
BK|JCC||BHZ|40.817451|-124.029549|27.2|0.0|0.0|-90.0|STS-2,Velocity Sensor,STRECKEISEN|616875000.0|1.0|M/S|40.0|2004-09-02T18:00:00|2009-03-25T20:00:00
BK|JCC||HHE|40.817451|-124.029549|27.2|0.0|90.0|0.0|STS-2,Velocity Sensor,STRECKEISEN|636207000.0|1.0|M/S|80.0|2004-09-02T18:00:00|2009-03-25T20:00:00
BK|JCC||HHN|40.817451|-124.029549|27.2|0.0|0.0|0.0|STS-2,Velocity Sensor,STRECKEISEN|639649000.0|1.0|M/S|80.0|2004-09-02T18:00:00|2009-03-25T20:00:00
BK|JCC||HHZ|40.817451|-124.029549|27.2|0.0|0.0|-90.0|STS-2,Velocity Sensor,STRECKEISEN|610087000.0|1.0|M/S|80.0|2004-09-02T18:00:00|2009-03-25T20:00:00
NC|KCT||HHE|40.475567|-124.337486|378.0|0.0|90.0|0.0|Guralp-CMG-3ESPC|1176471000.0|1.0|M/S|100.0|2008-04-30T20:00:00|2010-11-02T17:00:00
NC|KCT||HHN|40.475567|-124.337486|378.0|0.0|0.0|0.0|Guralp-CMG-3ESPC|1176471000.0|1.0|M/S|100.0|2008-04-30T20:00:00|2010-11-02T17:00:00
NC|KCT||HHZ|40.475567|-124.337486|378.0|0.0|0.0|-90.0|Guralp-CMG-3ESPC|1176471000.0|1.0|M/S|100.0|2008-04-30T20:00:00|2010-11-02T17:00:00
NC|KCT||HNE|40.475567|-124.337486|378.0|0.0|90.0|0.0|Episensor|400000.14|1.0|M/S**2|100.0|2002-08-29T00:00:00|2010-11-02T17:00:00
NC|KCT||HNN|40.475567|-124.337486|378.0|0.0|0.0|0.0|Episensor|400000.14|1.0|M/S**2|100.0|2002-08-29T00:00:00|2010-11-02T17:00:00
NC|KCT||HNZ|40.475567|-124.337486|378.0|0.0|0.0|-90.0|Episensor|400000.14|1.0|M/S**2|100.0|2002-08-29T00:00:00|2010-11-02T17:00:00
NC|KHBB||HHE|40.659901|-123.219658|1864.0|0.0|90.0|0.0|CMG-40T-1,Velocity Sensor,GURALP|627451000.0|1.0|M/S|100.0|2006-09-26T00:00:00|2008-09-24T23:00:00
NC|KHBB||HHN|40.659901|-123.219658|1864.0|0.0|0.0|0.0|CMG-40T-1,Velocity Sensor,GURALP|627451000.0|1.0|M/S|100.0|2006-09-26T00:00:00|2008-09-24T23:00:00
NC|KHBB||HHZ|40.659901|-123.219658|1864.0|0.0|0.0|-90.0|CMG-40T-1,Velocity Sensor,GURALP|627451000.0|1.0|M/S|100.0|2006-09-26T00:00:00|2008-09-24T23:00:00
NC|KHBB||HNE|40.659901|-123.219658|1864.0|0.0|90.0|0.0|EPISENSOR ES-T,Accelerometer,KINEMETRICS|399922.0|1.0|M/S**2|100.0|2006-09-26T00:00:00|2010-11-03T19:00:00
