event_id,event_id2,station,location,channel,p_polarity,origin_latitude,origin_longitude,origin_depth_km
nc71100926,1,ME30,01,BHZ,1,40.9003333,-123.7216667,4.19
nc71100926,1,JCC,--,HHZ,-1,40.9003333,-123.7216667,4.19
nc71100926,1,ME31,01,BHZ,-1,40.9003333,-123.7216667,4.19
nc71100926,1,ME32,01,BHZ,-1,40.9003333,-123.7216667,4.19
nc71100926,1,ME33,01,BHZ,-1,40.9003333,-123.7216667,4.19
nc71100926,1,ME04,01,BHZ,-1,40.9003333,-123.7216667,4.19
nc71100926,1,ME29,01,BHZ,-1,40.9003333,-123.7216667,4.19
nc71100926,1,ME35,01,BHZ,-1,40.9003333,-123.7216667,4.19
nc71100926,1,ME34,01,BHZ,-1,40.9003333,-123.7216667,4.19
nc71100926,1,ME13,01,BHZ,-1,40.9003333,-123.7216667,4.19
nc71100926,1,ME27,01,BHZ,1,40.9003333,-123.7216667,4.19
nc71100926,1,ME37,01,BHZ,-1,40.9003333,-123.7216667,4.19
nc71100926,1,KRMB,--,HHZ,-1,40.9003333,-123.7216667,4.19
nc71100926,1,ME36,01,BHZ,-1,40.9003333,-123.7216667,4.19
nc71100926,1,ME39,01,BHZ,-1,40.9003333,-123.7216667,4.19
nc71100926,1,ME08,01,BHZ,-1,40.9003333,-123.7216667,4.19
nc71100926,1,ME09,01,BHZ,-1,40.9003333,-123.7216667,4.19
nc71100926,1,ME03,01,BHZ,-1,40.9003333,-123.7216667,4.19
nc71100926,1,ME38,01,BHZ,-1,40.9003333,-123.7216667,4.19
nc71100926,1,ME01,01,BHZ,-1,40.9003333,-123.7216667,4.19
nc71100926,1,WDC,--,HHZ,-1,40.9003333,-123.7216667,4.19
nc71100926,1,KSXB,--,HHZ,-1,40.9003333,-123.7216667,4.19
nc71100926,1,YBH,--,HH3,-1,40.9003333,-123.7216667,4.19
nc71100926,1,YBH,--,HHZ,-1,40.9003333,-123.7216667,4.19
nc71100926,1,GRO,--,EHZ,-1,40.9003333,-123.7216667,4.19
nc71100926,1,KCPB,--,HHZ,-1,40.9003333,-123.7216667,4.19
nc71100926,1,GVV,--,EHZ,1,40.9003333,-123.7216667,4.19
nc71100926,1,GASB,--,HHZ,-1,40.9003333,-123.7216667,4.19
nc71100926,1,GHM,--,EHZ,-1,40.9003333,-123.7216667,4.19
nc51197189,2,ME29,01,BHZ,-1,41.0988333,-123.2238333,35.504
nc51197189,2,ME09,01,BHZ,-1,41.0988333,-123.2238333,35.504
nc51197189,2,ME30,01,BHZ,1,41.0988333,-123.2238333,35.504
nc51197189,2,ME13,01,BHZ,-1,41.0988333,-123.2238333,35.504
nc51197189,2,KHBB,--,HHZ,-1,41.0988333,-123.2238333,35.504
nc51197189,2,KHMB,--,HHZ,1,41.0988333,-123.2238333,35.504
nc51197189,2,JCC,--,HHZ,1,41.0988333,-123.2238333,35.504
nc51197189,2,KRMB,--,HHZ,-1,41.0988333,-123.2238333,35.504
nc51197189,2,ME27,01,BHZ,-1,41.0988333,-123.2238333,35.504
nc51197189,2,ME31,01,BHZ,1,41.0988333,-123.2238333,35.504
nc51197189,2,ME01,01,BHZ,1,41.0988333,-123.2238333,35.504
nc51197189,2,ME32,01,BHZ,-1,41.0988333,-123.2238333,35.504
nc51197189,2,WDC,--,HHZ,-1,41.0988333,-123.2238333,35.504
nc51197189,2,ME03,01,BHZ,-1,41.0988333,-123.2238333,35.504
nc51197189,2,YBH,--,HHZ,1,41.0988333,-123.2238333,35.504
nc51197189,2,KSXB,--,HHZ,1,41.0988333,-123.2238333,35.504
nc51197189,2,ME08,01,BHZ,-1,41.0988333,-123.2238333,35.504
nc51197189,2,ME39,01,BHZ,1,41.0988333,-123.2238333,35.504
nc40216664,3,ME30,01,BHZ,-1,40.8358333,-123.4968333,27.755
nc40216664,3,KHMB,--,HHZ,1,40.8358333,-123.4968333,27.755
nc40216664,3,KHBB,--,HHZ,-1,40.8358333,-123.4968333,27.755
nc40216664,3,ME31,01,BHZ,1,40.8358333,-123.4968333,27.755
nc40216664,3,ME29,01,BHZ,1,40.8358333,-123.4968333,27.755
nc40216664,3,JCC,--,HHZ,1,40.8358333,-123.4968333,27.755
