station,location,channel,latitude,longitude,elevation
CM01A,--,EH1,40.722698,-123.985397,708.0
CM01A,--,EH2,40.722698,-123.985397,708.0
CM01A,--,EHZ,40.722698,-123.985397,708.0
CM02A,--,EHE,40.660801,-124.1688,122.0
CM02A,--,EHN,40.660801,-124.1688,122.0
CM02A,--,EHZ,40.660801,-124.1688,122.0
CM03A,--,EH1,40.602798,-123.959099,582.0
CM03A,--,EH2,40.602798,-123.959099,582.0
CM03A,--,EHZ,40.602798,-123.959099,582.0
CM04A,--,EHE,40.5826,-124.108803,111.0
CM04A,--,EHN,40.5826,-124.108803,111.0
CM04A,--,EHZ,40.5826,-124.108803,111.0
CM05A,--,EH1,40.5396,-124.239403,103.0
CM05A,--,EH2,40.5396,-124.239403,103.0
CM05A,--,EHZ,40.5396,-124.239403,103.0
CM06A,--,EHE,40.483101,-124.2286,649.0
CM06A,--,EHN,40.483101,-124.2286,649.0
CM06A,--,EHZ,40.483101,-124.2286,649.0
CM07A,--,EH1,40.473099,-124.084099,311.0
CM07A,--,EH2,40.473099,-124.084099,311.0
CM07A,--,EHZ,40.473099,-124.084099,311.0
CM08A,--,EHE,40.435001,-124.281502,417.0
CM08A,--,EHN,40.435001,-124.281502,417.0
CM08A,--,EHZ,40.435001,-124.281502,417.0
CM09A,--,EHE,40.3321,-124.330498,218.0
CM09A,--,EHN,40.3321,-124.330498,218.0
CM09A,--,EHZ,40.3321,-124.330498,218.0
CM10A,--,EHE,40.317101,-124.264503,68.0
CM10A,--,EHN,40.317101,-124.264503,68.0
CM10A,--,EHZ,40.317101,-124.264503,68.0
FS01B,--,BH1,40.326801,-124.949203,-940.0
FS01B,--,BH2,40.326801,-124.949203,-940.0
FS01B,--,BHZ,40.326801,-124.949203,-940.0
FS02B,--,HH1,40.351101,-124.797997,-1402.8
FS02B,--,HH2,40.351101,-124.797997,-1402.8
FS02B,--,HHZ,40.351101,-124.797997,-1402.8
FS02D,--,BH1,40.326,-124.800201,-947.9
FS02D,--,BH2,40.326,-124.800201,-947.9
FS02D,--,BHZ,40.326,-124.800201,-947.9
FS03B,--,HH1,40.273201,-124.652603,-345.0
FS03B,--,HH2,40.273201,-124.652603,-345.0
FS03B,--,HHZ,40.273201,-124.652603,-345.0
FS04B,--,HH1,40.244701,-124.509697,-159.0
FS04B,--,HH2,40.244701,-124.509697,-159.0
FS04B,--,HHZ,40.244701,-124.509697,-159.0
FS04D,--,BH1,40.2528,-124.505203,-155.0
FS04D,--,BH2,40.2528,-124.505203,-155.0
FS04D,--,BHZ,40.2528,-124.505203,-155.0
FS05B,--,BH1,40.3866,-124.899597,-2316.0
FS05B,--,BH2,40.3866,-124.899597,-2316.0
FS05B,--,BHZ,40.3866,-124.899597,-2316.0
FS06B,--,BH1,40.381199,-124.785301,-2198.0
FS06B,--,BH2,40.381199,-124.785301,-2198.0
FS06B,--,BHZ,40.381199,-124.785301,-2198.0
FS06D,--,BH1,40.369999,-124.806702,-1946.8
FS06D,--,BH2,40.369999,-124.806702,-1946.8
FS06D,--,BHZ,40.369999,-124.806702,-1946.8
FS07B,--,HH1,40.339199,-124.659599,-1297.0
FS07B,--,HH2,40.339199,-124.659599,-1297.0
FS07B,--,HHZ,40.339199,-124.659599,-1297.0
FS07D,--,BH1,40.337898,-124.6577,-1273.7
FS07D,--,BH2,40.337898,-124.6577,-1273.7
FS07D,--,BHZ,40.337898,-124.6577,-1273.7
FS08B,--,HH1,40.336601,-124.459801,-120.0
FS08B,--,HH2,40.336601,-124.459801,-120.0
FS08B,--,HHZ,40.336601,-124.459801,-120.0
FS08D,--,BH1,40.334702,-124.465302,-132.0
FS08D,--,BH2,40.334702,-124.465302,-132.0
FS08D,--,BHZ,40.334702,-124.465302,-132.0
FS09B,--,BH1,40.438702,-124.808502,-2161.0
FS09B,--,BH2,40.438702,-124.808502,-2161.0
FS09B,--,BHZ,40.438702,-124.808502,-2161.0
FS09D,--,BH1,40.437698,-124.803703,-2122.1
FS09D,--,BH2,40.437698,-124.803703,-2122.1
FS09D,--,BHZ,40.437698,-124.803703,-2122.1
FS10B,--,HH1,40.432999,-124.6819,-1076.0
FS10B,--,HH2,40.432999,-124.6819,-1076.0
FS10B,--,HHZ,40.432999,-124.6819,-1076.0
FS10D,--,BH1,40.4328,-124.694,-1153.8
FS10D,--,BH2,40.4328,-124.694,-1153.8
FS10D,--,BHZ,40.4328,-124.694,-1153.8
FS11B,--,HH1,40.429199,-124.577797,-132.0
FS11B,--,HH2,40.429199,-124.577797,-132.0
FS11B,--,HHZ,40.429199,-124.577797,-132.0
FS11D,--,HH1,40.428501,-124.577499,-150.0
FS11D,--,HH2,40.428501,-124.577499,-150.0
FS11D,--,HHZ,40.428501,-124.577499,-150.0
FS12B,--,HH1,40.437099,-124.505898,-60.0
FS12B,--,HH2,40.437099,-124.505898,-60.0
FS12B,--,HHZ,40.437099,-124.505898,-60.0
FS12D,--,HH1,40.445599,-124.510498,-55.0
FS12D,--,HH2,40.445599,-124.510498,-55.0
FS12D,--,HHZ,40.445599,-124.510498,-55.0
FS13B,--,HH1,40.493099,-124.806503,-2332.0
FS13B,--,HH2,40.493099,-124.806503,-2332.0
FS13B,--,HHZ,40.493099,-124.806503,-2332.0
FS13D,--,BH1,40.493698,-124.803398,-2291.2
FS13D,--,BH2,40.493698,-124.803398,-2291.2
FS13D,--,BHZ,40.493698,-124.803398,-2291.2
FS14B,--,BH1,40.495499,-124.591797,-107.0
FS14B,--,BH2,40.495499,-124.591797,-107.0
FS14B,--,BHZ,40.495499,-124.591797,-107.0
FS14D,--,HH1,40.492298,-124.603897,-145.0
FS14D,--,HH2,40.492298,-124.603897,-145.0
FS14D,--,HHZ,40.492298,-124.603897,-145.0
FS15B,--,HH1,40.492599,-124.512604,-52.0
FS15B,--,HH2,40.492599,-124.512604,-52.0
FS15B,--,HHZ,40.492599,-124.512604,-52.0
FS15D,--,HH1,40.496399,-124.524696,-56.0
FS15D,--,HH2,40.496399,-124.524696,-56.0
FS15D,--,HHZ,40.496399,-124.524696,-56.0
FS16B,--,HH1,40.538101,-124.739502,-1073.0
FS16B,--,HH2,40.538101,-124.739502,-1073.0
FS16B,--,HHZ,40.538101,-124.739502,-1073.0
FS16D,--,BH1,40.5378,-124.746803,-1080.4
FS16D,--,BH2,40.5378,-124.746803,-1080.4
FS16D,--,BHZ,40.5378,-124.746803,-1080.4
FS17B,--,HH1,40.559799,-124.596497,-146.0
FS17B,--,HH2,40.559799,-124.596497,-146.0
FS17B,--,HHZ,40.559799,-124.596497,-146.0
FS17D,--,HH1,40.559799,-124.597,-145.0
FS17D,--,HH2,40.559799,-124.597,-145.0
FS17D,--,HHZ,40.559799,-124.597,-145.0
FS18B,--,HH1,40.568199,-124.501602,-107.0
FS18B,--,HH2,40.568199,-124.501602,-107.0
FS18B,--,HHZ,40.568199,-124.501602,-107.0
FS19B,--,HH1,40.627899,-124.466698,-87.0
FS19B,--,HH2,40.627899,-124.466698,-87.0
FS19B,--,HHZ,40.627899,-124.466698,-87.0
FS20B,--,HH1,40.3895,-125.031097,-2378.0
FS20B,--,HH2,40.3895,-125.031097,-2378.0
FS20B,--,HHZ,40.3895,-125.031097,-2378.0
FS41D,--,BH1,40.6124,-124.731003,-1079.3
FS41D,--,BH2,40.6124,-124.731003,-1079.3
FS41D,--,BHZ,40.6124,-124.731003,-1079.3
FS42D,--,HH1,40.715099,-124.463097,-95.0
FS42D,--,HH2,40.715099,-124.463097,-95.0
FS42D,--,HHZ,40.715099,-124.463097,-95.0
FS43D,--,HH1,40.711899,-124.5839,-719.0
FS43D,--,HH2,40.711899,-124.5839,-719.0
FS43D,--,HHZ,40.711899,-124.5839,-719.0
FS44D,--,BH1,40.760899,-124.702797,-837.0
FS44D,--,BH2,40.760899,-124.702797,-837.0
