sta_code,source,count_correct,count_total,pol_accuracy,weight_correct,weight_total,weight_pol_accuracy
1580.01.HNZ,con_p,0,3,0.0,0.0,3.0,0.0
89464.10.HNZ,con_p,0,3,0.0,0.0,3.0,0.0
89509.--.HNZ,con_p,0,1,0.0,0.0,1.0,0.0
89781.--.HNZ,con_p,0,1,0.0,0.0,1.0,0.0
99640.--.HNZ,con_p,0,1,0.0,0.0,1.0,0.0
CM02A.--.EHZ,con_p,0,1,0.0,0.0,1.0,0.0
CM03A.--.EHZ,con_p,0,1,0.0,0.0,1.0,0.0
CM04A.--.EHZ,con_p,0,1,0.0,0.0,1.0,0.0
CM05A.--.EHZ,con_p,0,1,0.0,0.0,1.0,0.0
CM06A.--.EHZ,con_p,0,1,0.0,0.0,1.0,0.0
CM07A.--.EHZ,con_p,0,1,0.0,0.0,1.0,0.0
CM08A.--.EHZ,con_p,0,1,0.0,0.0,1.0,0.0
CM09A.--.EHZ,con_p,0,1,0.0,0.0,1.0,0.0
CM10A.--.EHZ,con_p,0,1,0.0,0.0,1.0,0.0
FS01B.--.BHZ,con_p,0,1,0.0,0.0,1.0,0.0
FS05B.--.BHZ,con_p,0,1,0.0,0.0,1.0,0.0
FS06B.--.BHZ,con_p,0,1,0.0,0.0,1.0,0.0
FS07D.--.BHZ,con_p,0,1,0.0,0.0,1.0,0.0
FS14D.--.HHZ,con_p,0,1,0.0,0.0,1.0,0.0
GHG.--.EHZ,con_p,0,2,0.0,0.0,2.0,0.0
K002.01.HNZ,con_p,0,2,0.0,0.0,2.0,0.0
K003.01.HNZ,con_p,0,1,0.0,0.0,1.0,0.0
K004.01.HNZ,con_p,0,1,0.0,0.0,1.0,0.0
KMPB.--.HHE,con_p,0,1,0.0,0.0,1.0,0.0
M02C.--.BHZ,con_p,0,1,0.0,0.0,1.0,0.0
M14B.--.BHZ,con_p,0,2,0.0,0.0,2.0,0.0
ME47.01.BHZ,con_p,0,1,0.0,0.0,1.0,0.0
89462.10.HNZ,con_p,1,4,25.0,1.0,4.0,25.0
KBS.02.EHZ,con_p,1,4,25.0,1.0,4.0,25.0
KCS.--.EHZ,con_p,1,4,25.0,1.0,4.0,25.0
B047.--.EHZ,con_p,5,15,33.3,5.0,15.0,33.3
89255.10.HNZ,con_p,2,6,33.3,2.0,6.0,33.3
89101.--.HNZ,con_p,1,3,33.3,1.0,3.0,33.3
89781.10.HNZ,con_p,1,3,33.3,1.0,3.0,33.3
GHO.--.EHZ,con_p,1,3,33.3,1.0,3.0,33.3
GVV.--.EHZ,con_p,1,3,33.3,1.0,3.0,33.3
GWR.--.EHZ,con_p,1,3,33.3,1.0,3.0,33.3
KCO.--.EHZ,con_p,1,3,33.3,1.0,3.0,33.3
ME53.01.BHZ,con_p,1,3,33.3,1.0,3.0,33.3
B935.--.EHZ,con_p,6,17,35.3,6.0,17.0,35.3
KPP.--.EHZ,con_p,3,8,37.5,3.0,8.0,37.5
1582.10.HNZ,con_p,2,5,40.0,2.0,5.0,40.0
