event_id,sta_code,p_polarity,event_id2,origin_lat,origin_lon,origin_depth_km,sr_dist_km,takeoff,azimuth,takeoff_uncertainty,azimuth_uncertainty,source,horz_uncert_km,vert_uncert_km,station_lat,station_lon,station_depth_km,pol_agreement,mech_quality,pol_agreement_weighted
1,ME63.01.BHZ,1.0,nan,40.8358333,-123.4968333,27.755,187.9,112.9956,154.1317,,,con_p,1.0,1.0,39.315399,-122.5224,-0.39,1.0,B,1.0
1,ME57.01.BHZ,1.0,nan,40.8358333,-123.4968333,27.755,129.112,103.4014,142.7344,,,con_p,1.0,1.0,39.9118,-122.567596,-0.266,0.0,B,0.0
1,ME07.01.BHZ,1.0,nan,40.8358333,-123.4968333,27.755,50.837,80.346,316.6002,,,con_p,1.0,1.0,41.167999,-123.912003,-0.681,1.0,B,1.0
1,ME04.01.BHZ,1.0,nan,40.8358333,-123.4968333,27.755,57.749,83.7969,358.5669,,,con_p,1.0,1.0,41.355,-123.514,-0.431,1.0,B,1.0
1,ME03.01.BHZ,-1.0,nan,40.8358333,-123.4968333,27.755,101.596,97.5713,341.4502,,,con_p,1.0,1.0,41.702,-123.880997,-0.283,1.0,B,1.0
1,ME01.01.BHZ,-1.0,nan,40.8358333,-123.4968333,27.755,104.753,98.2862,4.3037,,,con_p,1.0,1.0,41.7752,-123.403397,-0.337,0.0,B,0.0
1,KSXB.--.HHZ,-1.0,nan,40.8358333,-123.4968333,27.755,115.123,100.5581,343.8745,,,con_p,1.0,1.0,41.830379,-123.876884,-1.136,1.0,B,1.0
1,KRP.--.HHZ,1.0,nan,40.8358333,-123.4968333,27.755,56.943,83.4258,308.9365,,,con_p,1.0,1.0,41.157654,-124.0233,-0.813,1.0,B,1.0
1,KRMB.--.HHZ,-1.0,nan,40.8358333,-123.4968333,27.755,83.873,93.1582,335.6436,,,con_p,1.0,1.0,41.522957,-123.907974,-1.266,1.0,B,1.0
1,KMR.--.HHZ,1.0,nan,40.8358333,-123.4968333,27.755,72.681,90.3081,194.1919,,,con_p,1.0,1.0,40.202175,-123.708633,-0.915,1.0,B,1.0
1,KMPB.--.HHZ,1.0,nan,40.8358333,-123.4968333,27.755,70.161,89.9662,228.4318,,,con_p,1.0,1.0,40.417194,-124.120758,-0.938,1.0,B,1.0
1,KHMB.--.HHZ,1.0,nan,40.8358333,-123.4968333,27.755,20.301,48.4019,282.3073,,,con_p,1.0,1.0,40.874748,-123.73259,-1.501,0.0,B,0.0
1,KHBB.--.HHZ,-1.0,nan,40.8358333,-123.4968333,27.755,30.439,63.4155,129.9947,,,con_p,1.0,1.0,40.659901,-123.219658,-1.864,1.0,B,1.0
1,KCT.--.HHZ,1.0,nan,40.8358333,-123.4968333,27.755,81.284,92.6921,240.4714,,,con_p,1.0,1.0,40.475567,-124.337486,-0.378,1.0,B,1.0
1,KCPB.--.HHZ,1.0,nan,40.8358333,-123.4968333,27.755,128.03,103.2005,183.2241,,,con_p,1.0,1.0,39.68631,-123.58242,-1.261,1.0,B,1.0
1,GWR.--.EHZ,-1.0,nan,40.8358333,-123.4968333,27.755,182.018,112.5677,174.8067,,,con_p,1.0,1.0,39.205704,-123.301003,-0.654,0.0,B,0.0
1,GVV.--.EHZ,-1.0,nan,40.8358333,-123.4968333,27.755,136.704,104.9044,149.6374,,,con_p,1.0,1.0,39.775097,-122.675514,-1.457,1.0,B,1.0
1,GTS.--.EHZ,1.0,nan,40.8358333,-123.4968333,27.755,185.414,112.9487,156.0832,,,con_p,1.0,1.0,39.311611,-122.603378,-1.069,1.0,B,1.0
1,GRO.--.EHZ,1.0,nan,40.8358333,-123.4968333,27.755,123.566,102.3312,145.7939,,,con_p,1.0,1.0,39.916843,-122.671165,-1.261,0.0,B,0.0
1,GHM.--.EHZ,1.0,nan,40.8358333,-123.4968333,27.755,156.469,108.5043,162.286,,,con_p,1.0,1.0,39.495453,-122.930962,-1.456,1.0,B,1.0
1,GHG.--.EHZ,-1.0,nan,40.8358333,-123.4968333,27.755,198.142,112.9956,163.4121,,,con_p,1.0,1.0,39.128132,-122.824478,-0.871,0.0,B,0.0
1,GCW.--.EHZ,-1.0,nan,40.8358333,-123.4968333,27.755,192.86,112.9956,169.4484,,,con_p,1.0,1.0,39.13081,-123.077057,-1.05,0.0,B,0.0
1,YBH.--.HHZ,1.0,nan,40.8358333,-123.4968333,27.755,119.623,101.5505,33.5812,,,con_p,1.0,1.0,41.73204,-122.710388,-1.0597,1.0,B,1.0
1,WDC.--.HHZ,1.0,nan,40.8358333,-123.4968333,27.755,85.294,93.5232,109.493,,,con_p,1.0,1.0,40.57988,-122.54113,-0.26830000000000004,1.0,B,1.0
1,JCC.--.HHZ,1.0,nan,40.8358333,-123.4968333,27.755,44.865,76.6328,267.3886,,,con_p,1.0,1.0,40.817451,-124.029549,-0.0272,1.0,B,1.0
1,ME08.01.BHZ,1.0,nan,40.8358333,-123.4968333,27.755,70.14,89.9632,166.697,,,con_p,1.0,1.0,40.222,-123.305,-0.835,0.0,B,0.0
1,GASB.--.HHZ,1.0,nan,40.8358333,-123.4968333,27.755,146.856,106.7975,153.4255,,,con_p,1.0,1.0,39.654709,-122.71595,-1.3548,1.0,B,1.0
