event_id,strike,dip,rake,quality,fault_plane_uncertainty,aux_plane_uncertainty,num_p_pol,num_sp_ratios,polarity_misfit,prob_mech,sta_distribution_ratio,sp_misfit,mult_solution_flag
1,131.5581,52.8695,-113.4052,B,20.4576,19.8023,50,0,18.3,97.9,50.4,0.0,False
11,309.7103,72.9949,-158.9352,D,46.6117,36.1746,25,0,33.1,47.2,77.5,0.0,True
11,4.6885,34.3002,-89.5463,D,54.0135,36.1222,25,0,28.9,20.4,74.7,0.0,True
11,168.2537,68.8009,-153.0202,D,43.4271,53.2089,25,0,49.2,20.4,76.6,0.0,True
13,204.2894,40.3338,-85.2602,D,22.3149,25.672,23,0,45.3,95.7,40.7,0.0,False
14,23.7693,39.1308,164.865,D,53.0394,44.4247,23,0,35.9,35.8,70.5,0.0,True
14,141.8377,81.5456,146.4161,D,48.0798,55.4625,23,0,31.2,27.0,70.3,0.0,True
17,346.8972,75.4795,-152.5261,B,23.7188,30.7959,32,0,7.0,80.6,40.7,0.0,False
19,211.6716,39.8157,98.3425,D,45.8571,45.2031,44,0,38.3,39.8,79.7,0.0,False
2,308.6754,87.2624,-168.8018,B,27.4427,27.6821,49,0,19.2,73.6,59.3,0.0,False
20,132.3749,13.3967,-69.8368,B,16.0168,33.5008,50,0,18.8,75.4,42.4,0.0,False
21,318.5014,82.2388,-113.5008,C,20.9539,21.4762,52,0,23.0,94.2,42.5,0.0,False
22,136.9004,15.3611,-122.8887,D,49.6377,31.0143,43,0,24.3,46.8,58.0,0.0,True
22,19.8171,69.9838,-160.6254,D,49.5511,57.8534,43,0,41.4,21.8,58.6,0.0,True
23,243.0488,54.41,94.3014,D,45.651,48.1133,14,0,32.3,30.4,60.0,0.0,True
23,147.4779,46.3995,110.591,D,49.2422,49.022,14,0,32.2,20.0,60.1,0.0,True
27,206.7851,31.7381,-100.9369,C,29.4831,27.8115,42,0,22.0,78.5,42.9,0.0,False
28,52.6382,88.75,-80.5998,D,34.677,44.4247,31,0,31.4,42.0,64.9,0.0,False
29,155.0431,69.2995,-115.8477,D,36.0627,51.7144,33,0,32.1,38.0,69.6,0.0,True
29,263.2891,49.0654,-154.8141,D,55.6474,40.3024,33,0,28.1,28.6,69.8,0.0,True
3,69.6469,88.425,177.8529,D,40.8992,30.2627,35,0,6.3,48.0,52.2,0.0,True
3,296.0763,37.1698,-113.2557,D,49.8466,45.5797,35,0,8.1,23.8,52.3,0.0,True
3,77.3005,52.4132,-160.5895,D,41.9809,35.5101,35,0,6.1,21.8,52.4,0.0,True
30,127.3919,58.8853,-175.159,D,24.8852,30.9572,48,0,19.2,73.2,29.6,0.0,False
31,175.9591,86.4886,87.1431,C,27.3059,28.7445,67,0,20.1,78.2,65.0,0.0,False
32,282.1053,60.8464,-79.5336,C,33.2238,27.7058,18,0,13.7,69.0,35.6,0.0,False
33,186.7623,27.5534,-79.1677,C,29.5051,24.2849,37,0,21.5,83.6,39.9,0.0,False
34,295.3655,80.5755,-124.966,C,22.9297,26.2888,39,0,22.2,85.4,36.5,0.0,False
35,328.8219,76.8106,174.8923,C,19.8712,20.777,41,0,28.0,95.6,72.5,0.0,False
36,214.8831,48.5331,-65.977,C,30.7579,37.1023,31,0,22.1,56.2,41.8,0.0,True
36,145.5015,85.2303,-177.6336,D,43.8456,39.9977,31,0,29.5,22.2,41.8,0.0,True
37,197.2282,82.3794,-177.8891,C,26.4185,35.6641,50,0,17.3,54.0,39.5,0.0,False
38,346.0822,59.3381,-134.8489,B,18.2084,16.9497,44,0,18.3,100.0,43.3,0.0,False
39,340.307,35.7001,-110.9308,C,16.9254,21.7618,47,0,23.1,93.4,41.5,0.0,False
4,92.6694,61.2679,-154.8811,C,36.9092,40.5246,18,0,28.1,50.2,42.4,0.0,False
41,340.4127,72.3148,155.4715,C,19.5956,32.6018,41,0,22.3,83.3,78.0,0.0,False
42,98.962,69.4701,151.1307,C,19.8007,28.8426,76,0,28.3,82.4,74.3,0.0,False
43,173.6934,39.9849,-110.1111,B,18.9132,20.2651,58,0,17.6,97.2,44.0,0.0,False
44,212.8295,87.1698,154.1758,C,29.5607,29.3671,62,0,27.1,73.0,72.9,0.0,True
44,346.788,33.4559,83.4249,D,40.4071,46.1042,62,0,37.0,22.0,72.1,0.0,True
45,280.8053,82.9101,155.3618,C,33.7633,31.6161,46,0,27.5,66.5,63.3,0.0,True
45,157.7496,42.5838,-79.4097,D,62.8496,31.2692,46,0,29.4,25.7,64.1,0.0,True
46,116.9205,68.5987,-137.1711,B,25.9143,28.7728,58,0,16.2,74.0,80.2,0.0,False
47,348.1823,32.0382,-101.7657,C,19.2371,19.3264,28,0,7.9,99.4,39.1,0.0,False
5,345.7664,87.0069,-90.6535,C,29.4957,30.8667,37,0,22.9,79.0,72.9,0.0,False
6,263.1562,56.4068,-54.4037,D,38.6997,36.3599,33,0,37.8,55.4,41.0,0.0,False
7,129.1795,80.1948,-169.2558,C,14.7589,15.1303,38,0,27.9,98.0,83.0,0.0,False
9,241.4018,45.2387,-79.5077,C,37.1926,35.584,28,0,6.8,50.6,80.8,0.0,True
9,328.478,50.7704,-88.2093,D,42.8093,44.5994,28,0,6.7,30.0,80.5,0.0,True
