sta_code,source,count_correct,count_total,pol_accuracy,weight_correct,weight_total,weight_pol_accuracy
XX.ST011.--.EHZ,trad_p,0,1,0.0,0.0,1.0,0.0
XX.ST061.--.EHZ,trad_p,0,1,0.0,0.0,1.0,0.0
XX.ST101.--.EHZ,trad_p,0,1,0.0,0.0,1.0,0.0
XX.ST000.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST001.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST002.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST003.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST004.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST005.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST006.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST007.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST008.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST009.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST010.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST012.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST013.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST014.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST015.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST016.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST017.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST018.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST019.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST020.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST021.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST022.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST023.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST024.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST025.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST026.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST027.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST028.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST029.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST030.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST031.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST032.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST033.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST034.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST035.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST036.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST037.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST038.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST039.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST040.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST041.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST042.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST043.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST044.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST045.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST046.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST047.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST048.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST049.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST050.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST051.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST052.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST053.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST054.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST055.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST056.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST057.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST058.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST059.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST060.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
XX.ST062.--.EHZ,trad_p,1,1,100.0,1.0,1.0,100.0
