sta_code,source,avg_sp_diff,std_sp_diff,count
XX.ST054.--.EHZ,trad_sp,-0.0581,-999.9999,1
XX.ST099.--.EHZ,trad_sp,-0.0457,-999.9999,1
XX.ST053.--.EHZ,trad_sp,-0.0451,-999.9999,1
XX.ST016.--.EHZ,trad_sp,-0.0443,-999.9999,1
XX.ST097.--.EHZ,trad_sp,-0.0432,-999.9999,1
XX.ST075.--.EHZ,trad_sp,-0.042,-999.9999,1
XX.ST087.--.EHZ,trad_sp,-0.0404,-999.9999,1
XX.ST043.--.EHZ,trad_sp,-0.0386,-999.9999,1
XX.ST079.--.EHZ,trad_sp,-0.0383,-999.9999,1
XX.ST014.--.EHZ,trad_sp,-0.0381,-999.9999,1
XX.ST067.--.EHZ,trad_sp,-0.0381,-999.9999,1
XX.ST082.--.EHZ,trad_sp,-0.0378,-999.9999,1
XX.ST015.--.EHZ,trad_sp,-0.0363,-999.9999,1
XX.ST047.--.EHZ,trad_sp,-0.0356,-999.9999,1
XX.ST092.--.EHZ,trad_sp,-0.0355,-999.9999,1
XX.ST069.--.EHZ,trad_sp,-0.0351,-999.9999,1
XX.ST034.--.EHZ,trad_sp,-0.0337,-999.9999,1
XX.ST026.--.EHZ,trad_sp,-0.0333,-999.9999,1
XX.ST024.--.EHZ,trad_sp,-0.0329,-999.9999,1
XX.ST061.--.EHZ,trad_sp,-0.0328,-999.9999,1
XX.ST077.--.EHZ,trad_sp,-0.0328,-999.9999,1
XX.ST095.--.EHZ,trad_sp,-0.0295,-999.9999,1
XX.ST055.--.EHZ,trad_sp,-0.0294,-999.9999,1
XX.ST064.--.EHZ,trad_sp,-0.0292,-999.9999,1
XX.ST063.--.EHZ,trad_sp,-0.029,-999.9999,1
XX.ST046.--.EHZ,trad_sp,-0.0279,-999.9999,1
XX.ST060.--.EHZ,trad_sp,-0.0278,-999.9999,1
XX.ST057.--.EHZ,trad_sp,-0.0244,-999.9999,1
XX.ST059.--.EHZ,trad_sp,-0.0233,-999.9999,1
XX.ST085.--.EHZ,trad_sp,-0.0213,-999.9999,1
XX.ST101.--.EHZ,trad_sp,-0.0204,-999.9999,1
XX.ST030.--.EHZ,trad_sp,-0.0202,-999.9999,1
XX.ST076.--.EHZ,trad_sp,-0.0195,-999.9999,1
XX.ST048.--.EHZ,trad_sp,-0.0189,-999.9999,1
XX.ST078.--.EHZ,trad_sp,-0.0183,-999.9999,1
XX.ST094.--.EHZ,trad_sp,-0.0181,-999.9999,1
XX.ST049.--.EHZ,trad_sp,-0.0179,-999.9999,1
XX.ST080.--.EHZ,trad_sp,-0.017,-999.9999,1
XX.ST090.--.EHZ,trad_sp,-0.0124,-999.9999,1
XX.ST040.--.EHZ,trad_sp,-0.0108,-999.9999,1
XX.ST065.--.EHZ,trad_sp,-0.0097,-999.9999,1
