# Depth (km),Vp (km/s)
0.0,1.6500
1.0,2.1500
2.0,2.6500
3.0,3.1500
4.0,3.4429
5.0,3.7357
6.0,4.0286
7.0,4.3214
8.0,4.6143
9.0,4.9071
10.0,5.2000
11.0,5.3875
12.0,5.5751
13.0,5.7627
14.0,5.9502
15.0,6.1377
16.0,6.3253
17.0,6.5128
18.0,6.7004
19.0,6.8879
20.0,7.0755
21.0,7.1173
22.0,7.1592
23.0,7.2010
24.0,7.2429
25.0,7.2847
26.0,7.3266
27.0,7.3684
28.0,7.4102
29.0,7.4521
30.0,7.4939
31.0,7.5358
32.0,7.5776
33.0,7.6195
34.0,7.6613
35.0,7.7032
36.0,7.7450
37.0,7.7868
38.0,7.8287
39.0,7.8705
40.0,7.9124
41.0,7.9542
42.0,7.9961
43.0,8.0379
44.0,8.0380
45.0,8.0380
46.0,8.0381
47.0,8.0381
48.0,8.0382
49.0,8.0382
50.0,8.0383
51.0,8.0384
52.0,8.0384
53.0,8.0385
54.0,8.0385
55.0,8.0386
56.0,8.0386
57.0,8.0387
58.0,8.0388
59.0,8.0388
60.0,8.0389
61.0,8.0389
62.0,8.0390
63.0,8.0390
64.0,8.0391
65.0,8.0391
66.0,8.0392
67.0,8.0393
68.0,8.0393
69.0,8.0394
70.0,8.0394
71.0,8.0395
72.0,8.0395
73.0,8.0396
74.0,8.0397
75.0,8.0397
76.0,8.0398
77.0,8.0398
78.0,8.0399
79.0,8.0399
80.0,8.0400
81.0,8.0451
82.0,8.0453
83.0,8.0454
84.0,8.0456
85.0,8.0457
86.0,8.0458
87.0,8.0460
88.0,8.0461
89.0,8.0462
90.0,8.0464
91.0,8.0465
92.0,8.0466
93.0,8.0468
94.0,8.0469
95.0,8.0471
96.0,8.0472
97.0,8.0473
98.0,8.0475
99.0,8.0476
100.0,8.0478
101.0,8.0479
102.0,8.0480
103.0,8.0482
104.0,8.0483
105.0,8.0484
106.0,8.0486
107.0,8.0487
108.0,8.0489
109.0,8.0490
110.0,8.0491
111.0,8.0493
112.0,8.0494
113.0,8.0495
114.0,8.0497
115.0,8.0498
116.0,8.0499
117.0,8.0501
118.0,8.0502
119.0,8.0504
120.0,8.0505
121.0,8.0533
122.0,8.0560
123.0,8.0588
124.0,8.0616
125.0,8.0643
126.0,8.0671
127.0,8.0699
128.0,8.0726
129.0,8.0754
130.0,8.0782
131.0,8.0809
132.0,8.0837
133.0,8.0865
134.0,8.0892
135.0,8.0920
136.0,8.0948
137.0,8.0975
138.0,8.1003
139.0,8.1031
140.0,8.1058
141.0,8.1086
142.0,8.1114
143.0,8.1141
144.0,8.1169
145.0,8.1197
146.0,8.1224
147.0,8.1252
148.0,8.1280
149.0,8.1307
150.0,8.1335
151.0,8.1363
152.0,8.1390
153.0,8.1418
154.0,8.1446
155.0,8.1473
156.0,8.1501
157.0,8.1529
158.0,8.1556
159.0,8.1584
160.0,8.1612
161.0,8.1639
162.0,8.1667
163.0,8.1695
164.0,8.1722
165.0,8.1750
166.0,8.1778
167.0,8.1806
168.0,8.1834
169.0,8.1862
170.0,8.1890
171.0,8.1918
172.0,8.1946
173.0,8.1973
174.0,8.2001
175.0,8.2029
176.0,8.2057
177.0,8.2085
178.0,8.2113
179.0,8.2141
180.0,8.2169
181.0,8.2197
182.0,8.2225
183.0,8.2253
184.0,8.2281
185.0,8.2309
186.0,8.2337
187.0,8.2365
188.0,8.2392
189.0,8.2420
190.0,8.2448
191.0,8.2476
192.0,8.2504
193.0,8.2532
194.0,8.2560
195.0,8.2588
196.0,8.2616
197.0,8.2644
198.0,8.2672
199.0,8.2700
200.0,8.2728
201.0,8.2756
202.0,8.2784
203.0,8.2811
204.0,8.2839
205.0,8.2867
206.0,8.2895
207.0,8.2923
208.0,8.2951
209.0,8.2979
210.0,8.3007
