% MTJ manual mechanisms
%  strike          dip             rake  
   1.296133e+02    7.763350e+01    -1.684329e+02
   1.125341e+02    8.325840e+01    -1.798331e+02
   1.282020e+02    8.573000e-01    -1.236137e+02
   3.110789e+02    8.470930e+01    -1.782574e+02
   3.386172e+02    8.594620e+01     1.691236e+02
   1.074419e+02    8.536000e+01    -1.574301e+02
   2.000970e+02    7.702550e+01     1.747933e+02
   1.776127e+02    4.172630e+01     1.696302e+02
   1.152292e+02    7.298170e+01    -1.183742e+02
   3.406525e+02    7.933510e+01    -1.614341e+02
   1.752424e+02    4.076500e+01    -1.082187e+02
   7.497470e+01    3.880730e+01    -1.054966e+02
   3.432857e+02    5.792440e+01    -1.405852e+02
   1.766176e+02    8.664910e+01     8.438560e+01
   3.259181e+02    7.173860e+01    -1.284313e+02
   2.128225e+02    3.834510e+01    -1.478635e+02
   3.365590e+02    2.915980e+01    -5.899840e+01
   3.432438e+02    4.407320e+01    -1.128069e+02
   1.585469e+02    2.857010e+01    -1.114937e+02
   3.114751e+02    8.216270e+01     1.575373e+02
   1.469658e+02    1.175680e+01    -1.080002e+02
   2.109786e+02    4.512090e+01    -7.355100e+01
   3.290949e+02    5.578340e+01    -1.480600e+02
   1.764431e+02    5.800230e+01    -9.525440e+01
   2.741410e+01    4.846680e+01    -8.845330e+01
   1.685683e+02    5.750920e+01     9.343120e+01
   2.832586e+02    7.849570e+01    -1.769833e+02
   1.972191e+02    2.895510e+01    -9.761000e+01
   2.948352e+02    8.467380e+01    -1.428940e+02
