event_id,strike,dip,rake,time,latitude,longitude,depth,mag,max_agap,dip_azimuth,misfit,n_fmo,misfit_w_90ci,max_strike_90ci,max_dip_90ci,max_rake_90ci,mult_solution_flag
51196619,240.0,85.0,-10,2008-02-18 00:23:43.220,40.51667,-124.18333,18.36,2.26,133,330,0.08,26,,8,23,25,0
51196619,110.0,50.0,90,2008-02-18 00:23:43.220,40.51667,-124.18333,18.36,2.26,133,200,0.07,26,,8,3,25,1
51196707,160.0,45.0,-140,2008-02-19 13:02:28.690,39.85,-123.5,5.59,2.45,103,70,0.04,30,,20,28,35,0
51196707,175.0,50.0,-110,2008-02-19 13:02:28.690,39.85,-123.5,5.59,2.45,103,265,0.11,30,,13,18,20,1
51197782,210.0,85.0,0,2008-03-07 16:44:17.600,39.86667,-123.18333,9.19,2.29,66,120,0.04,29,,8,35,35,0
51198810,225.0,45.0,50,2008-03-22 04:09:07.520,39.8,-123.5,7.56,2.69,108,135,0.04,34,,18,20,35,0
51199002,250.0,60.0,140,2008-03-25 01:01:37.920,40.3,-124.53333,20.71,2.68,233,160,0.00,38,,20,13,40,0
40215397,200.0,5.0,-10,2008-04-16 07:43:16.720,40.63333,-124.35,27.37,3.0,209,110,0.09,48,,10,45,25,0
40215506,230.0,55.0,70,2008-04-17 19:53:34.450,40.31667,-124.56667,19.98,2.75,235,140,0.14,33,,20,23,35,0
40215622,130.0,55.0,50,2008-04-20 13:53:58.660,40.5,-123.48333,8.57,2.18,46,220,0.04,27,,20,10,15,0
40215734,95.0,50.0,-130,2008-04-21 22:00:53.770,40.76667,-124.2,20.61,4.2,178,185,0.05,74,,28,13,15,0
40215736,135.0,70.0,-160,2008-04-21 22:16:52.970,40.78333,-124.28333,20.14,2.88,189,225,0.07,45,,23,28,50,0
40215738,140.0,75.0,-140,2008-04-21 22:57:26.320,40.76667,-124.31667,19.75,2.94,194,230,0.06,51,,18,23,45,0
40216664,185.0,65.0,-100,2008-04-30 03:03:06.900,40.83333,-123.48333,27.75,5.4,36,95,0.10,92,,33,20,10,0
51202694,130.0,60.0,-90,2008-05-14 23:06:50.410,40.86667,-123.71667,27.06,2.76,61,220,0.00,32,,25,25,20,0
40218352,225.0,70.0,-50,2008-05-29 02:19:21.940,40.1,-123.08333,38.76,2.31,51,135,0.04,30,,13,20,20,0
40218352,100.0,20.0,100,2008-05-29 02:19:21.940,40.1,-123.08333,38.76,2.31,51,190,0.10,30,,13,13,10,1
40218467,250.0,70.0,90,2008-05-31 05:55:20.460,40.35,-124.26667,34.25,2.76,149,160,0.08,33,,23,8,20,0
40218508,185.0,85.0,-30,2008-05-31 19:13:19.790,40.3,-124.43333,8.27,3.01,230,275,0.09,35,,33,40,30,0
40218508,270.0,65.0,160,2008-05-31 19:13:19.790,40.3,-124.43333,8.27,3.01,230,360,0.09,35,,15,33,45,1
51203864,105.0,55.0,130,2008-06-05 21:59:14.860,40.21667,-123.13333,36.60,2.2,54,195,0.06,29,,13,15,35,0
51203940,225.0,75.0,-20,2008-06-07 12:19:08.100,40.71667,-124.05,21.26,2.54,142,135,0.09,33,,15,35,30,0
40220087,145.0,5.0,160,2008-07-03 00:48:44.430,40.3,-124.51667,4.24,2.9,232,55,0.00,29,,25,33,50,0
40220919,240.0,80.0,30,2008-07-20 07:16:30.360,40.4,-124.3,28.29,2.81,165,330,0.13,52,,8,25,40,0
40220957,115.0,90.0,-140,2008-07-21 01:16:44.010,39.8,-123.16667,8.56,2.42,31,25,0.00,27,,8,20,40,0
40220957,195.0,75.0,-40,2008-07-21 01:16:44.010,39.8,-123.16667,8.56,2.42,31,105,0.04,27,,10,23,20,1
40221138,120.0,85.0,170,2008-07-25 08:31:50.190,40.48333,-123.95,19.32,2.96,91,210,0.00,41,,8,20,35,0
40221347,155.0,30.0,170,2008-07-29 23:13:23.320,40.41667,-124.35,34.22,2.52,213,245,0.07,31,,15,30,20,0
40221347,160.0,85.0,-130,2008-07-29 23:13:23.320,40.41667,-124.35,34.22,2.52,213,70,0.12,31,,20,15,20,1
40221800,220.0,50.0,80,2008-08-11 08:55:19.460,40.3,-124.55,20.12,2.92,234,130,0.05,42,,15,8,40,0
40221800,175.0,35.0,30,2008-08-11 08:55:19.460,40.3,-124.55,20.12,2.92,234,265,0.05,42,,15,40,30,0
40221800,160.0,60.0,0,2008-08-11 08:55:19.460,40.3,-124.55,20.12,2.92,234,250,0.05,42,,18,25,20,1
51206953,135.0,30.0,160,2008-08-13 04:59:43.440,40.4,-124.18333,27.56,2.59,88,225,0.07,28,,13,33,25,0
51207076,155.0,85.0,80,2008-08-17 05:56:59.370,41.18333,-124.2,15.66,4.6,172,245,0.01,37,,23,20,30,0
51207671,245.0,5.0,70,2008-09-04 03:55:07.590,40.51667,-123.08333,30.77,2.39,51,335,0.18,32,,30,30,35,0
51207731,160.0,40.0,-60,2008-09-05 21:22:22.940,40.68333,-123.53333,23.13,2.51,51,250,0.23,34,,25,38,30,0
51207750,185.0,80.0,-90,2008-09-06 07:47:18.170,40.88333,-123.73333,24.17,3.17,70,95,0.10,54,,25,30,10,0
