event_id,time,latitude,longitude,depth,mag,max_agap,dip_azimuth,strike,dip,rake,misfit,n_fmo,misfit_w_90ci,max_strike_90ci,max_dip_90ci,max_rake_90ci,multi_sol_flag
51196619,2008:02:18T00:23:43.22,40.516666666666666,-124.18333333333334,18.36,2.26,133.0,330.0,240.0,85.0,-10.0,0.08,26,,8,23,25,0
51196619,2008:02:18T00:23:43.22,40.516666666666666,-124.18333333333334,18.36,2.26,133.0,200.0,110.0,50.0,90.0,0.07,26,,8,3,25,1
51196707,2008:02:19T13:02:28.69,39.85,-123.5,5.59,2.45,103.0,70.0,160.0,45.0,-140.0,0.04,30,,20,28,35,0
51196707,2008:02:19T13:02:28.69,39.85,-123.5,5.59,2.45,103.0,265.0,175.0,50.0,-110.0,0.11,30,,13,18,20,1
51197782,2008:03:07T16:44:17.60,39.86666666666667,-123.18333333333334,9.19,2.29,66.0,120.0,210.0,85.0,0.0,0.04,29,,8,35,35,0
51198810,2008:03:22T04:09: 7.52,39.8,-123.5,7.56,2.69,108.0,135.0,225.0,45.0,50.0,0.04,34,,18,20,35,0
51199002,2008:03:25T01:01:37.92,40.3,-124.53333333333333,20.71,2.68,233.0,160.0,250.0,60.0,140.0,0.0,38,,20,13,40,0
40215397,2008:04:16T07:43:16.72,40.63333333333333,-124.35,27.37,3.0,209.0,110.0,200.0,5.0,-10.0,0.09,48,,10,45,25,0
40215506,2008:04:17T19:53:34.45,40.31666666666667,-124.56666666666666,19.98,2.75,235.0,140.0,230.0,55.0,70.0,0.14,33,,20,23,35,0
40215622,2008:04:20T13:53:58.66,40.5,-123.48333333333333,8.57,2.18,46.0,220.0,130.0,55.0,50.0,0.04,27,,20,10,15,0
40215734,2008:04:21T22:00:53.77,40.766666666666666,-124.2,20.61,4.2,178.0,185.0,95.0,50.0,-130.0,0.05,74,,28,13,15,0
40215736,2008:04:21T22:16:52.97,40.78333333333333,-124.28333333333333,20.14,2.88,189.0,225.0,135.0,70.0,-160.0,0.07,45,,23,28,50,0
40215738,2008:04:21T22:57:26.32,40.766666666666666,-124.31666666666666,19.75,2.94,194.0,230.0,140.0,75.0,-140.0,0.06,51,,18,23,45,0
40216664,2008:04:30T03:03: 6.90,40.833333333333336,-123.48333333333333,27.75,5.4,36.0,95.0,185.0,65.0,-100.0,0.1,92,,33,20,10,0
51202694,2008:05:14T23:06:50.41,40.86666666666667,-123.71666666666667,27.06,2.76,61.0,220.0,130.0,60.0,-90.0,0.0,32,,25,25,20,0
40218352,2008:05:29T02:19:21.94,40.1,-123.08333333333333,38.76,2.31,51.0,135.0,225.0,70.0,-50.0,0.04,30,,13,20,20,0
40218352,2008:05:29T02:19:21.94,40.1,-123.08333333333333,38.76,2.31,51.0,190.0,100.0,20.0,100.0,0.1,30,,13,13,10,1
40218467,2008:05:31T05:55:20.46,40.35,-124.26666666666667,34.25,2.76,149.0,160.0,250.0,70.0,90.0,0.08,33,,23,8,20,0
40218508,2008:05:31T19:13:19.79,40.3,-124.43333333333334,8.27,3.01,230.0,275.0,185.0,85.0,-30.0,0.09,35,,33,40,30,0
40218508,2008:05:31T19:13:19.79,40.3,-124.43333333333334,8.27,3.01,230.0,360.0,270.0,65.0,160.0,0.09,35,,15,33,45,1
51203864,2008:06:05T21:59:14.86,40.21666666666667,-123.13333333333334,36.6,2.2,54.0,195.0,105.0,55.0,130.0,0.06,29,,13,15,35,0
51203940,2008:06:07T12:19: 8.10,40.71666666666667,-124.05,21.26,2.54,142.0,135.0,225.0,75.0,-20.0,0.09,33,,15,35,30,0
40220087,2008:07:03T00:48:44.43,40.3,-124.51666666666667,4.24,2.9,232.0,55.0,145.0,5.0,160.0,0.0,29,,25,33,50,0
40220919,2008:07:20T07:16:30.36,40.4,-124.3,28.29,2.81,165.0,330.0,240.0,80.0,30.0,0.13,52,,8,25,40,0
40220957,2008:07:21T01:16:44.01,39.8,-123.16666666666667,8.56,2.42,31.0,25.0,115.0,90.0,-140.0,0.0,27,,8,20,40,0
40220957,2008:07:21T01:16:44.01,39.8,-123.16666666666667,8.56,2.42,31.0,105.0,195.0,75.0,-40.0,0.04,27,,10,23,20,1
40221138,2008:07:25T08:31:50.19,40.483333333333334,-123.95,19.32,2.96,91.0,210.0,120.0,85.0,170.0,0.0,41,,8,20,35,0
40221347,2008:07:29T23:13:23.32,40.416666666666664,-124.35,34.22,2.52,213.0,245.0,155.0,30.0,170.0,0.07,31,,15,30,20,0
40221347,2008:07:29T23:13:23.32,40.416666666666664,-124.35,34.22,2.52,213.0,70.0,160.0,85.0,-130.0,0.12,31,,20,15,20,1
40221800,2008:08:11T08:55:19.46,40.3,-124.55,20.12,2.92,234.0,130.0,220.0,50.0,80.0,0.05,42,,15,8,40,0
40221800,2008:08:11T08:55:19.46,40.3,-124.55,20.12,2.92,234.0,265.0,175.0,35.0,30.0,0.05,42,,15,40,30,0
40221800,2008:08:11T08:55:19.46,40.3,-124.55,20.12,2.92,234.0,250.0,160.0,60.0,0.0,0.05,42,,18,25,20,1
51206953,2008:08:13T04:59:43.44,40.4,-124.18333333333334,27.56,2.59,88.0,225.0,135.0,30.0,160.0,0.07,28,,13,33,25,0
51207076,2008:08:17T05:56:59.37,41.18333333333333,-124.2,15.66,4.6,172.0,245.0,155.0,85.0,80.0,0.01,37,,23,20,30,0
51207671,2008:09:04T03:55: 7.59,40.516666666666666,-123.08333333333333,30.77,2.39,51.0,335.0,245.0,5.0,70.0,0.18,32,,30,30,35,0
51207731,2008:09:05T21:22:22.94,40.68333333333333,-123.53333333333333,23.13,2.51,51.0,250.0,160.0,40.0,-60.0,0.23,34,,25,38,30,0
51207750,2008:09:06T07:47:18.17,40.88333333333333,-123.73333333333333,24.17,3.17,70.0,95.0,185.0,80.0,-90.0,0.1,54,,25,30,10,0
51207775,2008:09:06T18:34:47.17,40.3,-124.48333333333333,20.95,2.68,230.0,65.0,155.0,85.0,-40.0,0.08,26,,13,20,25,0
51207829,2008:09:08T11:36:52.71,39.8,-123.2,4.62,2.63,48.0,310.0,220.0,85.0,40.0,0.12,48,,15,30,30,0
51207840,2008:09:08T18:47: 5.29,39.8,-123.2,5.14,2.2,72.0,130.0,220.0,55.0,-30.0,0.02,26,,10,30,40,0
51209279,2008:10:10T13:23:44.88,40.3,-124.56666666666666,19.18,3.02,231.0,185.0,95.0,85.0,-140.0,0.09,45,,13,20,50,0
