event_id,etime,elat,elon,edep,emag,station_id,phase_type,phase_polarity,phase_time
nc40210243,2008-01-28 20:06:43.900,40.5875,-123.6515,22.66,1.78,NC.KCS..SH,P,1,2008-01-28T20:06:49.0500
nc40210243,2008-01-28 20:06:43.900,40.5875,-123.6515,22.66,1.78,NC.KCR..SH,P,1,2008-01-28T20:06:49.5900
nc40210243,2008-01-28 20:06:43.900,40.5875,-123.6515,22.66,1.78,XQ.ME30.01.BH,P,-1,2008-01-28T20:06:50.1000
nc40210243,2008-01-28 20:06:43.900,40.5875,-123.6515,22.66,1.78,NC.KHMB..HH,P,-1,2008-01-28T20:06:50.8400
nc40210243,2008-01-28 20:06:43.900,40.5875,-123.6515,22.66,1.78,NC.KHBB..HH,P,1,2008-01-28T20:06:51.5500
nc40210243,2008-01-28 20:06:43.900,40.5875,-123.6515,22.66,1.78,NC.KPP..SH,P,1,2008-01-28T20:06:51.7500
nc40210243,2008-01-28 20:06:43.900,40.5875,-123.6515,22.66,1.78,XQ.ME39.01.BH,P,1,2008-01-28T20:06:52.5600
nc40210243,2008-01-28 20:06:43.900,40.5875,-123.6515,22.66,1.78,XQ.ME08.01.BH,P,-1,2008-01-28T20:06:53.5300
nc40210243,2008-01-28 20:06:43.900,40.5875,-123.6515,22.66,1.78,NC.KKP..SH,P,-1,2008-01-28T20:06:53.8100
nc40210243,2008-01-28 20:06:43.900,40.5875,-123.6515,22.66,1.78,NC.KSM..SH,P,-1,2008-01-28T20:06:54.6200
nc40210243,2008-01-28 20:06:43.900,40.5875,-123.6515,22.66,1.78,NC.KJJ..SH,P,None,2008-01-28T20:06:54.8700
nc40210243,2008-01-28 20:06:43.900,40.5875,-123.6515,22.66,1.78,NC.LBP..SH,P,-1,2008-01-28T20:06:56.2000
nc40210243,2008-01-28 20:06:43.900,40.5875,-123.6515,22.66,1.78,NC.KOM..SH,P,1,2008-01-28T20:06:56.7400
nc40210243,2008-01-28 20:06:43.900,40.5875,-123.6515,22.66,1.78,NC.KBS..SH,P,-1,2008-01-28T20:06:56.7700
nc40210243,2008-01-28 20:06:43.900,40.5875,-123.6515,22.66,1.78,NC.LGP..SH,P,None,2008-01-28T20:06:56.7800
nc40210243,2008-01-28 20:06:43.900,40.5875,-123.6515,22.66,1.78,XQ.ME09.01.BH,P,1,2008-01-28T20:06:59.2900
nc40210243,2008-01-28 20:06:43.900,40.5875,-123.6515,22.66,1.78,NC.LBK..SH,P,None,2008-01-28T20:06:59.8900
nc40210243,2008-01-28 20:06:43.900,40.5875,-123.6515,22.66,1.78,NC.LSH..SH,P,1,2008-01-28T20:07:06.1500
nc40210243,2008-01-28 20:06:43.900,40.5875,-123.6515,22.66,1.78,NC.LPG..SH,P,1,2008-01-28T20:08:15.9300
nc40214567,2008-04-04 17:11:26.150,40.674166666666665,-123.92416666666666,19.56,2.31,XQ.ME31.01.BH,P,-1,2008-04-04T17:11:30.3000
nc40214567,2008-04-04 17:11:26.150,40.674166666666665,-123.92416666666666,19.56,2.31,XQ.ME32.01.BH,P,-1,2008-04-04T17:11:30.7600
nc40214567,2008-04-04 17:11:26.150,40.674166666666665,-123.92416666666666,19.56,2.31,BK.JCC..HH,P,-1,2008-04-04T17:11:30.9900
