time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,slab_depth,grid_code
2012-03-30 10:47:35.210000+00:00,40.7243333,-124.838,-0.376,2.72,md,49.0,264.0,0.455,0.27,nc,nc71755770,2017-01-27 11:20:53.606000+00:00,"51 km WNW of Ferndale, California",earthquake,1.58,2.0,0.134,40.0,reviewed,nc,nc,8.232421523084898,5
2012-04-06 14:08:18.270000+00:00,40.7378333,-124.8365,-0.316,2.86,md,78.0,227.0,0.4613,0.19,nc,nc71759805,2017-01-27 12:39:55.490000+00:00,"51 km W of Indianola, California",earthquake,0.77,2.26,0.134,69.0,reviewed,nc,nc,8.252462244978423,5
2014-03-10 11:09:10.500000+00:00,40.7023333,-124.8165,5.824,2.4,md,32.0,264.0,0.5559,0.27,nc,nc72182326,2017-02-03 09:20:51.674000+00:00,near the coast of Northern California,earthquake,0.77,1.08,0.223,27.0,reviewed,nc,nc,8.465062448554688,5
2013-10-06 17:10:11.480000+00:00,40.7016667,-124.8103333,2.044,2.16,md,26.0,301.0,0.4252,0.28,nc,nc72082251,2017-02-01 16:07:29.968000+00:00,"48 km WNW of Ferndale, California",earthquake,3.17,3.69,0.214,14.0,reviewed,nc,nc,8.53317990132994,5
2017-05-29 19:34:09.640000+00:00,40.7251667,-124.846,3.91,2.62,md,33.0,251.0,0.4605,0.16,nc,nc72807961,2017-05-31 22:21:03.458000+00:00,"51 km WNW of Ferndale, California",earthquake,1.37,1.64,0.193,36.0,reviewed,nc,nc,8.144316700948513,5
2014-03-10 06:39:10.120000+00:00,40.7295,-124.8723333,4.394,2.5,md,28.0,301.0,0.6063,0.14,nc,nc72182151,2017-02-03 09:16:20.955000+00:00,"54 km WNW of Ferndale, California",earthquake,1.09,1.05,0.163,21.0,reviewed,nc,nc,7.863874405103498,5
2014-03-10 06:39:10.120000+00:00,40.7295,-124.8723333,4.394,2.5,md,28.0,301.0,0.6063,0.14,nc,nc72182151,2017-02-03 09:16:20.955000+00:00,"54 km WNW of Ferndale, California",earthquake,1.09,1.05,0.163,21.0,reviewed,nc,nc,7.863874405103498,5
2017-11-24 21:16:14.670000+00:00,40.6153333,-124.8276667,2.39,2.58,md,8.0,293.0,0.3988,0.08,nc,nc72930205,2017-12-01 23:28:03.677000+00:00,"48km W of Ferndale, CA",earthquake,1.56,2.82,0.274,29.0,reviewed,nc,nc,8.352025268345606,5
2013-04-25 19:55:17.200000+00:00,40.6388333,-124.8153333,-0.081,2.35,md,22.0,265.0,0.5144,0.18,nc,nc71977175,2017-01-31 13:29:05.225000+00:00,"47 km W of Ferndale, California",earthquake,1.92,2.97,0.268,16.0,reviewed,nc,nc,8.482826329712784,5
2014-06-18 19:49:29.710000+00:00,40.7906667,-124.8318333,5.344,2.82,md,47.0,254.0,0.491,0.26,nc,nc72239881,2022-07-26 18:22:32.015000+00:00,"51 km WNW of Indianola, California",earthquake,0.87,1.02,0.183,51.0,reviewed,nc,nc,8.326886243609287,6
2012-07-04 10:21:21.300000+00:00,40.7688333,-124.8858333,-0.278,2.62,md,40.0,270.0,0.5099,0.35,nc,nc71810766,2017-01-28 03:53:51.092000+00:00,"55 km W of Indianola, California",earthquake,2.32,3.0,0.185,33.0,reviewed,nc,nc,7.734391532259935,6
2020-05-27 23:05:50.810000+00:00,40.8771667,-124.8706667,5.12,2.31,md,19.0,281.0,0.5704,0.09,nc,nc73397316,2020-06-02 01:45:04.950000+00:00,"59km WNW of Bayview, CA",earthquake,2.26,4.11,0.181,21.0,reviewed,nc,nc,7.9648796171109595,6
2008-10-28 07:47:11.280000+00:00,41.101,-124.9708333,4.377,2.25,md,5.0,294.0,0.9919,0.06,nc,nc71166021,2017-01-18 22:54:43.766000+00:00,"69 km W of Trinidad, California",earthquake,4.55,5.01,0.159,5.0,reviewed,nc,nc,7.103785807952505,7
2008-12-30 13:46:20.770000+00:00,41.2501667,-124.9143333,1.506,2.84,md,26.0,238.0,1.101,0.19,nc,nc71180461,2017-01-19 05:38:01.589000+00:00,"66 km W of Big Lagoon, California",earthquake,1.83,2.86,0.127,26.0,reviewed,nc,nc,7.818856842830307,8
2008-09-24 21:39:49.460000+00:00,40.5151667,-124.678,6.897,2.69,md,31.0,251.0,0.2622,0.21,nc,nc51208596,2017-01-18 19:09:20.514000+00:00,"35 km W of Ferndale, California",earthquake,1.25,1.31,0.055,9.0,reviewed,nc,nc,10.205447619233112,13
2008-05-17 18:42:10.640000+00:00,40.531,-124.7113333,6.369,2.38,md,13.0,282.0,0.5351,0.06,nc,nc71118291,2017-01-18 06:56:10.316000+00:00,"38 km W of Ferndale, California",earthquake,4.05,1.56,0.163,12.0,reviewed,nc,nc,9.776352843562382,13
2014-09-26 09:47:48.240000+00:00,40.525,-124.7225,8.979,2.37,md,29.0,244.0,0.2973,0.19,nc,nc72310146,2017-02-04 17:53:11.919000+00:00,"39 km W of Ferndale, California",earthquake,1.41,1.2,0.152,22.0,reviewed,nc,nc,9.65050005912956,13
2009-09-09 15:02:51.220000+00:00,40.5256667,-124.6876667,6.53,2.41,md,36.0,250.0,0.2717,0.13,nc,nc71273430,2017-12-02 03:50:45.071000+00:00,"36km W of Ferndale, CA",earthquake,0.9,0.72,0.215,34.0,reviewed,nc,nc,10.071858356190733,13
2016-11-25 22:46:52.800000+00:00,40.5498333,-124.766,3.62,2.56,md,21.0,262.0,0.3351,0.23,nc,nc72729510,2017-02-11 08:18:06.369000+00:00,"42 km W of Ferndale, California",earthquake,2.38,2.33,0.14,14.0,reviewed,nc,nc,9.098842499272877,13
2021-08-15 08:14:34.850000+00:00,40.402,-124.6928333,8.36,2.0,md,21.0,285.0,0.281,0.19,nc,nc73610261,2021-08-22 23:29:53.109000+00:00,"36km WNW of Petrolia, CA",earthquake,1.07,1.24,0.113,10.0,reviewed,nc,nc,10.230149438348754,13
2022-10-17 15:24:14.560000+00:00,40.4058333,-124.7783333,6.71,2.42,md,17.0,277.0,0.3436,0.14,nc,nc73794901,2022-10-21 04:52:16.365000+00:00,"43km WNW of Petrolia, CA",earthquake,4.22,2.93,0.12,16.0,reviewed,nc,nc,9.143117957058074,13
2011-06-29 06:44:04.310000+00:00,40.5336667,-124.7698333,8.5,2.55,md,40.0,247.0,0.427,0.19,nc,nc71592110,2017-01-24 17:54:12.855000+00:00,"43 km W of Ferndale, California",earthquake,1.92,1.15,0.202,34.0,reviewed,nc,nc,9.068803982917185,13
2008-09-30 14:54:56.730000+00:00,40.4938333,-124.7245,1.838,2.27,md,15.0,293.0,0.4027,0.27,nc,nc71157011,2017-01-18 19:43:13.402000+00:00,"40 km WSW of Ferndale, California",earthquake,10.62,3.24,0.19,15.0,reviewed,nc,nc,9.66396035601881,13
2011-09-18 20:15:33.350000+00:00,40.5156667,-124.6153333,7.657,2.33,md,13.0,249.0,0.318,0.24,nc,nc71649331,2017-01-25 06:32:02.522000+00:00,"30 km WSW of Ferndale, California",earthquake,1.45,0.81,0.296,18.0,reviewed,nc,nc,10.973560006373596,13
2008-10-20 11:08:20.500000+00:00,40.5403333,-124.6015,3.292,2.51,md,21.0,272.0,0.4811,0.09,nc,nc71163066,2017-01-18 22:04:28.632000+00:00,"28 km W of Ferndale, California",earthquake,1.73,1.38,0.239,24.0,reviewed,nc,nc,11.100756228282119,13
2009-07-16 10:56:05.870000+00:00,40.7193333,-124.7716667,6.287,2.69,md,44.0,246.0,0.4108,0.16,nc,nc71249101,2017-01-20 13:30:09.061000+00:00,"45 km W of Indianola, California",earthquake,1.01,1.6,0.126,44.0,reviewed,nc,nc,8.974136849239423,14
2010-03-31 20:55:34.170000+00:00,40.7001667,-124.6088333,4.704,2.6,md,23.0,232.0,0.3054,0.12,nc,nc71376126,2017-01-22 04:11:25.870000+00:00,"31 km W of Indianola, California",earthquake,0.75,0.92,0.206,25.0,reviewed,nc,nc,10.867486036678647,14
