time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,slab_depth,grid_code
2012-04-06 14:08:18.270000+00:00,40.7378333,-124.8365,-0.316,2.86,md,78.0,227.0,0.4613,0.19,nc,nc71759805,2017-01-27 12:39:55.490000+00:00,"51 km W of Indianola, California",earthquake,0.77,2.26,0.134,69.0,reviewed,nc,nc,8.252462244978423,5
2014-06-18 19:49:29.710000+00:00,40.7906667,-124.8318333,5.344,2.82,md,47.0,254.0,0.491,0.26,nc,nc72239881,2022-07-26 18:22:32.015000+00:00,"51 km WNW of Indianola, California",earthquake,0.87,1.02,0.183,51.0,reviewed,nc,nc,8.326886243609287,6
2008-12-30 13:46:20.770000+00:00,41.2501667,-124.9143333,1.506,2.84,md,26.0,238.0,1.101,0.19,nc,nc71180461,2017-01-19 05:38:01.589000+00:00,"66 km W of Big Lagoon, California",earthquake,1.83,2.86,0.127,26.0,reviewed,nc,nc,7.818856842830307,8
2008-09-24 21:39:49.460000+00:00,40.5151667,-124.678,6.897,2.69,md,31.0,251.0,0.2622,0.21,nc,nc51208596,2017-01-18 19:09:20.514000+00:00,"35 km W of Ferndale, California",earthquake,1.25,1.31,0.055,9.0,reviewed,nc,nc,10.205447619233112,13
2011-03-17 02:13:56.720000+00:00,40.6281667,-124.7058333,9.099,3.35,ml,82.0,238.0,0.4441,0.23,nc,nc71544046,2022-08-06 06:01:48.825000+00:00,"37 km W of Ferndale, California",earthquake,0.56,0.86,0.168,15.0,reviewed,nc,nc,9.752424514115075,14
2013-02-19 08:18:05.630000+00:00,40.793,-124.7548333,1.383,2.57,md,24.0,289.0,0.4495,0.29,nc,nc71940250,2017-01-31 03:24:14.543000+00:00,near the coast of Northern California,earthquake,1.28,1.52,0.189,24.0,reviewed,nc,nc,9.192793738436626,15
2013-10-11 23:05:37.330000+00:00,40.9835,-124.7498333,8.635,4.94,mw,124.0,214.0,0.4775,0.17,nc,nc72086051,2022-08-06 18:16:08.537000+00:00,"50 km WNW of Samoa, California",earthquake,0.43,0.95,,6.0,reviewed,nc,nc,9.456293286419962,16
2019-02-02 10:52:21.990000+00:00,40.3006667,-124.4946667,6.44,4.3,mw,30.0,250.0,0.1601,0.15,nc,nc73139111,2019-04-18 19:09:31.040000+00:00,"18km W of Petrolia, CA",earthquake,0.31,0.43,,4.0,reviewed,nc,nc,13.171162970240642,21
2022-04-15 22:19:56.640000+00:00,40.428,-124.4005,10.74,2.56,md,26.0,227.0,0.0676,0.08,nc,nc73718040,2022-06-20 22:07:25.040000+00:00,"15km NW of Petrolia, CA",earthquake,0.63,0.31,0.115,34.0,reviewed,nc,nc,13.88458978652416,22
2010-01-13 06:46:49.200000+00:00,40.728,-124.4475,3.593,2.89,md,12.0,220.0,0.2667,0.16,nc,nc71339731,2017-01-21 18:25:13.924000+00:00,"18 km WNW of Indianola, California",earthquake,2.6,3.06,0.223,22.0,reviewed,nc,nc,12.769874134049974,23
2019-06-23 03:53:02.890000+00:00,40.2735,-124.3003333,9.44,5.58,mw,34.0,159.0,0.03116,0.17,nc,nc73201181,2021-12-20 21:29:47.348000+00:00,"6km SSW of Petrolia, CA",earthquake,0.34,0.21,,6.0,reviewed,nc,nc,15.891280732914412,30
2015-01-10 10:12:21.520000+00:00,40.3911667,-124.265,10.829,2.86,md,23.0,134.0,0.07117,0.09,nc,nc72378641,2022-07-27 13:33:34.256000+00:00,"17 km SW of Scotia, California",earthquake,0.3,0.31,0.181,73.0,reviewed,nc,nc,15.744532367660964,31
2017-12-06 13:27:29.300000+00:00,40.6891667,-124.2111667,1.88,2.8,md,21.0,170.0,0.01284,0.09,nc,nc72935821,2018-03-22 16:36:38.474000+00:00,"4km SSW of Humboldt Hill, CA",earthquake,0.33,0.73,0.185,48.0,reviewed,nc,nc,15.631473545043525,32
2008-08-17 05:56:59.370000+00:00,41.1885,-124.216,15.66,4.6,mw,15.0,172.0,0.1486,0.06,nc,nc51207076,2020-06-27 07:23:47.818000+00:00,"7 km WNW of Big Lagoon, California",earthquake,0.52,0.36,,10.0,reviewed,nc,nc,17.1619580268761,35
2021-09-26 08:51:30.240000+00:00,40.2491667,-124.1636667,11.69,3.61,mw,31.0,133.0,0.006008,0.16,nc,nc73629686,2021-12-04 14:29:42.040000+00:00,"13km SE of Petrolia, CA",earthquake,0.32,0.27,,4.0,reviewed,nc,nc,17.87967160118195,39
