time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,slab_depth,grid_code
2010-03-01 11:55:48.590000+00:00,40.4888333,-124.8456667,0.05,2.55,md,27.0,263.0,0.3874,0.35,nc,nc71356495,2017-01-22T00:05:54.495Z,"50 km WSW of Ferndale, California",earthquake,3.6,4.46,0.257,29.0,reviewed,nc,nc,8.243310509624482,4
2013-09-24 02:56:16.650000+00:00,40.5256667,-124.8713333,6.589,2.8,md,65.0,265.0,0.4099,0.2,nc,nc72075736,2022-07-25T22:47:52.993Z,"51 km W of Ferndale, California",earthquake,0.6,0.99,0.139,57.0,reviewed,nc,nc,7.967011450827268,4
2011-09-17 17:10:26.520000+00:00,40.4945,-124.8546667,6.313,2.14,md,21.0,248.0,0.3946,0.26,nc,nc71648526,2017-01-25T06:18:43.577Z,"50 km W of Ferndale, California",earthquake,1.27,2.11,0.338,17.0,reviewed,nc,nc,8.192179196990633,4
2014-03-10 11:09:10.500000+00:00,40.7023333,-124.8165,5.824,2.4,md,32.0,264.0,0.5559,0.27,nc,nc72182326,2017-02-03T09:20:51.674Z,near the coast of Northern California,earthquake,0.77,1.08,0.223,27.0,reviewed,nc,nc,8.46513387774019,5
2014-03-10 06:39:10.120000+00:00,40.7295,-124.8723333,4.394,2.5,md,28.0,301.0,0.6063,0.14,nc,nc72182151,2017-02-03T09:16:20.955Z,"54 km WNW of Ferndale, California",earthquake,1.09,1.05,0.163,21.0,reviewed,nc,nc,7.863407543380197,5
2013-04-25 19:55:17.200000+00:00,40.6388333,-124.8153333,-0.081,2.35,md,22.0,265.0,0.5144,0.18,nc,nc71977175,2017-01-31T13:29:05.225Z,"47 km W of Ferndale, California",earthquake,1.92,2.97,0.268,16.0,reviewed,nc,nc,8.481544994507148,5
2012-04-06 14:08:18.270000+00:00,40.7378333,-124.8365,-0.316,2.86,md,78.0,227.0,0.4613,0.19,nc,nc71759805,2017-01-27T12:39:55.490Z,"51 km W of Indianola, California",earthquake,0.77,2.26,0.134,69.0,reviewed,nc,nc,8.252834703501218,5
2012-03-30 10:47:35.210000+00:00,40.7243333,-124.838,-0.376,2.72,md,49.0,264.0,0.455,0.27,nc,nc71755770,2017-01-27T11:20:53.606Z,"51 km WNW of Ferndale, California",earthquake,1.58,2.0,0.134,40.0,reviewed,nc,nc,8.232788878429698,5
2013-10-19 20:49:02.880000+00:00,40.7408333,-124.955,2.194,2.66,md,51.0,290.0,0.5396,0.22,nc,nc72090976,2017-02-01T18:58:01.066Z,"61 km WNW of Ferndale, California",earthquake,1.91,2.36,0.197,41.0,reviewed,nc,nc,7.04357804848797,5
2013-10-06 17:10:11.480000+00:00,40.7016667,-124.8103333,2.044,2.16,md,26.0,301.0,0.4252,0.28,nc,nc72082251,2017-02-01T16:07:29.968Z,"48 km WNW of Ferndale, California",earthquake,3.17,3.69,0.214,14.0,reviewed,nc,nc,8.533230923926038,5
2014-03-10 06:22:45.880000+00:00,40.7188333,-124.9371667,3.154,3.33,ml,23.0,277.0,0.6369,0.25,nc,nc72182136,2017-02-03T09:15:54.610Z,"59 km WNW of Ferndale, California",earthquake,1.6,1.35,0.137,11.0,reviewed,nc,nc,7.203717979210449,5
2017-05-29 19:34:09.640000+00:00,40.7251667,-124.846,3.91,2.62,md,33.0,251.0,0.4605,0.16,nc,nc72807961,2017-05-31T22:21:03.458Z,"51 km WNW of Ferndale, California",earthquake,1.37,1.64,0.193,36.0,reviewed,nc,nc,8.144439152730111,5
2017-11-24 21:16:14.670000+00:00,40.6153333,-124.8276667,2.39,2.58,md,8.0,293.0,0.3988,0.08,nc,nc72930205,2017-12-01T23:28:03.677Z,"48km W of Ferndale, CA",earthquake,1.56,2.82,0.274,29.0,reviewed,nc,nc,8.350265832065542,5
2020-05-27 23:05:50.810000+00:00,40.8771667,-124.8706667,5.12,2.31,md,19.0,281.0,0.5704,0.09,nc,nc73397316,2020-06-02T01:45:04.950Z,"59km WNW of Bayview, CA",earthquake,2.26,4.11,0.181,21.0,reviewed,nc,nc,7.9648796171109595,6
2012-07-04 10:21:21.300000+00:00,40.7688333,-124.8858333,-0.278,2.62,md,40.0,270.0,0.5099,0.35,nc,nc71810766,2017-01-28T03:53:51.092Z,"55 km W of Indianola, California",earthquake,2.32,3.0,0.185,33.0,reviewed,nc,nc,7.734391532259936,6
2014-06-18 19:49:29.710000+00:00,40.7906667,-124.8318333,5.344,2.82,md,47.0,254.0,0.491,0.26,nc,nc72239881,2022-07-26T18:22:32.015Z,"51 km WNW of Indianola, California",earthquake,0.87,1.02,0.183,51.0,reviewed,nc,nc,8.32688624360929,6
2008-10-28 07:47:11.280000+00:00,41.101,-124.9708333,4.377,2.25,md,5.0,294.0,0.9919,0.06,nc,nc71166021,2017-01-18T22:54:43.766Z,"69 km W of Trinidad, California",earthquake,4.55,5.01,0.159,5.0,reviewed,nc,nc,7.103785807952505,7
