event_id,strike,dip,rake,quality,fault_plane_uncertainty,aux_plane_uncertainty,num_p_pol,num_sp_ratios,polarity_misfit,prob_mech,sta_distribution_ratio,sp_misfit,mult_solution_flag
nc51207829,129.6133,77.6335,-168.4329,A,24.6336,22.6547,32,0,3.4,85.1,82.4,0.0,False
nc73201181,112.5341,83.2584,-179.8331,A,16.4481,18.1059,63,0,11.9,97.7,68.3,0.0,False
nc51207076,128.202,0.8573,-123.6137,A,24.9018,24.2419,36,0,10.3,89.6,70.7,0.0,False
nc40221138,311.0789,84.7093,-178.2574,A,24.0745,23.2316,46,0,6.3,89.6,58.7,0.0,False
nc73139526,338.6172,85.9462,169.1236,A,16.8012,25.4146,28,0,7.4,91.6,76.0,0.0,False
nc72239881,107.4419,85.36,-157.4301,B,37.4606,25.823,15,0,0.0,78.4,67.4,0.0,True
nc72946846,200.097,77.0255,174.7933,B,22.912,33.7583,47,0,12.0,67.8,40.4,0.0,False
nc71872550,177.6127,41.7263,169.6302,B,28.0544,37.2879,21,0,17.6,60.0,71.8,0.0,False
nc73783911,115.2292,72.9817,-118.3742,B,26.9752,35.1117,54,0,11.6,62.4,80.9,0.0,False
nc71634355,340.6525,79.3351,-161.4341,B,27.867,33.4728,29,0,2.3,65.4,40.5,0.0,False
nc73311641,175.2424,40.765,-108.2187,B,17.0131,16.6836,57,0,14.6,100.0,44.3,0.0,False
nc71888456,74.9747,38.8073,-105.4966,B,21.5677,27.1063,41,0,12.7,83.8,40.8,0.0,False
nc73024816,343.2857,57.9244,-140.5852,B,17.9508,17.035,44,0,9.9,100.0,41.0,0.0,False
nc72378641,176.6176,86.6491,84.3856,B,28.9034,30.2247,57,0,17.8,72.4,64.8,0.0,False
nc71919066,325.9181,71.7386,-128.4313,B,21.2793,21.3916,43,0,7.1,96.0,42.1,0.0,False
nc51207214,212.8225,38.3451,-147.8635,B,28.0172,26.6647,27,0,19.9,85.0,45.0,0.0,False
nc40216664,336.559,29.1598,-58.9984,B,12.386,16.363,50,0,8.6,99.5,49.9,0.0,False
nc73118836,343.2438,44.0732,-112.8069,B,16.1847,14.8336,34,0,17.7,100.0,43.7,0.0,False
nc72731930,158.5469,28.5701,-111.4937,C,30.9981,34.3013,29,0,14.4,59.0,40.0,0.0,True
nc72322146,311.4751,82.1627,157.5373,C,32.9334,34.0178,70,0,26.7,55.0,37.2,0.0,True
nc71940250,146.9658,11.7568,-108.0002,C,47.335,20.439,31,0,7.8,54.6,59.4,0.0,True
nc72942761,210.9786,45.1209,-73.551,C,25.1941,26.0216,23,0,20.4,84.0,42.3,0.0,False
nc71349716,329.0949,55.7834,-148.06,C,28.0347,18.88,22,0,15.2,86.5,39.2,0.0,False
nc73821296,176.4431,58.0023,-95.2544,C,22.3685,22.0777,23,0,14.5,95.6,39.2,0.0,False
nc71255501,27.4141,48.4668,-88.4533,C,35.9151,34.5383,20,0,15.2,61.0,73.8,0.0,False
nc73629686,168.5683,57.5092,93.4312,C,43.2863,29.2096,46,0,17.9,63.0,70.6,0.0,True
nc73718040,283.2586,78.4957,-176.9833,C,28.605,37.6369,32,0,21.0,65.8,58.8,0.0,False
nc72189495,197.2191,28.9551,-97.61,C,28.1957,32.3852,34,0,19.1,69.0,39.7,0.0,True
nc72799581,294.8352,84.6738,-142.894,C,29.3302,38.6496,34,0,19.1,57.8,36.9,0.0,False
nc51197189,274.1978,69.2091,156.342,D,47.1008,45.3105,10,0,0.9,28.0,47.5,0.0,True
nc72258726,3.8376,37.4551,-90.7232,D,44.1925,47.0331,21,0,17.4,31.8,66.1,0.0,True
nc71100926,300.2203,45.4125,-95.4327,D,43.911,45.4961,26,0,2.2,30.2,80.7,0.0,True
nc40234034,296.8232,38.2016,-107.7471,D,46.8239,45.398,29,0,8.0,28.8,51.1,0.0,True
nc72404695,129.5793,29.7024,-91.8238,D,48.27,51.7209,16,0,24.3,21.6,38.1,0.0,True
nc71993336,64.4322,47.522,106.3265,D,52.6459,49.9894,11,0,32.8,22.0,63.3,0.0,False
nc71616450,339.1284,40.9813,-143.5875,D,49.8863,47.8191,8,0,17.6,27.6,60.8,0.0,False
