event_id,event_id2,station,location,channel,p_polarity,origin_latitude,origin_longitude,origin_depth_km
nc40210243,nc40210243,KCS,--,SH,0,40.5875,-123.6515,22.66
nc40210243,nc40210243,KCR,--,SH,0,40.5875,-123.6515,22.66
nc40210243,nc40210243,ME30,01,BH,0,40.5875,-123.6515,22.66
nc40210243,nc40210243,KHMB,--,HH,0,40.5875,-123.6515,22.66
nc40210243,nc40210243,KHBB,--,HH,0,40.5875,-123.6515,22.66
nc40210243,nc40210243,KPP,--,SH,0,40.5875,-123.6515,22.66
nc40210243,nc40210243,ME39,01,BH,0,40.5875,-123.6515,22.66
nc40210243,nc40210243,ME08,01,BH,0,40.5875,-123.6515,22.66
nc40210243,nc40210243,KKP,--,SH,0,40.5875,-123.6515,22.66
nc40210243,nc40210243,KSM,--,SH,0,40.5875,-123.6515,22.66
nc40210243,nc40210243,LBP,--,SH,0,40.5875,-123.6515,22.66
nc40210243,nc40210243,KOM,--,SH,0,40.5875,-123.6515,22.66
nc40210243,nc40210243,KBS,--,SH,0,40.5875,-123.6515,22.66
nc40210243,nc40210243,ME09,01,BH,0,40.5875,-123.6515,22.66
nc40210243,nc40210243,LSH,--,SH,0,40.5875,-123.6515,22.66
nc40210243,nc40210243,LPG,--,SH,0,40.5875,-123.6515,22.66
nc40214567,nc40214567,ME31,01,BH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,ME32,01,BH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,JCC,--,HH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,ME33,01,BH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,KHMB,--,HH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,KCR,--,SH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,ME34,01,BH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,ME30,01,BH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,ME35,01,BH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,KCS,--,SH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,KCT,--,HH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,ME37,01,BH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,KRP,--,HH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,ME36,01,BH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,KMR,--,HH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,KJJ,--,SH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,KSM,--,SH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,KHBB,--,HH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,KKP,--,SH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,KOM,--,SH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,ME29,01,BH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,KRMB,--,HH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,LGP,--,SH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,KIP,--,SH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,ME09,01,BH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,ME03,01,BH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,LBK,--,SH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,KFP,--,SH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,LSF,--,SH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,KSXB,--,HH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,LSR,--,SH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,ME44,01,BH,0,40.674166666666665,-123.92416666666666,19.56
nc40214567,nc40214567,KRK,--,SH,0,40.674166666666665,-123.92416666666666,19.56
nc40215417,nc40215417,ME36,01,BH,0,40.23616666666667,-124.119,12.44
nc40215417,nc40215417,KSM,--,SH,0,40.23616666666667,-124.119,12.44
nc40215417,nc40215417,KJJ,--,SH,0,40.23616666666667,-124.119,12.44
nc40215417,nc40215417,KCR,--,SH,0,40.23616666666667,-124.119,12.44
nc40215417,nc40215417,KCT,--,HH,0,40.23616666666667,-124.119,12.44
nc40215417,nc40215417,KMR,--,HH,0,40.23616666666667,-124.119,12.44
nc40215417,nc40215417,ME33,01,BH,0,40.23616666666667,-124.119,12.44
nc40215417,nc40215417,ME37,01,BH,0,40.23616666666667,-124.119,12.44
nc40215417,nc40215417,ME39,01,BH,0,40.23616666666667,-124.119,12.44
nc40215417,nc40215417,ME31,01,BH,0,40.23616666666667,-124.119,12.44
nc40215417,nc40215417,KKP,--,SH,0,40.23616666666667,-124.119,12.44
nc40215417,nc40215417,JCC,--,HH,0,40.23616666666667,-124.119,12.44
nc40215417,nc40215417,KCS,--,SH,0,40.23616666666667,-124.119,12.44
nc40215417,nc40215417,KPP,--,SH,0,40.23616666666667,-124.119,12.44
nc40215417,nc40215417,KIP,--,SH,0,40.23616666666667,-124.119,12.44
