station,location,channel,latitude,longitude,elevation
1010,CC,HNZ,39.8158,-122.33594,156.0
1010,D2,HNZ,39.81796,-122.33601,119.0
1010,LT,HNZ,39.81384,-122.3377,123.0
1010,RA,HNZ,39.81258,-122.33628,161.0
1010,UT,HNZ,39.81384,-122.3377,152.0
1017,CR,HNZ,39.19639,-123.18318,234.0
1017,DS,HNZ,39.19638,-123.18488,195.0
1017,LA,HNZ,39.194,-123.1837,239.0
1017,UT,HNZ,39.19778,-123.1816,225.0
1023,--,HNZ,40.57607,-124.263695,16.0
1023,10,HNZ,40.57607,-124.2637,16.0
1103,BE,HNZ,37.87004,-122.26878,55.0
1103,BW,HNZ,37.87004,-122.26878,55.0
1216,CS,HNZ,38.71702,-123.00909,152.0
1216,DS,HNZ,38.71605,-122.99649,70.0
1216,LA,HNZ,38.72258,-123.00804,167.0
1216,RA,HNZ,38.71384,-123.00869,187.0
1216,RD,HNZ,38.71617,-123.0022,80.0
1216,TO,HNZ,38.71902,-123.00329,68.0
1225,0B,HNZ,37.78268,-122.50482,106.0
1225,RF,HNZ,37.78268,-122.50482,106.0
1239,01,HNZ,37.7952,-122.40282,5.0
1239,03,HNZ,37.7952,-122.40282,5.0
1239,04,HNZ,37.7952,-122.40282,5.0
1239,FE,HNZ,37.7952,-122.40282,5.0
1239,FN,HNZ,37.7952,-122.40282,5.0
1239,FS,HNZ,37.7952,-122.40282,5.0
1446,0B,HNZ,37.78956,-122.40036,7.0
1446,1B,HNZ,37.78956,-122.40036,7.0
1446,3B,HNZ,37.78956,-122.40036,7.0
1446,4B,HNZ,37.78956,-122.40036,7.0
1580,--,HNZ,40.87417,-124.07618,36.0
1580,01,HNZ,40.87772,-124.07738,52.0
1580,10,HNZ,40.87772,-124.07738,52.0
1581,--,HNZ,40.73501,-124.20763,4.0
1581,10,HNZ,40.73501,-124.20763,8.0
1582,--,HNZ,40.69939,-124.20093,13.0
1582,01,HNZ,40.69765,-124.19183,36.0
1582,10,HNZ,40.69765,-124.19183,36.0
1584,--,HNZ,40.49761,-124.29448,753.0
1584,10,HNZ,40.49756,-124.29475,754.0
1584B,--,HNZ,40.49857,-124.29232,720.0
1584B,10,HNZ,40.49857,-124.29232,720.0
1586,--,HNZ,40.6442,-124.22071,36.0
1586,10,HNZ,40.6442,-124.22071,38.0
1591,--,HNZ,40.10538,-123.79032,178.0
1591,10,HNZ,40.10538,-123.79032,178.0
1662,D0,HNZ,37.84066,-122.29659,3.0
1662,D1,HNZ,37.84066,-122.29659,-58.0
1662,FN,HNZ,37.84229,-122.29703,3.0
1662,GC,HNZ,37.842,-122.2963,3.0
1662,GN,HNZ,37.842,-122.2963,3.0
1662,GS,HNZ,37.842,-122.2963,3.0
1662,GW,HNZ,37.842,-122.2963,3.0
1676,0B,HNZ,37.7934,-122.41636,98.0
1678,0B,HNZ,37.80678,-122.47576,58.0
1690,10,HNZ,37.80945,-121.99289,120.0
1690,ER,HNZ,37.80945,-121.99289,120.0
1691,--,HNZ,37.92657,-122.07853,37.0
1691,10,HNZ,37.92657,-122.07853,37.0
1692,DS,HNZ,39.23791,-121.27196,130.0
1692,LA,HNZ,39.23876,-121.26839,174.0
1692,RA,HNZ,39.2398,-121.27122,161.0
1721,GA,HNZ,37.80449,-122.44347,4.0
1721,GB,HNZ,37.80449,-122.44347,4.0
1722,--,HNZ,37.97862,-122.36597,4.0
1722,10,HNZ,37.97862,-122.36597,4.0
1725,--,HNZ,40.54408,-124.3544,173.0
1725,10,HNZ,40.54408,-124.3544,176.0
1735,--,HNZ,37.7804,-122.40994,11.0
