event,year,month,day,hour,minute,sec,type,mag,mmagtype,elat,elon,edep,equal,eRMS,hori_err,dep_err,ori_time_err,n_pick,n_p_pick,n_s_pick,strike,dip,rake,err1,err2,n_pol,weight,f_qual,prob,st_ratio,*
nc40216664,2008,4,30,3,3,6.0,L,5.4,X,40.83583,-123.49683,27.75,X,-9.0,0.3,1.15,-9.0,-18,-9,-9,288,42,-83,35,35,13,0,C,62,34,*
nc40216664,2008,4,30,3,3,6.0,L,5.4,X,40.83583,-123.49683,27.75,X,-9.0,0.3,1.15,-9.0,-18,-9,-9,160,38,-102,43,47,13,2,D,28,35,*
nc51207076,2008,8,17,5,56,59.0,L,4.6,X,41.1885,-124.216,15.66,X,-9.0,0.52,0.36,-9.0,-18,-9,-9,346,90,-147,40,49,10,3,D,28,74,
nc71100926,2008,2,24,13,0,20.0,L,3.28,X,40.90033,-123.72166,4.19,X,-9.0,0.52,1.52,-9.0,-18,-9,-9,43,52,-101,46,49,10,20,D,35,84,
nc73139111,2019,2,2,10,52,21.0,L,4.3,X,40.30067,-124.49467,6.44,X,-9.0,0.31,0.43,-9.0,-18,-9,-9,335,35,76,34,42,10,25,D,48,72,
nc73201181,2019,6,23,3,53,2.0,L,5.58,X,40.2735,-124.30033,9.44,X,-9.0,0.34,0.21,-9.0,-18,-9,-9,79,14,-171,43,39,13,21,D,41,68,*
nc73201181,2019,6,23,3,53,2.0,L,5.58,X,40.2735,-124.30033,9.44,X,-9.0,0.34,0.21,-9.0,-18,-9,-9,102,75,140,44,39,13,20,D,42,71,*
nc73311641,2019,12,4,19,40,14.0,L,3.17,X,40.144,-123.844,22.38,X,-9.0,0.21,0.23,-9.0,-18,-9,-9,186,41,-99,41,45,8,14,D,35,49,
nc73629686,2021,9,26,8,51,30.0,L,3.61,X,40.24917,-124.16367,11.69,X,-9.0,0.32,0.27,-9.0,-18,-9,-9,61,84,147,39,41,13,19,D,42,59,
nc73783911,2022,9,20,14,3,8.0,L,3.96,X,39.8005,-123.18616,9.05,X,-9.0,0.22,0.33,-9.0,-18,-9,-9,297,11,-14,45,48,11,13,D,32,76,
