sta_code,source,count_correct,count_total,pol_accuracy,weight_correct,weight_total,weight_pol_accuracy
1580.01.HNZ,con_p,0,3,0.0,0.0,3.0,0.0
1746.--.HNZ,con_p,0,1,0.0,0.0,1.0,0.0
89464.10.HNZ,con_p,0,3,0.0,0.0,3.0,0.0
89509.--.HNZ,con_p,0,1,0.0,0.0,1.0,0.0
89688.10.HNZ,con_p,0,2,0.0,0.0,2.0,0.0
89781.--.HNZ,con_p,0,1,0.0,0.0,1.0,0.0
99640.--.HNZ,con_p,0,1,0.0,0.0,1.0,0.0
BLAS.00.HHZ,con_p,0,1,0.0,0.0,1.0,0.0
CM02A.--.EHZ,con_p,0,1,0.0,0.0,1.0,0.0
CM03A.--.EHZ,con_p,0,1,0.0,0.0,1.0,0.0
CM04A.--.EHZ,con_p,0,1,0.0,0.0,1.0,0.0
CM05A.--.EHZ,con_p,0,1,0.0,0.0,1.0,0.0
CM06A.--.EHZ,con_p,0,1,0.0,0.0,1.0,0.0
CM07A.--.EHZ,con_p,0,1,0.0,0.0,1.0,0.0
CM08A.--.EHZ,con_p,0,1,0.0,0.0,1.0,0.0
CM09A.--.EHZ,con_p,0,1,0.0,0.0,1.0,0.0
CM10A.--.EHZ,con_p,0,1,0.0,0.0,1.0,0.0
FS01B.--.BHZ,con_p,0,1,0.0,0.0,1.0,0.0
FS05B.--.BHZ,con_p,0,1,0.0,0.0,1.0,0.0
FS06B.--.BHZ,con_p,0,1,0.0,0.0,1.0,0.0
FS07D.--.BHZ,con_p,0,1,0.0,0.0,1.0,0.0
FS14D.--.HHZ,con_p,0,1,0.0,0.0,1.0,0.0
GHOP.00.HHZ,con_p,0,2,0.0,0.0,2.0,0.0
HUNT.00.HHZ,con_p,0,1,0.0,0.0,1.0,0.0
K002.01.HNZ,con_p,0,2,0.0,0.0,2.0,0.0
K003.01.HNZ,con_p,0,1,0.0,0.0,1.0,0.0
K004.01.HNZ,con_p,0,1,0.0,0.0,1.0,0.0
KBN.01.HNZ,con_p,0,1,0.0,0.0,1.0,0.0
KCS.--.EHZ,con_p,0,4,0.0,0.0,4.0,0.0
KCSB.01.HNZ,con_p,0,1,0.0,0.0,1.0,0.0
KMPB.--.HHE,con_p,0,1,0.0,0.0,1.0,0.0
KNEE.00.HHZ,con_p,0,1,0.0,0.0,1.0,0.0
KOM.--.EHZ,con_p,0,1,0.0,0.0,1.0,0.0
KPPB.01.HNZ,con_p,0,1,0.0,0.0,1.0,0.0
M14B.--.BHZ,con_p,0,2,0.0,0.0,2.0,0.0
PRDS.00.HHZ,con_p,0,1,0.0,0.0,1.0,0.0
89462.10.HNZ,con_p,1,4,25.0,1.0,4.0,25.0
KBS.02.EHZ,con_p,1,4,25.0,1.0,4.0,25.0
B047.--.EHZ,con_p,4,14,28.6,4.0,14.0,28.6
B045.--.EHZ,con_p,6,19,31.6,6.0,19.0,31.6
89255.10.HNZ,con_p,2,6,33.3,2.0,6.0,33.3
89101.--.HNZ,con_p,1,3,33.3,1.0,3.0,33.3
89781.10.HNZ,con_p,1,3,33.3,1.0,3.0,33.3
KCO.--.EHZ,con_p,1,3,33.3,1.0,3.0,33.3
KIP.01.HNZ,con_p,1,3,33.3,1.0,3.0,33.3
ME04.01.BHZ,con_p,1,3,33.3,1.0,3.0,33.3
ME08.01.BHZ,con_p,1,3,33.3,1.0,3.0,33.3
ME27.01.BHZ,con_p,1,3,33.3,1.0,3.0,33.3
ME29.01.BHZ,con_p,1,3,33.3,1.0,3.0,33.3
ME30.01.BHZ,con_p,1,3,33.3,1.0,3.0,33.3
ME31.01.BHZ,con_p,1,3,33.3,1.0,3.0,33.3
ME32.01.BHZ,con_p,1,3,33.3,1.0,3.0,33.3
ME33.01.BHZ,con_p,1,3,33.3,1.0,3.0,33.3
ME34.01.BHZ,con_p,1,3,33.3,1.0,3.0,33.3
ME35.01.BHZ,con_p,1,3,33.3,1.0,3.0,33.3
ME36.01.BHZ,con_p,1,3,33.3,1.0,3.0,33.3
ME37.01.BHZ,con_p,1,3,33.3,1.0,3.0,33.3
ME38.01.BHZ,con_p,1,3,33.3,1.0,3.0,33.3
ME39.01.BHZ,con_p,1,3,33.3,1.0,3.0,33.3
KHBB.--.HHZ,con_p,6,17,35.3,6.0,17.0,35.3
KHMB.--.HHZ,con_p,6,17,35.3,6.0,17.0,35.3
JCC.00.HHZ,con_p,5,14,35.7,5.0,14.0,35.7
B935.--.EHZ,con_p,6,16,37.5,6.0,16.0,37.5
KCO.--.HNZ,con_p,3,8,37.5,3.0,8.0,37.5
B046.--.EHZ,con_p,7,18,38.9,7.0,18.0,38.9
KBN.--.EHZ,con_p,4,10,40.0,4.0,10.0,40.0
KCR.02.EHZ,con_p,4,10,40.0,4.0,10.0,40.0
1582.10.HNZ,con_p,2,5,40.0,2.0,5.0,40.0
1586.10.HNZ,con_p,2,5,40.0,2.0,5.0,40.0
1591.10.HNZ,con_p,2,5,40.0,2.0,5.0,40.0
79435.10.HNZ,con_p,2,5,40.0,2.0,5.0,40.0
KOM.02.HNZ,con_p,2,5,40.0,2.0,5.0,40.0
B933.--.EHZ,con_p,5,12,41.7,5.0,12.0,41.7
B932.--.EHZ,con_p,7,16,43.8,7.0,16.0,43.8
KMPB.--.HHZ,con_p,8,18,44.4,8.0,18.0,44.4
KMR.--.HHZ,con_p,7,15,46.7,7.0,15.0,46.7
KCT.--.HHZ,con_p,8,16,50.0,8.0,16.0,50.0
B049.--.EHZ,con_p,7,14,50.0,7.0,14.0,50.0
KPP.--.EHZ,con_p,4,8,50.0,4.0,8.0,50.0
1584.10.HNZ,con_p,3,6,50.0,3.0,6.0,50.0
89101.10.HNZ,con_p,3,6,50.0,3.0,6.0,50.0
KIP.--.EHZ,con_p,3,6,50.0,3.0,6.0,50.0
BRIC.00.HHZ,con_p,2,4,50.0,2.0,4.0,50.0
HAYF.00.HHZ,con_p,2,4,50.0,2.0,4.0,50.0
JCC.--.HHZ,con_p,2,4,50.0,2.0,4.0,50.0
KPR.01.HNZ,con_p,2,4,50.0,2.0,4.0,50.0
79036.10.HNZ,con_p,1,2,50.0,1.0,2.0,50.0
89255.--.HNZ,con_p,1,2,50.0,1.0,2.0,50.0
89462.--.HNZ,con_p,1,2,50.0,1.0,2.0,50.0
KCR.03.HNZ,con_p,1,2,50.0,1.0,2.0,50.0
ME07.01.BHZ,con_p,1,2,50.0,1.0,2.0,50.0
ME49.01.BHZ,con_p,1,2,50.0,1.0,2.0,50.0
PETL.00.HHZ,con_p,1,2,50.0,1.0,2.0,50.0
RBOW.00.HHZ,con_p,1,2,50.0,1.0,2.0,50.0
KRP.--.HHZ,con_p,8,15,53.3,8.0,15.0,53.3
KSM.02.EHZ,con_p,3,5,60.0,3.0,5.0,60.0
B934.--.EHZ,con_p,6,9,66.7,6.0,9.0,66.7
KKP.--.EHZ,con_p,4,6,66.7,4.0,6.0,66.7
KBU.01.HNZ,con_p,3,4,75.0,3.0,4.0,75.0
1023.10.HNZ,con_p,2,2,100.0,2.0,2.0,100.0
1581.10.HNZ,con_p,2,2,100.0,2.0,2.0,100.0
RVIT.00.HHZ,con_p,2,2,100.0,2.0,2.0,100.0
79036.--.HNZ,con_p,1,1,100.0,1.0,1.0,100.0
79435.--.HNZ,con_p,1,1,100.0,1.0,1.0,100.0
89464.--.HNZ,con_p,1,1,100.0,1.0,1.0,100.0
CM01A.--.EHZ,con_p,1,1,100.0,1.0,1.0,100.0
DMOR.00.HHZ,con_p,1,1,100.0,1.0,1.0,100.0
FS02D.--.BHZ,con_p,1,1,100.0,1.0,1.0,100.0
