file_name,station_id,begin_time,phase_type,phase_time,phase_score,polarity,sharpness
nc71993336.mseed,BK.GASB.00.HHZ,2013-05-17 23:14:24.840,P,2013-05-17 23:15:05.230,0.799,U,E
nc71993336.mseed,NC.GHM..EHZ,2013-05-17 23:14:24.840,P,2013-05-17 23:15:06.260,0.954,U,I
nc71993336.mseed,NC.GRO..EHZ,2013-05-17 23:14:24.840,P,2013-05-17 23:15:03.810,0.978,U,I
nc71993336.mseed,NC.GVV..EHZ,2013-05-17 23:14:24.840,P,2013-05-17 23:15:04.520,0.98,U,I
nc71993336.mseed,NC.KBN..EHZ,2013-05-17 23:14:24.840,P,2013-05-17 23:14:57.910,0.949,D,I
nc71993336.mseed,NC.KFP..EHZ,2013-05-17 23:14:24.840,P,2013-05-17 23:15:04.060,0.893,U,I
nc71993336.mseed,NC.KKP..EHZ,2013-05-17 23:14:24.840,P,2013-05-17 23:15:02.880,0.936,D,I
nc71993336.mseed,NC.KIP..EHZ,2013-05-17 23:14:24.840,P,2013-05-17 23:15:02.480,0.861,U,E
nc71993336.mseed,NC.KPP..EHZ,2013-05-17 23:14:24.840,P,2013-05-17 23:15:04.830,0.956,U,I
nc71993336.mseed,NC.LRB..EHZ,2013-05-17 23:14:24.840,P,2013-05-17 23:15:06.740,0.914,U,E
nc71993336.mseed,NC.LVR..EHZ,2013-05-17 23:14:24.840,P,2013-05-17 23:15:03.900,0.97,U,I
nc71993336.mseed,PB.B932..EHZ,2013-05-17 23:14:24.840,P,2013-05-17 23:15:14.600,0.753,U,E
nc71993336.mseed,PB.B047..EHZ,2013-05-17 23:14:24.840,P,2013-05-17 23:15:14.170,0.88,D,E
nc71993336.mseed,PB.B933..EHZ,2013-05-17 23:14:24.840,P,2013-05-17 23:15:10.290,0.813,D,E
nc71993336.mseed,TA.O02D..HHZ,2013-05-17 23:14:24.840,P,2013-05-17 23:15:03.660,0.945,U,I
nc71993336.mseed,PB.B934..EHZ,2013-05-17 23:14:24.840,P,2013-05-17 23:14:24.850,0.823,U,I
nc71993336.mseed,PB.B047..EHZ,2013-05-17 23:14:24.840,P,2013-05-17 23:15:14.170,0.88,D,E
nc71993336.mseed,PB.B932..EHZ,2013-05-17 23:14:24.840,P,2013-05-17 23:15:14.600,0.753,U,E
nc71993336.mseed,PB.B933..EHZ,2013-05-17 23:14:24.840,P,2013-05-17 23:15:10.290,0.813,D,E
nc71993336.mseed,PB.B934..EHZ,2013-05-17 23:14:24.840,P,2013-05-17 23:14:24.850,0.823,D,E
nc71993336.mseed,TA.O02D..HHZ,2013-05-17 23:14:24.840,P,2013-05-17 23:15:03.660,0.945,U,I
nc51197189.mseed,BK.WDC..HHZ,2008-02-27 00:10:12.820,P,2008-02-27 00:10:56.720,0.915,U,I
nc51197189.mseed,BK.JCC..HHZ,2008-02-27 00:10:12.820,P,2008-02-27 00:10:55.570,0.802,U,I
nc51197189.mseed,BK.YBH..HHZ,2008-02-27 00:10:12.820,P,2008-02-27 00:10:57.170,0.819,U,I
nc51197189.mseed,NC.KHMB..HHZ,2008-02-27 00:10:12.820,P,2008-02-27 00:10:52.930,0.958,U,I
nc51197189.mseed,NC.KCPB..HHZ,2008-02-27 00:10:12.820,P,2008-02-27 00:10:20.330,0.906,U,E
nc51197189.mseed,NC.KHBB..HHZ,2008-02-27 00:10:12.820,P,2008-02-27 00:10:52.750,0.948,U,E
nc51197189.mseed,NC.KRMB..HHZ,2008-02-27 00:10:12.820,P,2008-02-27 00:10:55.650,0.954,D,E
nc51197189.mseed,BK.WDC..HHZ,2008-02-27 00:10:12.820,P,2008-02-27 00:10:56.720,0.915,D,E
nc51197189.mseed,XQ.ME01.01.BHZ,2008-02-27 00:10:12.820,P,2008-02-27 00:10:56.600,0.964,D,E
nc51197189.mseed,XQ.ME03.01.BHZ,2008-02-27 00:10:12.820,P,2008-02-27 00:10:57.150,0.915,D,E
nc51197189.mseed,XQ.ME09.01.BHZ,2008-02-27 00:10:12.820,P,2008-02-27 00:10:51.450,0.968,D,E
nc51197189.mseed,XQ.ME13.01.BHZ,2008-02-27 00:10:12.820,P,2008-02-27 00:10:51.930,0.979,D,E
nc51197189.mseed,XQ.ME27.01.BHZ,2008-02-27 00:10:12.820,P,2008-02-27 00:10:55.820,0.775,D,E
nc51197189.mseed,XQ.ME30.01.BHZ,2008-02-27 00:10:12.820,P,2008-02-27 00:10:51.470,0.952,D,E
nc51197189.mseed,XQ.ME29.01.BHZ,2008-02-27 00:10:12.820,P,2008-02-27 00:10:48.730,0.941,D,E
nc51197189.mseed,XQ.ME39.01.BHZ,2008-02-27 00:10:12.820,P,2008-02-27 00:11:03.320,0.8,D,E
nc51197189.mseed,XQ.ME44.01.BHZ,2008-02-27 00:10:12.820,P,2008-02-27 00:12:19.600,0.876,D,E
nc51197189.mseed,XQ.ME49.01.BHZ,2008-02-27 00:10:12.820,P,2008-02-27 00:10:18.050,0.925,D,E
nc51197189.mseed,XQ.ME52.01.BHZ,2008-02-27 00:10:12.820,P,2008-02-27 00:12:17.000,0.981,D,E
nc72946846.mseed,BK.GASB.00.HHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:23.780,0.959,U,I
