# Snuffler Markers File Version 0.2
event: 2008-02-24 13:00:20.8600  3 qrAH_jiuswziHJsI0Gfxd1THSg4=   40.9003333 -123.7216667         4.19 None None  nc71100926 None
phase: 2008-02-24 13:00:24.9899  0 XQ.ME30.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.8600 P           1 False
phase: 2008-02-24 13:00:26.3991  0 BK.JCC..HHZ     qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.8600 P          -1 False
phase: 2008-02-24 13:00:26.5135  0 XQ.ME31.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.8600 P          -1 False
phase: 2008-02-24 13:00:28.4170  0 XQ.ME32.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.8600 P          -1 False
phase: 2008-02-24 13:00:30.1659  0 XQ.ME33.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.8600 P          -1 False
phase: 2008-02-24 13:00:31.2895  0 XQ.ME04.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.8600 P          -1 False
phase: 2008-02-24 13:00:31.4306  0 XQ.ME29.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.8600 P          -1 False
phase: 2008-02-24 13:00:31.9429  0 XQ.ME35.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.8600 P          -1 False
phase: 2008-02-24 13:00:32.4140  0 XQ.ME34.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.8600 P          -1 False
phase: 2008-02-24 13:00:33.3482  0 XQ.ME27.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.8600 P          -1 False
phase: 2008-02-24 13:00:33.3802  0 XQ.ME13.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.8600 P          -1 False
phase: 2008-02-24 13:00:34.1378  0 XQ.ME37.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.8600 P          -1 False
phase: 2008-02-24 13:00:34.1578  0 NC.KRMB..HHZ    qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.8600 P          -1 False
phase: 2008-02-24 13:00:35.7106  0 XQ.ME36.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.8600 P          -1 False
phase: 2008-02-24 13:00:35.7912  0 XQ.ME39.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.8600 P          -1 False
phase: 2008-02-24 13:00:36.0638  0 XQ.ME08.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.8600 P          -1 False
phase: 2008-02-24 13:00:36.1674  0 XQ.ME09.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.8600 P          -1 False
phase: 2008-02-24 13:00:36.9434  0 XQ.ME03.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.8600 P          -1 False
phase: 2008-02-24 13:00:37.6973  0 XQ.ME38.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.8600 P          -1 False
phase: 2008-02-24 13:00:38.3937  0 XQ.ME01.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.8600 P          -1 False
phase: 2008-02-24 13:00:38.9927  0 BK.WDC..HHZ     qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.8600 P          -1 False
phase: 2008-02-24 13:00:39.0351  0 NC.KSXB..HHZ    qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.8600 P          -1 False
phase: 2008-02-24 13:00:41.7123  0 BK.YBH..HH3     qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.8600 P          -1 False
phase: 2008-02-24 13:00:41.7533  0 BK.YBH..HHZ     qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.8600 P          -1 False
phase: 2008-02-24 13:00:45.2644  0 NC.GRO..EHZ     qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.8600 P          -1 False
phase: 2008-02-24 13:00:45.7450  0 NC.KCPB..HHZ    qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.8600 P          -1 False
phase: 2008-02-24 13:00:47.2664  0 XQ.ME50.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.8600 P        None False
phase: 2008-02-24 13:00:47.3239  0 BK.GASB..HHZ    qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.8600 P        None False
phase: 2008-02-24 13:00:51.1884  0 NC.GHM..EHZ     qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.8600 P        None False
event: 2008-02-27 00:10:42.8200  0 jvJz-mRSOYOx9i76RC5-HL0tgO8=   41.0988333 -123.2238333       35.504 None None  nc51197189 None
phase: 2008-02-27 00:10:48.6991  0 XQ.ME29.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 P           1 False
phase: 2008-02-27 00:10:51.4370  0 XQ.ME30.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 P           1 False
phase: 2008-02-27 00:10:51.4453  0 XQ.ME09.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 P          -1 False
phase: 2008-02-27 00:10:51.9300  0 XQ.ME13.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 P          -1 False
phase: 2008-02-27 00:10:52.7201  0 NC.KHBB..HHZ    jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 P          -1 False
phase: 2008-02-27 00:10:52.8462  0 NC.KHMB..HHZ    jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 P           1 False
phase: 2008-02-27 00:10:53.4500  0 XQ.ME29.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 S        None False
phase: 2008-02-27 00:10:55.3673  0 BK.JCC..HHZ     jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 P        None False
phase: 2008-02-27 00:10:55.6500  0 NC.KRMB..HHZ    jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 P          -1 False
phase: 2008-02-27 00:10:55.6753  0 XQ.ME31.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 P           0 False
phase: 2008-02-27 00:10:55.5924  0 XQ.ME27.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 P        None False
phase: 2008-02-27 00:10:56.3905  0 XQ.ME01.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 P          -1 False
