# Snuffler Markers File Version 0.2
event: 2008-02-24 13:00:20.86000  0 qrAH_jiuswziHJsI0Gfxd1THSg4=   40.9003333 -123.7216667         4.19 None None  nc71100926 None
phase: 2008-02-24 13:00:24.98990  0 XQ.ME30.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.86000 P           1 False
phase: 2008-02-24 13:00:26.42650  0 BK.JCC..HHZ     qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.86000 P          -1 False
phase: 2008-02-24 13:00:26.51350  0 XQ.ME31.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.86000 P          -1 False
phase: 2008-02-24 13:00:28.41700  0 XQ.ME32.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.86000 P          -1 False
phase: 2008-02-24 13:00:30.23030  0 XQ.ME33.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.86000 P          -1 False
phase: 2008-02-24 13:00:31.28950  0 XQ.ME04.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.86000 P          -1 False
phase: 2008-02-24 13:00:31.43060  0 XQ.ME29.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.86000 P          -1 False
phase: 2008-02-24 13:00:31.99270  0 XQ.ME35.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.86000 P          -1 False
phase: 2008-02-24 13:00:32.41400  0 XQ.ME34.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.86000 P          -1 False
phase: 2008-02-24 13:00:33.38020  0 XQ.ME13.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.86000 P          -1 False
phase: 2008-02-24 13:00:33.55930  0 XQ.ME27.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.86000 P           1 False
phase: 2008-02-24 13:00:34.13780  0 XQ.ME37.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.86000 P          -1 False
phase: 2008-02-24 13:00:34.15780  0 NC.KRMB..HHZ    qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.86000 P          -1 False
phase: 2008-02-24 13:00:35.71060  0 XQ.ME36.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.86000 P          -1 False
phase: 2008-02-24 13:00:35.78572  0 XQ.ME39.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.86000 P          -1 False
phase: 2008-02-24 13:00:36.06380  0 XQ.ME08.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.86000 P          -1 False
phase: 2008-02-24 13:00:36.16741  0 XQ.ME09.01.BHZ  qrAH_jiuswziHJsI0Gfxd1THSg4= 2008-02-24   13:00:20.86000 P          -1 False
