station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp,diting_polarity,diting_sharpness,pyrocko_phase_time,pyrocko_polarity
XQ.ME63.01.BH,2008-04-30 03:02:36.900,5734.0,2008-04-30 03:03:34.240,0.779,P,nc40216664.mseed,77611.640625,77611.640625,L,,2008-04-30T03:03:34.06273,1
XQ.ME57.01.BH,2008-04-30 03:02:36.900,4986.0,2008-04-30 03:03:26.760,0.668,P,nc40216664.mseed,120261.6796875,120261.6796875,L,,2008-04-30T03:03:26.59764,1
XQ.ME07.01.BH,2008-04-30 03:02:36.900,3936.0,2008-04-30 03:03:16.260,0.707,P,nc40216664.mseed,8321248.0,8321248.0,L,,2008-04-30T03:03:16.19500,1
XQ.ME04.01.BH,2008-04-30 03:02:36.900,4012.0,2008-04-30 03:03:17.020,0.52,P,nc40216664.mseed,7793526.5,7793526.5,L,,2008-04-30T03:03:16.92713,1
XQ.ME03.01.BH,2008-04-30 03:02:36.900,4550.0,2008-04-30 03:03:22.400,0.804,P,nc40216664.mseed,437412.28125,437412.28125,,,2008-04-30T03:03:22.28528,-1
XQ.ME01.01.BH,2008-04-30 03:02:36.900,4618.0,2008-04-30 03:03:23.080,0.877,P,nc40216664.mseed,260184.078125,260184.078125,,,2008-04-30T03:03:22.96924,-1
NC.KSXB..HH,2008-04-30 03:02:36.900,4723.0,2008-04-30 03:03:24.130,0.712,P,nc40216664.mseed,118146.6953125,118146.6953125,L,E,2008-04-30T03:03:23.98970,-1
NC.KRP..HH,2008-04-30 03:02:36.900,4008.0,2008-04-30 03:03:16.980,0.677,P,nc40216664.mseed,5759925.0,5759925.0,L,E,2008-04-30T03:03:16.89353,1
NC.KRMB..HH,2008-04-30 03:02:36.900,4338.0,2008-04-30 03:03:20.280,0.764,P,nc40216664.mseed,1149029.0,1149029.0,L,E,2008-04-30T03:03:20.19793,-1
NC.KMR..HH,2008-04-30 03:02:36.900,4227.0,2008-04-30 03:03:19.170,0.731,P,nc40216664.mseed,1159454.0,1159454.0,L,E,2008-04-30T03:03:19.17031,1
NC.KMPB..HH,2008-04-30 03:02:36.900,4183.0,2008-04-30 03:03:18.730,0.855,P,nc40216664.mseed,3536234.75,3536234.75,D,E,2008-04-30T03:03:18.75666,1
NC.KHMB..HH,2008-04-30 03:02:36.900,3606.0,2008-04-30 03:03:12.960,0.846,P,nc40216664.mseed,8253262.0,8253262.0,D,E,2008-04-30T03:03:12.91092,1
NC.KHBB..HH,2008-04-30 03:02:36.900,3701.0,2008-04-30 03:03:13.910,0.812,P,nc40216664.mseed,8389793.0,8389793.0,U,E,2008-04-30T03:03:13.87287,-1
NC.KCT..HH,2008-04-30 03:02:36.900,4320.0,2008-04-30 03:03:20.100,0.679,P,nc40216664.mseed,761658.875,761658.875,L,E,2008-04-30T03:03:20.15690,1
NC.KCPB..HH,2008-04-30 03:02:36.900,4911.0,2008-04-30 03:03:26.010,0.744,P,nc40216664.mseed,186212.46875,186212.46875,L,E,2008-04-30T03:03:25.97341,1
NC.GWR..EH,2008-04-30 03:02:36.900,5547.0,2008-04-30 03:03:32.370,0.78,P,nc40216664.mseed,1761.0726318359375,1761.0726318359375,L,E,2008-04-30T03:03:32.57073,-1
NC.GVV..EH,2008-04-30 03:02:36.900,5081.0,2008-04-30 03:03:27.710,0.865,P,nc40216664.mseed,1746.1260986328125,1746.1260986328125,U,E,2008-04-30T03:03:27.79531,-1
NC.GTS..EH,2008-04-30 03:02:36.900,5715.0,2008-04-30 03:03:34.050,0.461,P,nc40216664.mseed,1740.596435546875,1740.596435546875,L,E,2008-04-30T03:03:34.00606,1
NC.GRO..EH,2008-04-30 03:02:36.900,4908.0,2008-04-30 03:03:25.980,0.591,P,nc40216664.mseed,1879.1982421875,1879.1982421875,L,E,2008-04-30T03:03:25.85139,1
NC.GHM..EH,2008-04-30 03:02:36.900,5299.0,2008-04-30 03:03:29.890,0.696,P,nc40216664.mseed,1983.677001953125,1983.677001953125,L,E,2008-04-30T03:03:29.83407,1
NC.GHL..EH,2008-04-30 03:02:36.900,5830.0,2008-04-30 03:03:35.200,0.76,P,nc40216664.mseed,1774.6961669921875,1774.6961669921875,L,E,2008-04-30T03:03:35.08664,1
NC.GHG..EH,2008-04-30 03:02:36.900,5790.0,2008-04-30 03:03:34.800,0.772,P,nc40216664.mseed,1693.7166748046875,1693.7166748046875,L,E,2008-04-30T03:03:34.93012,-1
NC.GCW..EH,2008-04-30 03:02:36.900,5710.0,2008-04-30 03:03:34.000,0.833,P,nc40216664.mseed,1926.40234375,1926.40234375,U,E,2008-04-30T03:03:34.07644,-1
BK.YBH..HH,2008-04-30 03:02:36.900,4840.0,2008-04-30 03:03:25.300,0.741,P,nc40216664.mseed,248524.53125,248524.53125,L,,2008-04-30T03:03:25.13002,1
BK.WDC..HH,2008-04-30 03:02:36.900,4412.0,2008-04-30 03:03:21.020,0.798,P,nc40216664.mseed,2157221.5,2157221.5,L,,2008-04-30T03:03:20.91823,1
BK.JCC..HH,2008-04-30 03:02:36.900,3852.0,2008-04-30 03:03:15.420,0.785,P,nc40216664.mseed,2909965.0,2909965.0,L,,2008-04-30T03:03:15.29529,1
XQ.ME08.01.BH,2008-04-30 03:02:36.900,4203.0,2008-04-30 03:03:18.930,0.732,P,nc40216664.mseed,1629768.75,1629768.75,L,,2008-04-30T03:03:18.86749,1
BK.GASB..HH,2008-04-30 03:02:36.900,5240.0,2008-04-30 03:03:29.300,0.773,P,nc40216664.mseed,90815.7109375,90815.7109375,L,E,2008-04-30T03:03:29.16796,1
