station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp,sta_dist_km,diting_polarity,diting_sharpness,pyrocko_phase_time,pyrocko_polarity
XQ.ME31.01.BH,2008-04-04 17:10:56.150,3417.0,2008-04-04 17:11:30.245,0.971,P,nc40214567.mseed,16581.435546875,16581.435546875,5.65,-1,I,,
XQ.ME32.01.BH,2008-04-04 17:10:56.150,3462.0,2008-04-04 17:11:30.695,0.981,P,nc40214567.mseed,12086.4443359375,12086.4443359375,10.78,-1,I,,
BK.JCC..HH,2008-04-04 17:10:56.150,3486.0,2008-04-04 17:11:30.935,0.974,P,nc40214567.mseed,4464.0390625,4464.0390625,18.23,-1,I,,
XQ.ME33.01.BH,2008-04-04 17:10:56.150,3599.0,2008-04-04 17:11:32.065,0.949,P,nc40214567.mseed,6074.5341796875,6074.5341796875,23.61,1,I,,
XQ.ME35.01.BH,2008-04-04 17:10:56.150,3731.0,2008-04-04 17:11:33.385,0.957,P,nc40214567.mseed,6593.771484375,6593.771484375,25.94,1,E,,
XQ.ME34.01.BH,2008-04-04 17:10:56.150,3654.0,2008-04-04 17:11:32.615,0.977,P,nc40214567.mseed,37591.91015625,37591.91015625,27.3,1,I,,
NC.KHMB..HN,2008-04-04 17:10:56.150,3639.0,2008-04-04 17:11:32.465,0.907,P,nc40214567.mseed,13.40137767791748,13.40137767791748,27.53,-1,E,,
XQ.ME30.01.BH,2008-04-04 17:10:56.150,3699.0,2008-04-04 17:11:33.065,0.983,P,nc40214567.mseed,13441.083984375,13441.083984375,35.66,1,I,,
NC.KCT..HN,2008-04-04 17:10:56.150,3838.0,2008-04-04 17:11:34.455,0.876,P,nc40214567.mseed,2.2091267108917236,2.2091267108917236,41.37,1,I,,
XQ.ME37.01.BH,2008-04-04 17:10:56.150,3926.0,2008-04-04 17:11:35.335,0.965,P,nc40214567.mseed,2079.423095703125,2079.423095703125,48.91,-1,I,,
XQ.ME36.01.BH,2008-04-04 17:10:56.150,3972.0,2008-04-04 17:11:35.795,0.92,P,nc40214567.mseed,6088.05908203125,6088.05908203125,51.48,1,I,,
NC.KHBB..HN,2008-04-04 17:10:56.150,4058.0,2008-04-04 17:11:36.655,0.977,P,nc40214567.mseed,3.341153860092163,3.341153860092163,59.59,1,E,,
XQ.ME04.01.BH,2008-04-04 17:10:56.150,4335.0,2008-04-04 17:11:39.425,0.918,P,nc40214567.mseed,2544.80615234375,2544.80615234375,83.11,1,E,,
XQ.ME29.01.BH,2008-04-04 17:10:56.150,4342.0,2008-04-04 17:11:39.495,0.939,P,nc40214567.mseed,6488.734375,6488.734375,83.99,1,E,,
XQ.ME13.01.BH,2008-04-04 17:10:56.150,4378.0,2008-04-04 17:11:39.855,0.883,P,nc40214567.mseed,1183.714599609375,1183.714599609375,85.6,1,E,,
XQ.ME09.01.BH,2008-04-04 17:10:56.150,4705.0,2008-04-04 17:11:43.125,0.918,P,nc40214567.mseed,621.98974609375,621.98974609375,110.86,1,I,,
XQ.ME03.01.BH,2008-04-04 17:10:56.150,4718.0,2008-04-04 17:11:43.255,0.969,P,nc40214567.mseed,467.1350708007813,467.1350708007813,114.21,1,I,,
BK.WDC..HH,2008-04-04 17:10:56.150,4892.0,2008-04-04 17:11:44.995,0.886,P,nc40214567.mseed,291.6533203125,291.6533203125,117.48,-1,E,,
XQ.ME44.01.BH,2008-04-04 17:10:56.150,10082.0,2008-04-04 17:12:36.895,0.879,P,nc40214567.mseed,1528.8004150390625,1528.8004150390625,145.46,1,I,,
BK.YBH..HH,2008-04-04 17:10:56.150,5312.0,2008-04-04 17:11:49.195,0.886,P,nc40214567.mseed,347.544677734375,347.544677734375,155.46,-1,I,,
NC.GHM..EH,2008-04-04 17:10:56.150,10263.0,2008-04-04 17:12:38.705,0.984,P,nc40214567.mseed,101.14966583251952,101.14966583251952,155.9,1,I,,
XQ.ME45.01.BH,2008-04-04 17:10:56.150,10191.0,2008-04-04 17:12:37.985,0.963,P,nc40214567.mseed,605.2708740234375,605.2708740234375,157.32,1,I,,
XQ.ME52.01.BH,2008-04-04 17:10:56.150,10237.0,2008-04-04 17:12:38.445,0.982,P,nc40214567.mseed,909.570068359375,909.570068359375,161.68,-1,I,,
XQ.ME05.01.BH,2008-04-04 17:10:56.150,5790.0,2008-04-04 17:11:53.975,0.881,P,nc40214567.mseed,331.9257507324219,331.9257507324219,183.53,1,I,,
XQ.ME15.01.BH,2008-04-04 17:10:56.150,5826.0,2008-04-04 17:11:54.335,0.901,P,nc40214567.mseed,545.492919921875,545.492919921875,189.8,1,E,,
XQ.ME36.01.BH,2008-04-16 16:46:54.950,3271.0,2008-04-16 16:47:27.585,0.966,P,nc40215417.mseed,95364.765625,95364.765625,4.04,1,I,,
XQ.ME34.01.BH,2008-04-16 16:46:54.950,3586.0,2008-04-16 16:47:30.735,0.922,P,nc40215417.mseed,14937.9931640625,14937.9931640625,27.42,-1,I,,
NC.KCT..HN,2008-04-16 16:46:54.950,3692.0,2008-04-16 16:47:31.795,0.951,P,nc40215417.mseed,4.187529563903809,4.187529563903809,32.42,-1,I,,
NC.KMR..HN,2008-04-16 16:46:54.950,3717.0,2008-04-16 16:47:32.045,0.943,P,nc40215417.mseed,3.0147454738616943,3.0147454738616943,35.13,-1,I,,
XQ.ME33.01.BH,2008-04-16 16:46:54.950,3783.0,2008-04-16 16:47:32.705,0.949,P,nc40215417.mseed,7828.3154296875,7828.3154296875,38.42,-1,I,,
XQ.ME37.01.BH,2008-04-16 16:46:54.950,3799.0,2008-04-16 16:47:32.865,0.931,P,nc40215417.mseed,11426.6455078125,11426.6455078125,39.93,-1,I,,
XQ.ME35.01.BH,2008-04-16 16:46:54.950,3711.0,2008-04-16 16:47:31.985,0.884,P,nc40215417.mseed,15846.5546875,15846.5546875,41.77,-1,E,,
XQ.ME39.01.BH,2008-04-16 16:46:54.950,3901.0,2008-04-16 16:47:33.885,0.944,P,nc40215417.mseed,11366.001953125,11366.001953125,44.98,-1,I,,
XQ.ME38.01.BH,2008-04-16 16:46:54.950,4069.0,2008-04-16 16:47:35.565,0.895,P,nc40215417.mseed,7053.79736328125,7053.79736328125,54.56,1,I,,
XQ.ME31.01.BH,2008-04-16 16:46:54.950,4074.0,2008-04-16 16:47:35.615,0.926,P,nc40215417.mseed,3439.443359375,3439.443359375,55.89,1,I,,
XQ.ME60.01.BH,2008-04-16 16:46:54.950,6252.0,2008-04-16 16:47:57.395,0.881,P,nc40215417.mseed,306.7467956542969,306.7467956542969,222.53,-1,E,,
XQ.ME35.01.BH,2008-04-20 13:53:28.660,3504.0,2008-04-20 13:54:03.625,0.982,P,nc40215622.mseed,20335.97265625,20335.97265625,22.41,-1,E,,
XQ.ME33.01.BH,2008-04-20 13:53:28.660,3541.0,2008-04-20 13:54:03.995,0.97,P,nc40215622.mseed,13774.8623046875,13774.8623046875,26.94,-1,I,,
NC.KHBB..HN,2008-04-20 13:53:28.660,3615.0,2008-04-20 13:54:04.735,0.976,P,nc40215622.mseed,2.79658842086792,2.79658842086792,27.79,-1,I,,
XQ.ME27.01.BH,2008-04-20 13:53:28.660,3626.0,2008-04-20 13:54:04.845,0.98,P,nc40215622.mseed,8314.107421875,8314.107421875,28.95,-1,I,,
XQ.ME37.01.BH,2008-04-20 13:53:28.660,3584.0,2008-04-20 13:54:04.425,0.947,P,nc40215622.mseed,6733.1484375,6733.1484375,29.17,-1,I,,
XQ.ME32.01.BH,2008-04-20 13:53:28.660,3646.0,2008-04-20 13:54:05.045,0.962,P,nc40215622.mseed,9265.98828125,9265.98828125,32.64,-1,I,,
XQ.ME08.01.BH,2008-04-20 13:53:28.660,3737.0,2008-04-20 13:54:05.955,0.886,P,nc40215622.mseed,2249.02587890625,2249.02587890625,35.96,1,I,,
XQ.ME30.01.BH,2008-04-20 13:53:28.660,3681.0,2008-04-20 13:54:05.395,0.964,P,nc40215622.mseed,4887.943359375,4887.943359375,37.07,-1,I,,
XQ.ME39.01.BH,2008-04-20 13:53:28.660,3731.0,2008-04-20 13:54:05.895,0.945,P,nc40215622.mseed,2606.712646484375,2606.712646484375,37.37,-1,I,,
NC.KMR..HN,2008-04-20 13:53:28.660,3771.0,2008-04-20 13:54:06.295,0.961,P,nc40215622.mseed,5.3420634269714355,5.3420634269714355,39.47,-1,I,,
XQ.ME31.01.BH,2008-04-20 13:53:28.660,3915.0,2008-04-20 13:54:07.735,0.918,P,nc40215622.mseed,2603.776123046875,2603.776123046875,45.25,-1,I,,
XQ.ME34.01.BH,2008-04-20 13:53:28.660,4025.0,2008-04-20 13:54:08.835,0.943,P,nc40215622.mseed,7625.3583984375,7625.3583984375,54.38,-1,E,,
XQ.ME36.01.BH,2008-04-20 13:53:28.660,4193.0,2008-04-20 13:54:10.515,0.972,P,nc40215622.mseed,5013.42041015625,5013.42041015625,64.65,-1,I,,
XQ.ME49.01.BH,2008-04-20 13:53:28.660,4385.0,2008-04-20 13:54:12.435,0.932,P,nc40215622.mseed,1851.2398681640625,1851.2398681640625,74.97,-1,E,,
XQ.ME09.01.BH,2008-04-20 13:53:28.660,4554.0,2008-04-20 13:54:14.125,0.89,P,nc40215622.mseed,1002.2225952148438,1002.2225952148438,90.28,-1,E,,
XQ.ME04.01.BH,2008-04-20 13:53:28.660,4587.0,2008-04-20 13:54:14.455,0.91,P,nc40215622.mseed,1729.962646484375,1729.962646484375,93.37,-1,E,,
NC.GRO..EH,2008-04-20 13:53:28.660,4732.0,2008-04-20 13:54:15.905,0.982,P,nc40215622.mseed,150.40347290039062,150.40347290039062,96.05,,,,
XQ.ME50.01.BH,2008-04-20 13:53:28.660,4807.0,2008-04-20 13:54:16.655,0.923,P,nc40215622.mseed,1735.8140869140625,1735.8140869140625,99.1,-1,I,,
XQ.ME10.01.BH,2008-04-20 13:53:28.660,4725.0,2008-04-20 13:54:15.835,0.899,P,nc40215622.mseed,1963.2191162109375,1963.2191162109375,99.66,-1,E,,
XQ.ME57.01.BH,2008-04-20 13:53:28.660,4843.0,2008-04-20 13:54:17.015,0.903,P,nc40215622.mseed,922.7503662109376,922.7503662109376,102.97,1,E,,
XQ.ME15.01.BH,2008-04-20 13:53:28.660,5677.0,2008-04-20 13:54:25.355,0.876,P,nc40215622.mseed,873.4592895507812,873.4592895507812,155.94,-1,E,,
XQ.ME02.01.BH,2008-04-20 13:53:28.660,5759.0,2008-04-20 13:54:26.175,0.913,P,nc40215622.mseed,1307.9559326171875,1307.9559326171875,162.36,-1,E,,
NC.GPM.02.EH,2008-04-20 13:53:28.660,13950.0,2008-04-20 13:55:48.085,0.957,P,nc40215622.mseed,99.00553131103516,99.00553131103516,191.07,1,I,,
NC.GSG.02.EH,2008-04-20 13:53:28.660,13994.0,2008-04-20 13:55:48.525,0.958,P,nc40215622.mseed,136.71434020996094,136.71434020996094,194.78,,,,
NC.KCT..HN,2008-04-21 23:19:52.050,3703.0,2008-04-21 23:20:29.005,0.964,P,nc40215740.mseed,4.963484764099121,4.963484764099121,22.41,1,I,,
XQ.ME34.01.BH,2008-04-21 23:19:52.050,13491.0,2008-04-21 23:22:06.885,0.883,P,nc40215740.mseed,2007.3018798828125,2007.3018798828125,39.79,-1,E,,
XQ.ME34.01.BH,2008-04-21 23:19:52.050,3905.0,2008-04-21 23:20:31.025,0.986,P,nc40215740.mseed,25249.17578125,25249.17578125,39.79,1,I,,
XQ.ME36.01.BH,2008-04-21 23:19:52.050,3935.0,2008-04-21 23:20:31.325,0.982,P,nc40215740.mseed,10032.1181640625,10032.1181640625,47.88,-1,I,,
BK.JCC..HH,2008-04-21 23:19:52.050,4095.0,2008-04-21 23:20:32.925,0.974,P,nc40215740.mseed,5673.8046875,5673.8046875,57.44,-1,I,,
XQ.ME31.01.BH,2008-04-21 23:19:52.050,4145.0,2008-04-21 23:20:33.425,0.951,P,nc40215740.mseed,3136.488525390625,3136.488525390625,58.72,1,I,,
XQ.ME32.01.BH,2008-04-21 23:19:52.050,4207.0,2008-04-21 23:20:34.045,0.966,P,nc40215740.mseed,3886.0693359375,3886.0693359375,62.52,1,I,,
XQ.ME33.01.BH,2008-04-21 23:19:52.050,4266.0,2008-04-21 23:20:34.635,0.97,P,nc40215740.mseed,2175.811279296875,2175.811279296875,67.2,1,I,,
XQ.ME35.01.BH,2008-04-21 23:19:52.050,4313.0,2008-04-21 23:20:35.105,0.958,P,nc40215740.mseed,1635.446044921875,1635.446044921875,71.77,1,E,,
XQ.ME30.01.BH,2008-04-21 23:19:52.050,4588.0,2008-04-21 23:20:37.855,0.949,P,nc40215740.mseed,1147.9422607421875,1147.9422607421875,93.64,1,I,,
NC.KRMB..HN,2008-04-21 23:19:52.050,4944.0,2008-04-21 23:20:41.415,0.945,P,nc40215740.mseed,2.3260140419006348,2.3260140419006348,124.58,-1,I,,
XQ.ME29.01.BH,2008-04-21 23:19:52.050,5195.0,2008-04-21 23:20:43.925,0.913,P,nc40215740.mseed,1914.62158203125,1914.62158203125,140.15,1,E,,
XQ.ME03.01.BH,2008-04-21 23:19:52.050,5159.0,2008-04-21 23:20:43.565,0.977,P,nc40215740.mseed,6765.04443359375,6765.04443359375,143.41,-1,I,,
XQ.ME09.01.BH,2008-04-21 23:19:52.050,5579.0,2008-04-21 23:20:47.765,0.95,P,nc40215740.mseed,423.9007568359375,423.9007568359375,169.25,-1,E,,
BK.WDC..HH,2008-04-21 23:19:52.050,5635.0,2008-04-21 23:20:48.325,0.899,P,nc40215740.mseed,189.924560546875,189.924560546875,173.86,-1,E,,
NC.GRO..EH,2008-04-21 23:19:52.050,5718.0,2008-04-21 23:20:49.155,0.913,P,nc40215740.mseed,102.48373413085938,102.48373413085938,177.07,,,,
XQ.ME12.01.BH,2008-04-21 23:19:52.050,5862.0,2008-04-21 23:20:50.595,0.875,P,nc40215740.mseed,982.6565551757812,982.6565551757812,184.16,-1,I,,
XQ.ME10.01.BH,2008-04-21 23:19:52.050,5840.0,2008-04-21 23:20:50.375,0.959,P,nc40215740.mseed,735.9158325195312,735.9158325195312,186.21,1,E,,
XQ.ME24.01.BH,2008-04-21 23:19:52.050,6179.0,2008-04-21 23:20:53.765,0.933,P,nc40215740.mseed,770.4561767578125,770.4561767578125,216.78,1,I,,
NC.KMR..HN,2008-04-23 04:24:49.620,3471.0,2008-04-23 04:25:24.255,0.98,P,nc40215840.mseed,4.112529277801514,4.112529277801514,13.34,-1,I,,
XQ.ME39.01.BH,2008-04-23 04:24:49.620,3503.0,2008-04-23 04:25:24.575,0.98,P,nc40215840.mseed,6543.18701171875,6543.18701171875,18.25,,,,
XQ.ME38.01.BH,2008-04-23 04:24:49.620,3561.0,2008-04-23 04:25:25.155,0.969,P,nc40215840.mseed,8544.3212890625,8544.3212890625,22.48,,,,
XQ.ME37.01.BH,2008-04-23 04:24:49.620,3568.0,2008-04-23 04:25:25.225,0.981,P,nc40215840.mseed,7877.77734375,7877.77734375,23.63,,,,
XQ.ME49.01.BH,2008-04-23 04:24:49.620,3602.0,2008-04-23 04:25:25.565,0.967,P,nc40215840.mseed,10784.2421875,10784.2421875,25.55,,,,
XQ.ME36.01.BH,2008-04-23 04:24:49.620,3787.0,2008-04-23 04:25:27.415,0.961,P,nc40215840.mseed,19371.63671875,19371.63671875,38.1,,,,
XQ.ME41.01.BH,2008-04-23 04:24:49.620,3859.0,2008-04-23 04:25:28.135,0.938,P,nc40215840.mseed,7029.25927734375,7029.25927734375,41.47,,,,
XQ.ME08.01.BH,2008-04-23 04:24:49.620,3847.0,2008-04-23 04:25:28.015,0.945,P,nc40215840.mseed,4455.81005859375,4455.81005859375,41.94,1,I,,
XQ.ME35.01.BH,2008-04-23 04:24:49.620,3686.0,2008-04-23 04:25:26.405,0.943,P,nc40215840.mseed,5209.53369140625,5209.53369140625,43.61,,,,
XQ.ME33.01.BH,2008-04-23 04:24:49.620,3866.0,2008-04-23 04:25:28.205,0.912,P,nc40215840.mseed,3433.564208984375,3433.564208984375,43.69,,,,
NC.KCPB..HN,2008-04-23 04:24:49.620,3912.0,2008-04-23 04:25:28.665,0.973,P,nc40215840.mseed,2.802380323410034,2.802380323410034,47.56,-1,E,,
XQ.ME34.01.BH,2008-04-23 04:24:49.620,4022.0,2008-04-23 04:25:29.765,0.921,P,nc40215840.mseed,3351.606201171875,3351.606201171875,53.28,-1,E,,
XQ.ME32.01.BH,2008-04-23 04:24:49.620,4051.0,2008-04-23 04:25:30.055,0.927,P,nc40215840.mseed,3001.5458984375,3001.5458984375,56.1,-1,I,,
XQ.ME27.01.BH,2008-04-23 04:24:49.620,4154.0,2008-04-23 04:25:31.085,0.98,P,nc40215840.mseed,3781.211669921875,3781.211669921875,65.77,,,,
XQ.ME31.01.BH,2008-04-23 04:24:49.620,4243.0,2008-04-23 04:25:31.975,0.911,P,nc40215840.mseed,1088.151123046875,1088.151123046875,71.78,,,,
XQ.ME44.01.BH,2008-04-23 04:24:49.620,4333.0,2008-04-23 04:25:32.875,0.939,P,nc40215840.mseed,1099.5811767578125,1099.5811767578125,82.87,,,,
XQ.ME30.01.BH,2008-04-23 04:24:49.620,4374.0,2008-04-23 04:25:33.285,0.964,P,nc40215840.mseed,804.8638916015625,804.8638916015625,85.29,,,,
NC.GRO..EH,2008-04-23 04:24:49.620,4583.0,2008-04-23 04:25:35.375,0.931,P,nc40215840.mseed,107.78313446044922,107.78313446044922,95.5,,,,
BK.GASB..HH,2008-04-23 04:24:49.620,4603.0,2008-04-23 04:25:35.575,0.892,P,nc40215840.mseed,355.0610656738281,355.0610656738281,102.07,-1,I,,
XQ.ME13.01.BH,2008-04-23 04:24:49.620,4622.0,2008-04-23 04:25:35.765,0.924,P,nc40215840.mseed,737.6460571289062,737.6460571289062,103.81,,,,
NC.GWR..EH,2008-04-23 04:24:49.620,4595.0,2008-04-23 04:25:35.495,0.944,P,nc40215840.mseed,46.26146697998047,46.26146697998047,106.05,-1,I,,
XQ.ME29.01.BH,2008-04-23 04:24:49.620,4946.0,2008-04-23 04:25:39.005,0.89,P,nc40215840.mseed,1201.083984375,1201.083984375,128.21,,,,
NC.GTS..EH,2008-04-23 04:24:49.620,5014.0,2008-04-23 04:25:39.685,0.926,P,nc40215840.mseed,36.92813491821289,36.92813491821289,132.02,,,,
NC.KHMB..HN,2008-04-30 03:02:36.900,3605.0,2008-04-30 03:03:12.875,0.91,P,nc40216664.mseed,2326.254638671875,2326.254638671875,20.34,-1,E,,
XQ.ME13.01.BH,2008-04-30 03:02:36.900,3923.0,2008-04-30 03:03:16.055,0.879,P,nc40216664.mseed,8376309.5,8376309.5,49.49,1,E,2008-04-30T03:03:16.1260,1.0
XQ.ME27.01.BH,2008-04-30 03:02:36.900,3962.0,2008-04-30 03:03:16.445,0.935,P,nc40216664.mseed,4918262.5,4918262.5,51.41,1,I,2008-04-30T03:03:16.4093,-1.0
NC.KMPB..HN,2008-04-30 03:02:36.900,4183.0,2008-04-30 03:03:18.655,0.892,P,nc40216664.mseed,696.9854736328125,696.9854736328125,70.34,1,E,,
XQ.ME09.01.BH,2008-04-30 03:02:36.900,4174.0,2008-04-30 03:03:18.565,0.885,P,nc40216664.mseed,4369245.5,4369245.5,70.59,-1,E,2008-04-30T03:03:18.6220,1.0
NC.KRMB..HN,2008-04-30 03:02:36.900,4338.0,2008-04-30 03:03:20.205,0.918,P,nc40216664.mseed,204.09890747070312,204.09890747070312,83.75,1,E,,
XQ.ME10.01.BH,2008-04-30 03:02:36.900,4426.0,2008-04-30 03:03:21.085,0.878,P,nc40216664.mseed,1448296.625,1448296.625,88.28,-1,E,,
XQ.ME49.01.BH,2008-04-30 03:02:36.900,4676.0,2008-04-30 03:03:23.585,0.891,P,nc40216664.mseed,331790.28125,331790.28125,109.63,-1,E,2008-04-30T03:03:23.6559,1.0
NC.GVV..EH,2008-04-30 03:02:36.900,5078.0,2008-04-30 03:03:27.605,0.91,P,nc40216664.mseed,1746.1260986328125,1746.1260986328125,136.92,,,2008-04-30T03:03:27.6421,1.0
NC.GBB..EH,2008-04-30 03:02:36.900,5257.0,2008-04-30 03:03:29.395,0.891,P,nc40216664.mseed,1926.0364990234375,1926.0364990234375,150.91,,,,
NC.KBO..HN,2008-04-30 03:02:36.900,5358.0,2008-04-30 03:03:30.405,0.884,P,nc40216664.mseed,43.09133529663086,43.09133529663086,164.55,-1,E,,
NC.GCK..EH,2008-04-30 03:02:36.900,5554.0,2008-04-30 03:03:32.365,0.898,P,nc40216664.mseed,1925.347412109375,1925.347412109375,169.51,,,,
XQ.ME11.01.BH,2008-04-30 03:02:36.900,5624.0,2008-04-30 03:03:33.065,0.886,P,nc40216664.mseed,421960.59375,421960.59375,180.74,-1,E,,
NC.GWR..EH,2008-04-30 03:02:36.900,5546.0,2008-04-30 03:03:32.285,0.878,P,nc40216664.mseed,1761.0726318359375,1761.0726318359375,181.77,1,E,2008-04-30T03:03:32.5838,-1.0
PB.B035..EH,2008-04-30 03:02:36.900,5665.0,2008-04-30 03:03:33.475,0.875,P,nc40216664.mseed,14712.6220703125,14712.6220703125,185.46,-1,E,,
PB.B036..EH,2008-04-30 03:02:36.900,5670.0,2008-04-30 03:03:33.525,0.892,P,nc40216664.mseed,19124.48828125,19124.48828125,185.73,-1,E,,
UW.BUO..EH,2008-04-30 03:02:36.900,5872.0,2008-04-30 03:03:35.545,0.879,P,nc40216664.mseed,2201.138427734375,2201.138427734375,191.17,,,,
NC.GCW..EH,2008-04-30 03:02:36.900,5709.0,2008-04-30 03:03:33.915,0.883,P,nc40216664.mseed,1926.40234375,1926.40234375,192.68,1,E,2008-04-30T03:03:33.9294,1.0
XQ.ME30.01.BH,2008-04-30 03:07:35.220,14818.0,2008-04-30 03:10:03.325,0.93,P,nc40216665.mseed,7254.64794921875,7254.64794921875,7.44,,,,
XQ.ME30.01.BH,2008-04-30 03:07:35.220,11995.0,2008-04-30 03:09:35.095,0.982,P,nc40216665.mseed,2320.34375,2320.34375,7.44,,,,
XQ.ME30.01.BH,2008-04-30 03:07:35.220,3470.0,2008-04-30 03:08:09.845,0.984,P,nc40216665.mseed,10254.3525390625,10254.3525390625,7.44,,,,
NC.KHMB..HN,2008-04-30 03:07:35.220,3585.0,2008-04-30 03:08:10.995,0.978,P,nc40216665.mseed,1.855952501296997,1.855952501296997,21.9,-1,I,,
NC.KHBB..HN,2008-04-30 03:07:35.220,3677.0,2008-04-30 03:08:11.915,0.986,P,nc40216665.mseed,7.928436756134033,7.928436756134033,29.54,1,I,,
XQ.ME29.01.BH,2008-04-30 03:07:35.220,12346.0,2008-04-30 03:09:38.605,0.924,P,nc40216665.mseed,2034.5487060546875,2034.5487060546875,43.85,,,,
XQ.ME29.01.BH,2008-04-30 03:07:35.220,3819.0,2008-04-30 03:08:13.335,0.933,P,nc40216665.mseed,11830.748046875,11830.748046875,43.85,,,,
