station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp,sta_dist_km,diting_polarity,diting_sharpness,pyrocko_phase_time,pyrocko_polarity,mag,depth,lat,long
XQ.ME31.01.BH,2008-04-04 17:10:56.150,3417.0,2008-04-04 17:11:30.245,0.971,P,nc40214567.mseed,16581.435546875,16581.435546875,5.65,-1,I,,,2.31,19.556,40.6741667,-123.9241667
XQ.ME32.01.BH,2008-04-04 17:10:56.150,3462.0,2008-04-04 17:11:30.695,0.981,P,nc40214567.mseed,12086.4443359375,12086.4443359375,10.78,-1,I,,,2.31,19.556,40.6741667,-123.9241667
BK.JCC..HH,2008-04-04 17:10:56.150,3486.0,2008-04-04 17:11:30.935,0.974,P,nc40214567.mseed,4464.0390625,4464.0390625,18.23,-1,I,,,2.31,19.556,40.6741667,-123.9241667
XQ.ME35.01.BH,2008-04-04 17:10:56.150,3731.0,2008-04-04 17:11:33.385,0.957,P,nc40214567.mseed,6593.771484375,6593.771484375,25.94,1,E,,,2.31,19.556,40.6741667,-123.9241667
XQ.ME34.01.BH,2008-04-04 17:10:56.150,3654.0,2008-04-04 17:11:32.615,0.977,P,nc40214567.mseed,37591.91015625,37591.91015625,27.3,1,I,,,2.31,19.556,40.6741667,-123.9241667
XQ.ME30.01.BH,2008-04-04 17:10:56.150,3699.0,2008-04-04 17:11:33.065,0.983,P,nc40214567.mseed,13441.083984375,13441.083984375,35.66,1,I,,,2.31,19.556,40.6741667,-123.9241667
XQ.ME37.01.BH,2008-04-04 17:10:56.150,3926.0,2008-04-04 17:11:35.335,0.965,P,nc40214567.mseed,2079.423095703125,2079.423095703125,48.91,-1,I,,,2.31,19.556,40.6741667,-123.9241667
NC.KHBB..HN,2008-04-04 17:10:56.150,4058.0,2008-04-04 17:11:36.655,0.977,P,nc40214567.mseed,3.341153860092163,3.341153860092163,59.59,1,E,,,2.31,19.556,40.6741667,-123.9241667
XQ.ME03.01.BH,2008-04-04 17:10:56.150,4718.0,2008-04-04 17:11:43.255,0.969,P,nc40214567.mseed,467.1350708007813,467.1350708007813,114.21,1,I,,,2.31,19.556,40.6741667,-123.9241667
XQ.ME36.01.BH,2008-04-16 16:46:54.950,3271.0,2008-04-16 16:47:27.585,0.966,P,nc40215417.mseed,95364.765625,95364.765625,4.04,1,I,,,2.51,12.442,40.2361667,-124.119
NC.KCT..HN,2008-04-16 16:46:54.950,3692.0,2008-04-16 16:47:31.795,0.951,P,nc40215417.mseed,4.187529563903809,4.187529563903809,32.42,-1,I,,,2.51,12.442,40.2361667,-124.119
XQ.ME35.01.BH,2008-04-20 13:53:28.660,3504.0,2008-04-20 13:54:03.625,0.982,P,nc40215622.mseed,20335.97265625,20335.97265625,22.41,-1,E,,,2.18,8.574,40.5145,-123.4868333
