station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp,sta_dist_km,diting_polarity,diting_sharpness,pyrocko_phase_time,pyrocko_polarity
NC.GRO..EH,2008-04-16 16:46:54.950,5132.0,2008-04-16 16:47:46.170,0.882,P,nc40215417.mseed,159.8134307861328,159.8134307861328,128.49,1,E,,
NC.KCPB..HH,2008-04-16 16:46:54.950,4380.0,2008-04-16 16:47:38.650,0.878,P,nc40215417.mseed,612.8584594726562,612.8584594726562,76.35,-1,E,,
NC.KCT..HH,2008-04-16 16:46:54.950,3696.0,2008-04-16 16:47:31.810,0.919,P,nc40215417.mseed,5823.71484375,5823.71484375,32.42,-1,I,,
NC.KHBB..HH,2008-04-16 16:46:54.950,4532.0,2008-04-16 16:47:40.170,0.944,P,nc40215417.mseed,591.2468872070312,591.2468872070312,89.64,1,E,,
NC.KMR..HH,2008-04-16 16:46:54.950,3727.0,2008-04-16 16:47:32.120,0.942,P,nc40215417.mseed,10737.8525390625,10737.8525390625,35.13,-1,I,,
XQ.ME08.01.BH,2008-04-16 16:46:54.950,4308.0,2008-04-16 16:47:37.930,0.905,P,nc40215417.mseed,2192.818359375,2192.818359375,69.3,,,,
XQ.ME33.01.BH,2008-04-16 16:46:54.950,3792.0,2008-04-16 16:47:32.770,0.916,P,nc40215417.mseed,7431.68017578125,7431.68017578125,38.42,-1,I,,
XQ.ME34.01.BH,2008-04-16 16:46:54.950,3592.0,2008-04-16 16:47:30.770,0.919,P,nc40215417.mseed,14035.556640625,14035.556640625,27.42,-1,I,,
XQ.ME36.01.BH,2008-04-16 16:46:54.950,3274.0,2008-04-16 16:47:27.590,0.962,P,nc40215417.mseed,103685.6171875,103685.6171875,4.04,,,,
XQ.ME38.01.BH,2008-04-16 16:46:54.950,4078.0,2008-04-16 16:47:35.630,0.974,P,nc40215417.mseed,5905.91162109375,5905.91162109375,54.56,1,I,,
BK.GASB..HH,,,,,P,nc40216664.mseed,,,,,,2008-04-30T03:03:29.1680,1
BK.JCC..HH,,,,,P,nc40216664.mseed,,,,,,2008-04-30T03:03:15.2953,1
BK.WDC..HH,2008-04-30 03:02:36.900,4411.0,2008-04-30 03:03:20.910,0.892,P,nc40216664.mseed,351973.4375,351973.4375,85.62,-1,E,2008-04-30T03:03:20.9182,1
BK.YBH..HH,,,,,P,nc40216664.mseed,,,,,,2008-04-30T03:03:25.1300,1
NC.GCW..EH,,,,,P,nc40216664.mseed,,,,,,2008-04-30T03:03:33.9294,1
NC.GHG..EH,,,,,P,nc40216664.mseed,,,,,,2008-04-30T03:03:34.7753,1
NC.GHL..EH,,,,,P,nc40216664.mseed,,,,,,2008-04-30T03:03:35.0866,1
NC.GHM..EH,,,,,P,nc40216664.mseed,,,,,,2008-04-30T03:03:29.8341,1
NC.GRO..EH,,,,,P,nc40216664.mseed,,,,,,2008-04-30T03:03:25.8514,1
NC.GVV..EH,,,,,P,nc40216664.mseed,,,,,,2008-04-30T03:03:27.6421,1
NC.GWR..EH,,,,,P,nc40216664.mseed,,,,,,2008-04-30T03:03:32.5838,-1
NC.KCPB..HH,,,,,P,nc40216664.mseed,,,,,,2008-04-30T03:03:25.9734,1
NC.KCT..HH,,,,,P,nc40216664.mseed,,,,,,2008-04-30T03:03:20.0756,1
NC.KHBB..HH,,,,,P,nc40216664.mseed,,,,,,2008-04-30T03:03:13.8729,-1
NC.KHMB..HH,2008-04-30 03:02:36.900,3611.0,2008-04-30 03:03:12.910,0.929,P,nc40216664.mseed,2421500.0,2421500.0,20.34,-1,E,2008-04-30T03:03:12.8597,-1
NC.KMPB..HH,,,,,P,nc40216664.mseed,,,,,,2008-04-30T03:03:18.7567,1
NC.KMR..HH,,,,,P,nc40216664.mseed,,,,,,2008-04-30T03:03:19.1703,1
NC.KRMB..HH,2008-04-30 03:02:36.900,4343.0,2008-04-30 03:03:20.230,0.936,P,nc40216664.mseed,245146.078125,245146.078125,83.75,-1,E,2008-04-30T03:03:20.1979,-1
NC.KRP..HH,,,,,P,nc40216664.mseed,,,,,,2008-04-30T03:03:16.8935,1
