station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp,sta_dist_km
XQ.ME31.01.BH,2008-04-04T17:10:56.150,3415,2008-04-04T17:11:30.300,0.955,P,nc40214567.mseed,14003.8056640625,14003.8056640625,5.65
XQ.ME32.01.BH,2008-04-04T17:10:56.150,3462,2008-04-04T17:11:30.770,0.969,P,nc40214567.mseed,10884.021484375,10884.021484375,10.78
BK.JCC..HH,2008-04-04T17:10:56.150,3486,2008-04-04T17:11:31.010,0.975,P,nc40214567.mseed,4026.403564453125,4026.403564453125,18.23
XQ.ME33.01.BH,2008-04-04T17:10:56.150,3599,2008-04-04T17:11:32.140,0.932,P,nc40214567.mseed,5679.31396484375,5679.31396484375,23.61
XQ.ME35.01.BH,2008-04-04T17:10:56.150,3731,2008-04-04T17:11:33.460,0.949,P,nc40214567.mseed,5652.5712890625,5652.5712890625,25.94
XQ.ME34.01.BH,2008-04-04T17:10:56.150,3654,2008-04-04T17:11:32.690,0.969,P,nc40214567.mseed,30166.796875,30166.796875,27.3
NC.KMPB..HN,2008-04-04T17:10:56.150,3890,2008-04-04T17:11:35.050,0.879,P,nc40214567.mseed,39.11949157714844,39.11949157714844,33.04
XQ.ME30.01.BH,2008-04-04T17:10:56.150,3698,2008-04-04T17:11:33.130,0.971,P,nc40214567.mseed,10655.2451171875,10655.2451171875,35.66
NC.KCT..HN,2008-04-04T17:10:56.150,3838,2008-04-04T17:11:34.530,0.909,P,nc40214567.mseed,2.0776944160461426,2.0776944160461426,41.37
XQ.ME37.01.BH,2008-04-04T17:10:56.150,3927,2008-04-04T17:11:35.420,0.926,P,nc40214567.mseed,1849.5311279296875,1849.5311279296875,48.91
XQ.ME36.01.BH,2008-04-04T17:10:56.150,3974,2008-04-04T17:11:35.890,0.911,P,nc40214567.mseed,5304.1650390625,5304.1650390625,51.48
NC.KHBB..HN,2008-04-04T17:10:56.150,4058,2008-04-04T17:11:36.730,0.973,P,nc40214567.mseed,2.671461820602417,2.671461820602417,59.59
XQ.ME04.01.BH,2008-04-04T17:10:56.150,4335,2008-04-04T17:11:39.500,0.858,P,nc40214567.mseed,2348.050537109375,2348.050537109375,83.11
XQ.ME29.01.BH,2008-04-04T17:10:56.150,4342,2008-04-04T17:11:39.570,0.934,P,nc40214567.mseed,4982.46630859375,4982.46630859375,83.99
XQ.ME13.01.BH,2008-04-04T17:10:56.150,4378,2008-04-04T17:11:39.930,0.933,P,nc40214567.mseed,865.8053588867188,865.8053588867188,85.6
XQ.ME09.01.BH,2008-04-04T17:10:56.150,4704,2008-04-04T17:11:43.190,0.922,P,nc40214567.mseed,478.1387023925781,478.1387023925781,110.86
XQ.ME03.01.BH,2008-04-04T17:10:56.150,4715,2008-04-04T17:11:43.300,0.943,P,nc40214567.mseed,437.0450744628906,437.0450744628906,114.21
BK.WDC..HH,2008-04-04T17:10:56.150,4894,2008-04-04T17:11:45.090,0.922,P,nc40214567.mseed,273.92822265625,273.92822265625,117.48
XQ.ME43.01.BH,2008-04-04T17:10:56.150,10247,2008-04-04T17:12:38.620,0.904,P,nc40214567.mseed,540.8508911132812,540.8508911132812,138.21
XQ.ME44.01.BH,2008-04-04T17:10:56.150,10083,2008-04-04T17:12:36.980,0.878,P,nc40214567.mseed,935.0119018554688,935.0119018554688,145.46
BK.YBH..HH,2008-04-04T17:10:56.150,5313,2008-04-04T17:11:49.280,0.875,P,nc40214567.mseed,342.4845886230469,342.4845886230469,155.46
NC.GHM..EH,2008-04-04T17:10:56.150,10263,2008-04-04T17:12:38.780,0.983,P,nc40214567.mseed,84.39575958251953,84.39575958251953,155.9
XQ.ME45.01.BH,2008-04-04T17:10:56.150,10191,2008-04-04T17:12:38.060,0.935,P,nc40214567.mseed,586.3814697265625,586.3814697265625,157.32
XQ.ME52.01.BH,2008-04-04T17:10:56.150,10235,2008-04-04T17:12:38.500,0.974,P,nc40214567.mseed,707.1491088867188,707.1491088867188,161.68
NC.GCW..EH,2008-04-04T17:10:56.150,10594,2008-04-04T17:12:42.090,0.925,P,nc40214567.mseed,41.89402770996094,41.89402770996094,186.04
XQ.ME15.01.BH,2008-04-04T17:10:56.150,5830,2008-04-04T17:11:54.450,0.876,P,nc40214567.mseed,520.3773193359375,520.3773193359375,189.8
XQ.ME36.01.BH,2008-04-16T16:46:54.950,3270,2008-04-16T16:47:27.650,0.954,P,nc40215417.mseed,83085.59375,83085.59375,4.04
XQ.ME34.01.BH,2008-04-16T16:46:54.950,3586,2008-04-16T16:47:30.810,0.904,P,nc40215417.mseed,13215.1474609375,13215.1474609375,27.42
NC.KCT..HN,2008-04-16T16:46:54.950,3694,2008-04-16T16:47:31.890,0.921,P,nc40215417.mseed,3.9453394412994385,3.9453394412994385,32.42
NC.KMR..HN,2008-04-16T16:46:54.950,3717,2008-04-16T16:47:32.120,0.927,P,nc40215417.mseed,2.8731815814971924,2.8731815814971924,35.13
XQ.ME33.01.BH,2008-04-16T16:46:54.950,2565,2008-04-16T16:47:20.600,0.924,P,nc40215417.mseed,979.4840087890624,979.4840087890624,38.42
XQ.ME33.01.BH,2008-04-16T16:46:54.950,3783,2008-04-16T16:47:32.780,0.925,P,nc40215417.mseed,6624.6435546875,6624.6435546875,38.42
XQ.ME37.01.BH,2008-04-16T16:46:54.950,2588,2008-04-16T16:47:20.830,0.867,P,nc40215417.mseed,1050.605712890625,1050.605712890625,39.93
XQ.ME39.01.BH,2008-04-16T16:46:54.950,2683,2008-04-16T16:47:21.780,0.851,P,nc40215417.mseed,1108.7235107421875,1108.7235107421875,44.98
XQ.ME39.01.BH,2008-04-16T16:46:54.950,3902,2008-04-16T16:47:33.970,0.905,P,nc40215417.mseed,10333.7109375,10333.7109375,44.98
XQ.ME32.01.BH,2008-04-16T16:46:54.950,2732,2008-04-16T16:47:22.270,0.869,P,nc40215417.mseed,987.997314453125,987.997314453125,45.13
XQ.ME32.01.BH,2008-04-16T16:46:54.950,3943,2008-04-16T16:47:34.380,0.862,P,nc40215417.mseed,5223.26611328125,5223.26611328125,45.13
XQ.ME38.01.BH,2008-04-16T16:46:54.950,2858,2008-04-16T16:47:23.530,0.963,P,nc40215417.mseed,742.31689453125,742.31689453125,54.56
XQ.ME38.01.BH,2008-04-16T16:46:54.950,4068,2008-04-16T16:47:35.630,0.85,P,nc40215417.mseed,5208.9580078125,5208.9580078125,54.56
XQ.ME31.01.BH,2008-04-16T16:46:54.950,4074,2008-04-16T16:47:35.690,0.873,P,nc40215417.mseed,2939.79248046875,2939.79248046875,55.89
XQ.ME04.01.BH,2008-04-16T16:46:54.950,5080,2008-04-16T16:47:45.750,0.861,P,nc40215417.mseed,517.2534790039062,517.2534790039062,134.33
XQ.ME24.01.BH,2008-04-16T16:46:54.950,5674,2008-04-16T16:47:51.690,0.867,P,nc40215417.mseed,472.3542785644531,472.3542785644531,176.69
XQ.ME35.01.BH,2008-04-20T13:53:28.660,3502,2008-04-20T13:54:03.680,0.977,P,nc40215622.mseed,10433.625,10433.625,22.41
XQ.ME33.01.BH,2008-04-20T13:53:28.660,3538,2008-04-20T13:54:04.040,0.955,P,nc40215622.mseed,12077.984375,12077.984375,26.94
NC.KHBB..HN,2008-04-20T13:53:28.660,3613,2008-04-20T13:54:04.790,0.964,P,nc40215622.mseed,2.102647066116333,2.102647066116333,27.79
XQ.ME27.01.BH,2008-04-20T13:53:28.660,3625,2008-04-20T13:54:04.910,0.967,P,nc40215622.mseed,6382.8671875,6382.8671875,28.95
XQ.ME37.01.BH,2008-04-20T13:53:28.660,3582,2008-04-20T13:54:04.480,0.943,P,nc40215622.mseed,5652.36474609375,5652.36474609375,29.17
XQ.ME32.01.BH,2008-04-20T13:53:28.660,3642,2008-04-20T13:54:05.080,0.949,P,nc40215622.mseed,8598.255859375,8598.255859375,32.64
XQ.ME08.01.BH,2008-04-20T13:53:28.660,3733,2008-04-20T13:54:05.990,0.88,P,nc40215622.mseed,2038.63037109375,2038.63037109375,35.96
XQ.ME30.01.BH,2008-04-20T13:53:28.660,3679,2008-04-20T13:54:05.450,0.948,P,nc40215622.mseed,3870.429443359375,3870.429443359375,37.07
XQ.ME39.01.BH,2008-04-20T13:53:28.660,3729,2008-04-20T13:54:05.950,0.912,P,nc40215622.mseed,2404.272705078125,2404.272705078125,37.37
NC.KMR..HN,2008-04-20T13:53:28.660,3770,2008-04-20T13:54:06.360,0.961,P,nc40215622.mseed,5.0618977546691895,5.0618977546691895,39.47
NC.KHMB..HN,2008-04-20T13:53:28.660,3844,2008-04-20T13:54:07.100,0.865,P,nc40215622.mseed,0.9140611886978148,0.9140611886978148,45.08
XQ.ME31.01.BH,2008-04-20T13:53:28.660,3915,2008-04-20T13:54:07.810,0.885,P,nc40215622.mseed,2313.47998046875,2313.47998046875,45.25
XQ.ME34.01.BH,2008-04-20T13:53:28.660,4023,2008-04-20T13:54:08.890,0.936,P,nc40215622.mseed,6625.00341796875,6625.00341796875,54.38
XQ.ME13.01.BH,2008-04-20T13:53:28.660,4036,2008-04-20T13:54:09.020,0.884,P,nc40215622.mseed,2706.065185546875,2706.065185546875,55.53
XQ.ME36.01.BH,2008-04-20T13:53:28.660,4191,2008-04-20T13:54:10.570,0.956,P,nc40215622.mseed,4660.205078125,4660.205078125,64.65
XQ.ME49.01.BH,2008-04-20T13:53:28.660,4383,2008-04-20T13:54:12.490,0.931,P,nc40215622.mseed,1719.95703125,1719.95703125,74.97
BK.WDC..HH,2008-04-20T13:53:28.660,4436,2008-04-20T13:54:13.020,0.914,P,nc40215622.mseed,443.8154296875,443.8154296875,80.44
XQ.ME04.01.BH,2008-04-20T13:53:28.660,4587,2008-04-20T13:54:14.530,0.891,P,nc40215622.mseed,1404.4266357421875,1404.4266357421875,93.37
NC.GRO..EH,2008-04-20T13:53:28.660,4730,2008-04-20T13:54:15.960,0.978,P,nc40215622.mseed,136.82925415039062,136.82925415039062,96.05
XQ.ME50.01.BH,2008-04-20T13:53:28.660,4808,2008-04-20T13:54:16.740,0.893,P,nc40215622.mseed,1655.0906982421875,1655.0906982421875,99.1
XQ.ME10.01.BH,2008-04-20T13:53:28.660,4722,2008-04-20T13:54:15.880,0.884,P,nc40215622.mseed,1538.0933837890625,1538.0933837890625,99.66
XQ.ME57.01.BH,2008-04-20T13:53:28.660,4842,2008-04-20T13:54:17.080,0.894,P,nc40215622.mseed,905.5973510742188,905.5973510742188,102.97
XQ.ME16.01.BH,2008-04-20T13:53:28.660,5032,2008-04-20T13:54:18.980,0.863,P,nc40215622.mseed,789.0703735351562,789.0703735351562,118.78
NC.GCK..EH,2008-04-20T13:53:28.660,5522,2008-04-20T13:54:23.880,0.877,P,nc40215622.mseed,56.40382385253906,56.40382385253906,140.19
XQ.ME15.01.BH,2008-04-20T13:53:28.660,5675,2008-04-20T13:54:25.410,0.856,P,nc40215622.mseed,861.5286865234375,861.5286865234375,155.94
XQ.ME02.01.BH,2008-04-20T13:53:28.660,5759,2008-04-20T13:54:26.250,0.889,P,nc40215622.mseed,1301.5140380859375,1301.5140380859375,162.36
NC.GPM.02.EH,2008-04-20T13:53:28.660,13949,2008-04-20T13:55:48.150,0.951,P,nc40215622.mseed,76.04524993896484,76.04524993896484,191.07
