station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp,sta_dist_km
BK.PETL.00.HN,2020-02-15T11:37:17.720,3162,2020-02-15 11:37:49.340000,0.978,P,nc73341335.mseed,25.120019912719727,25.120019912719727,1.56
CE.89101.10.HN,2020-02-15T11:37:17.720,3215,2020-02-15 11:37:49.870000,0.981,P,nc73341335.mseed,9.099861145019531,9.099861145019531,7.58
PB.B046..EH,2020-02-15T11:37:17.720,3208,2020-02-15 11:37:49.800000,0.988,P,nc73341335.mseed,13009.9306640625,13009.9306640625,7.63
NC.KCO..HN,2020-02-15T11:37:17.720,3270,2020-02-15 11:37:50.420000,0.98,P,nc73341335.mseed,27.504079818725582,27.504079818725582,8.68
PB.B932..EH,2020-02-15T11:37:17.720,3290,2020-02-15 11:37:50.620000,0.982,P,nc73341335.mseed,14141.875,14141.875,11.92
NC.KMPB..HN,2020-02-15T11:37:17.720,3519,2020-02-15 11:37:52.910000,0.959,P,nc73341335.mseed,1.6801730394363403,1.6801730394363403,25.06
NC.KPR.01.HN,2020-02-15T11:37:17.720,3587,2020-02-15 11:37:53.590000,0.973,P,nc73341335.mseed,4.2136359214782715,4.2136359214782715,26.84
PB.B045..EH,2020-02-15T11:37:17.720,3702,2020-02-15 11:37:54.740000,0.975,P,nc73341335.mseed,4349.0859375,4349.0859375,35.14
BK.BRIC.00.HN,2020-02-15T11:37:17.720,3886,2020-02-15 11:37:56.580000,0.984,P,nc73341335.mseed,2.1077628135681152,2.1077628135681152,43.97
PB.B049..EH,2020-02-15T11:37:17.720,3909,2020-02-15 11:37:56.810000,0.976,P,nc73341335.mseed,1212.43212890625,1212.43212890625,46.33
PB.B935..EH,2020-02-15T11:37:17.720,4346,2020-02-15 11:38:01.180000,0.948,P,nc73341335.mseed,192.6309814453125,192.6309814453125,70.21
NC.KOM.02.EH,2014-09-29T14:52:20.910,3611,2014-09-29 14:52:57.020000,0.981,P,nc72316851.mseed,768.1449584960938,768.1449584960938,14.19
NC.LGP..EH,2014-09-29T14:52:20.910,4006,2014-09-29 14:53:00.970000,0.968,P,nc72316851.mseed,859.1141357421875,859.1141357421875,53.45
7D.G26D..HH,2014-09-29T14:52:20.910,13483,2014-09-29 14:54:35.740000,0.899,P,nc72316851.mseed,203.88128662109375,203.88128662109375,185.45
PB.B046..EH,2013-12-16T19:01:10.960,3383,2013-12-16 19:01:44.790000,0.981,P,nc72122060.mseed,10845.1396484375,10845.1396484375,16.6
PB.B046..EH,2013-12-16T19:01:10.960,12511,2013-12-16 19:03:16.070000,0.986,P,nc72122060.mseed,254.2960662841797,254.2960662841797,16.6
NC.KCO..EH,2013-12-16T19:01:10.960,3443,2013-12-16 19:01:45.390000,0.982,P,nc72122060.mseed,1686.7567138671875,1686.7567138671875,18.94
NC.KCT..HN,2013-12-16T19:01:10.960,3519,2013-12-16 19:01:46.150000,0.955,P,nc72122060.mseed,2.6007325649261475,2.6007325649261475,22.18
PB.B932..EH,2013-12-16T19:01:10.960,3470,2013-12-16 19:01:45.660000,0.983,P,nc72122060.mseed,4584.9150390625,4584.9150390625,22.19
PB.B047..EH,2013-12-16T19:01:10.960,3570,2013-12-16 19:01:46.660000,0.978,P,nc72122060.mseed,2977.750244140625,2977.750244140625,27.03
NC.KSM.02.EH,2013-12-16T19:01:10.960,3613,2013-12-16 19:01:47.090000,0.976,P,nc72122060.mseed,1538.4844970703125,1538.4844970703125,29.05
NC.KMPB..HN,2013-12-16T19:01:10.960,3686,2013-12-16 19:01:47.820000,0.916,P,nc72122060.mseed,1.959618330001831,1.959618330001831,32.75
PB.B933..EH,2013-12-16T19:01:10.960,3954,2013-12-16 19:01:50.500000,0.975,P,nc72122060.mseed,668.5887451171875,668.5887451171875,51.37
NC.KCR.02.EH,2013-12-16T19:01:10.960,4139,2013-12-16 19:01:52.350000,0.94,P,nc72122060.mseed,360.1443786621094,360.1443786621094,57.43
NC.KCT..HN,2008-04-21T23:19:52.050,3702,2008-04-21 23:20:29.070000,0.962,P,nc40215740.mseed,4.629560947418213,4.629560947418213,22.41
XQ.ME34.01.BH,2008-04-21T23:19:52.050,3903,2008-04-21 23:20:31.080000,0.985,P,nc40215740.mseed,16238.0849609375,16238.0849609375,39.79
XQ.ME36.01.BH,2008-04-21T23:19:52.050,3934,2008-04-21 23:20:31.390000,0.977,P,nc40215740.mseed,5405.31103515625,5405.31103515625,47.88
BK.JCC..HH,2008-04-21T23:19:52.050,4094,2008-04-21 23:20:32.990000,0.965,P,nc40215740.mseed,4868.2001953125,4868.2001953125,57.44
XQ.ME31.01.BH,2008-04-21T23:19:52.050,4143,2008-04-21 23:20:33.480000,0.935,P,nc40215740.mseed,2574.513671875,2574.513671875,58.72
XQ.ME32.01.BH,2008-04-21T23:19:52.050,4206,2008-04-21 23:20:34.110000,0.953,P,nc40215740.mseed,3594.72216796875,3594.72216796875,62.52
XQ.ME33.01.BH,2008-04-21T23:19:52.050,4265,2008-04-21 23:20:34.700000,0.963,P,nc40215740.mseed,1943.47998046875,1943.47998046875,67.2
XQ.ME35.01.BH,2008-04-21T23:19:52.050,4311,2008-04-21 23:20:35.160000,0.962,P,nc40215740.mseed,868.1104125976562,868.1104125976562,71.77
XQ.ME30.01.BH,2008-04-21T23:19:52.050,4586,2008-04-21 23:20:37.910000,0.926,P,nc40215740.mseed,665.6484375,665.6484375,93.64
NC.KRMB..HN,2008-04-21T23:19:52.050,4944,2008-04-21 23:20:41.490000,0.928,P,nc40215740.mseed,1.534543752670288,1.534543752670288,124.58
XQ.ME03.01.BH,2008-04-21T23:19:52.050,5158,2008-04-21 23:20:43.630000,0.981,P,nc40215740.mseed,2332.013916015625,2332.013916015625,143.41
XQ.ME09.01.BH,2008-04-21T23:19:52.050,5579,2008-04-21 23:20:47.840000,0.932,P,nc40215740.mseed,370.7776794433594,370.7776794433594,169.25
XQ.ME24.01.BH,2008-04-21T23:19:52.050,6180,2008-04-21 23:20:53.850000,0.932,P,nc40215740.mseed,549.0926513671875,549.0926513671875,216.78
NC.KHMB..HN,2013-11-20T18:35:07.050,3547,2013-11-20 18:35:42.520000,0.957,P,nc72110581.mseed,6.005583763122559,6.005583763122559,19.91
NC.KOM.02.EH,2013-11-20T18:35:07.050,3686,2013-11-20 18:35:43.910000,0.953,P,nc72110581.mseed,544.733154296875,544.733154296875,33.2
BK.JCC.00.HN,2013-11-20T18:35:07.050,3825,2013-11-20 18:35:45.300000,0.939,P,nc72110581.mseed,1.5707937479019165,1.5707937479019165,44.65
NC.KHBB..HN,2013-11-20T18:35:07.050,3870,2013-11-20 18:35:45.750000,0.969,P,nc72110581.mseed,1.21644127368927,1.21644127368927,45.98
NC.LGP..EH,2013-11-20T18:35:07.050,4074,2013-11-20 18:35:47.790000,0.983,P,nc72110581.mseed,1505.611083984375,1505.611083984375,61.29
NC.KRMB..HN,2013-11-20T18:35:07.050,4114,2013-11-20 18:35:48.190000,0.975,P,nc72110581.mseed,0.4968703389167785,0.4968703389167785,66.45
NC.LBK..EH,2013-11-20T18:35:07.050,4262,2013-11-20 18:35:49.670000,0.946,P,nc72110581.mseed,1025.206298828125,1025.206298828125,74.99
NC.KBN..EH,2018-08-27T01:22:16.770,3803,2018-08-27 01:22:54.800000,0.984,P,nc73076250.mseed,179.3802490234375,179.3802490234375,31.94
NC.KKP..EH,2018-08-27T01:22:16.770,3850,2018-08-27 01:22:55.270000,0.98,P,nc73076250.mseed,520.0689697265625,520.0689697265625,33.75
NC.LVR..EH,2018-08-27T01:22:16.770,3855,2018-08-27 01:22:55.320000,0.985,P,nc73076250.mseed,271.3064880371094,271.3064880371094,36.98
NC.LRB..EH,2018-08-27T01:22:16.770,3974,2018-08-27 01:22:56.510000,0.929,P,nc73076250.mseed,199.9397735595703,199.9397735595703,44.08
NC.GVV..EH,2018-08-27T01:22:16.770,4074,2018-08-27 01:22:57.510000,0.952,P,nc73076250.mseed,175.72190856933594,175.72190856933594,55.06
NC.LGP..EH,2018-08-27T01:22:16.770,4445,2018-08-27 01:23:01.220000,0.894,P,nc73076250.mseed,118.65972900390624,118.65972900390624,85.57
PB.B047..EH,2017-09-20T14:34:25.770,3210,2017-09-20 14:34:57.870000,0.983,P,nc72895731.mseed,57638.7109375,57638.7109375,0.93
PB.B932..EH,2017-09-20T14:34:25.770,3207,2017-09-20 14:34:57.840000,0.983,P,nc72895731.mseed,30758.66015625,30758.66015625,4.25
NC.KSM.02.EH,2017-09-20T14:34:25.770,3247,2017-09-20 14:34:58.240000,0.968,P,nc72895731.mseed,1669.834228515625,1669.834228515625,7.52
NC.KSM.02.EH,2017-09-20T14:34:25.770,4066,2017-09-20 14:35:06.430000,0.863,P,nc72895731.mseed,2023.208740234375,2023.208740234375,7.52
PB.B046..EH,2017-09-20T14:34:25.770,3305,2017-09-20 14:34:58.820000,0.974,P,nc72895731.mseed,24809.546875,24809.546875,11.68
NC.KCT..HN,2017-09-20T14:34:25.770,3616,2017-09-20 14:35:01.930000,0.977,P,nc72895731.mseed,2.1614370346069336,2.1614370346069336,28.0
NC.KCR.02.EH,2017-09-20T14:34:25.770,3742,2017-09-20 14:35:03.190000,0.933,P,nc72895731.mseed,525.8772583007812,525.8772583007812,35.94
