station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp,diting_polarity,diting_sharpness,pyrocko_phase_time,pyrocko_polarity
NC.GHM..EH,2013-05-17 23:14:24.840,4142,2013-05-17 23:15:06.260,0.954,P,nc71993336.mseed,90.17759704589844,90.17759704589844,U,I,2013-05-17T23:15:06.23361,1
NC.GRO..EH,2013-05-17 23:14:24.840,3897,2013-05-17 23:15:03.810,0.978,P,nc71993336.mseed,102.46006774902344,102.46006774902344,U,I,2013-05-17T23:15:03.81000,1
NC.GVV..EH,2013-05-17 23:14:24.840,3968,2013-05-17 23:15:04.520,0.98,P,nc71993336.mseed,171.6143341064453,171.6143341064453,U,I,2013-05-17T23:15:04.52000,1
NC.KBN..EH,2013-05-17 23:14:24.840,3307,2013-05-17 23:14:57.910,0.949,P,nc71993336.mseed,757.9444580078125,757.9444580078125,D,I,2013-05-17T23:14:57.91000,-1
NC.KFP..EH,2013-05-17 23:14:24.840,3922,2013-05-17 23:15:04.060,0.893,P,nc71993336.mseed,90.9634017944336,90.9634017944336,U,I,2013-05-17T23:15:04.11446,1
NC.KIP..EH,2013-05-17 23:14:24.840,3764,2013-05-17 23:15:02.480,0.861,P,nc71993336.mseed,271.9612731933594,271.9612731933594,U,E,2013-05-17T23:15:02.51117,1
NC.KKP..EH,2013-05-17 23:14:24.840,3804,2013-05-17 23:15:02.880,0.936,P,nc71993336.mseed,109.18766784667967,109.18766784667967,D,I,2013-05-17T23:15:02.83645,1
NC.KPP..EH,2013-05-17 23:14:24.840,3999,2013-05-17 23:15:04.830,0.956,P,nc71993336.mseed,221.26527404785156,221.26527404785156,U,I,2013-05-17T23:15:04.83000,1
NC.LRB..EH,2013-05-17 23:14:24.840,4190,2013-05-17 23:15:06.740,0.914,P,nc71993336.mseed,64.55886840820312,64.55886840820312,U,E,2013-05-17T23:15:06.74000,1
NC.LVR..EH,2013-05-17 23:14:24.840,3906,2013-05-17 23:15:03.900,0.97,P,nc71993336.mseed,185.88333129882812,185.88333129882812,U,I,2013-05-17T23:15:03.90000,1
PB.B047..EH,2013-05-17 23:14:24.840,4933,2013-05-17 23:15:14.170,0.88,P,nc71993336.mseed,64.02173614501953,64.02173614501953,D,E,2013-05-17T23:15:14.17000,-1
PB.B933..EH,2013-05-17 23:14:24.840,4545,2013-05-17 23:15:10.290,0.813,P,nc71993336.mseed,55.40326690673828,55.40326690673828,D,E,2013-05-17T23:15:10.29000,None
