station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp
BK.GASB.00.HH,2013-05-17T23:14:24.840,4039,2013-05-17T23:15:05.230,0.799,P,nc71993336.mseed,1459.634521484375,1459.634521484375
BK.GASB.00.HH,2013-05-17T23:14:24.840,4847,2013-05-17T23:15:13.310,0.704,S,nc71993336.mseed,1849.29541015625,1849.29541015625
NC.GHM..EH,2013-05-17T23:14:24.840,4142,2013-05-17T23:15:06.260,0.954,P,nc71993336.mseed,90.17759704589844,90.17759704589844
NC.GHM..EH,2013-05-17T23:14:24.840,5059,2013-05-17T23:15:15.430,0.407,S,nc71993336.mseed,44.8223991394043,44.8223991394043
NC.GRO..EH,2013-05-17T23:14:24.840,3897,2013-05-17T23:15:03.810,0.978,P,nc71993336.mseed,102.46006774902344,102.46006774902344
NC.GRO..EH,2013-05-17T23:14:24.840,4523,2013-05-17T23:15:10.070,0.376,S,nc71993336.mseed,39.53993225097656,39.53993225097656
NC.GVV..EH,2013-05-17T23:14:24.840,3968,2013-05-17T23:15:04.520,0.98,P,nc71993336.mseed,171.6143341064453,171.6143341064453
NC.GVV..EH,2013-05-17T23:14:24.840,4654,2013-05-17T23:15:11.380,0.339,S,nc71993336.mseed,49.38566589355469,49.38566589355469
NC.KBN..EH,2013-05-17T23:14:24.840,3307,2013-05-17T23:14:57.910,0.949,P,nc71993336.mseed,757.9444580078125,757.9444580078125
NC.KBN..EH,2013-05-17T23:14:24.840,3500,2013-05-17T23:14:59.840,0.549,S,nc71993336.mseed,757.9444580078125,757.9444580078125
NC.KCPB..HH,2013-05-17T23:14:24.840,4167,2013-05-17T23:15:06.510,0.325,P,nc71993336.mseed,858.5267333984375,858.5267333984375
NC.KFP..EH,2013-05-17T23:14:24.840,3922,2013-05-17T23:15:04.060,0.893,P,nc71993336.mseed,90.9634017944336,90.9634017944336
NC.KHBB..HH,2013-05-17T23:14:24.840,5716,2013-05-17T23:15:22.000,0.513,S,nc71993336.mseed,217.3780059814453,217.3780059814453
NC.KIP..EH,2013-05-17T23:14:24.840,3764,2013-05-17T23:15:02.480,0.861,P,nc71993336.mseed,271.9612731933594,271.9612731933594
NC.KIP..EH,2013-05-17T23:14:24.840,4329,2013-05-17T23:15:08.130,0.661,S,nc71993336.mseed,271.9612731933594,271.9612731933594
