station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp,event_id,event_time,pn_quality
NC.KCR..SH,2008-01-28T20:06:13.900,3571,2008-01-28 20:06:49.610,0.942,P,nc40210243.mseed,332.9477233886719,332.9477233886719,nc40210243,2008-01-28 20:06:43.900,1
NC.KCS..SH,2008-01-28T20:06:13.900,3518,2008-01-28 20:06:49.080,0.983,P,nc40210243.mseed,598.4182739257812,598.4182739257812,nc40210243,2008-01-28 20:06:43.900,1
NC.KHBB..HH,2008-01-28T20:06:13.900,3767,2008-01-28 20:06:51.570,0.982,P,nc40210243.mseed,1965.645263671875,1965.645263671875,nc40210243,2008-01-28 20:06:43.900,1
NC.KHMB..HH,2008-01-28T20:06:13.900,3696,2008-01-28 20:06:50.860,0.987,P,nc40210243.mseed,2022.6817626953125,2022.6817626953125,nc40210243,2008-01-28 20:06:43.900,1
NC.LGP..SH,2008-01-28T20:06:13.900,4308,2008-01-28 20:06:56.980,0.965,P,nc40210243.mseed,646.003662109375,646.003662109375,nc40210243,2008-01-28 20:06:43.900,1
NC.LPG..SH,2008-01-28T20:06:13.900,12203,2008-01-28 20:08:15.930,0.972,P,nc40210243.mseed,170.03973388671875,170.03973388671875,nc40210243,2008-01-28 20:06:43.900,1
XQ.ME08.01.BH,2008-01-28T20:06:13.900,3963,2008-01-28 20:06:53.530,0.943,P,nc40210243.mseed,3155.24755859375,3155.24755859375,nc40210243,2008-01-28 20:06:43.900,1
XQ.ME09.01.BH,2008-01-28T20:06:13.900,4539,2008-01-28 20:06:59.290,0.95,P,nc40210243.mseed,775.8282470703125,775.8282470703125,nc40210243,2008-01-28 20:06:43.900,1
XQ.ME30.01.BH,2008-01-28T20:06:13.900,3620,2008-01-28 20:06:50.100,0.971,P,nc40210243.mseed,3475.33642578125,3475.33642578125,nc40210243,2008-01-28 20:06:43.900,1
XQ.ME39.01.BH,2008-01-28T20:06:13.900,3866,2008-01-28 20:06:52.560,0.922,P,nc40210243.mseed,2182.706787109375,2182.706787109375,nc40210243,2008-01-28 20:06:43.900,1
BK.JCC..HH,2008-04-04T17:10:56.150,3485,2008-04-04 17:11:31.000,0.981,P,nc40214567.mseed,4329.095703125,4329.095703125,nc40214567,2008-04-04 17:11:26.150,1
NC.KCR..SH,2008-04-04T17:10:56.150,3656,2008-04-04 17:11:32.710,0.829,P,nc40214567.mseed,1565.80908203125,1565.80908203125,nc40214567,2008-04-04 17:11:26.150,1
NC.KCS..SH,2008-04-04T17:10:56.150,3801,2008-04-04 17:11:34.160,0.973,P,nc40214567.mseed,965.060791015625,965.060791015625,nc40214567,2008-04-04 17:11:26.150,1
NC.KCT..HH,2008-04-04T17:10:56.150,3838,2008-04-04 17:11:34.530,0.972,P,nc40214567.mseed,4207.03564453125,4207.03564453125,nc40214567,2008-04-04 17:11:26.150,1
NC.KHBB..HH,2008-04-04T17:10:56.150,4055,2008-04-04 17:11:36.700,0.971,P,nc40214567.mseed,5173.7705078125,5173.7705078125,nc40214567,2008-04-04 17:11:26.150,1
NC.KHMB..HH,2008-04-04T17:10:56.150,3635,2008-04-04 17:11:32.500,0.958,P,nc40214567.mseed,26921.7421875,26921.7421875,nc40214567,2008-04-04 17:11:26.150,1
NC.KJJ..SH,2008-04-04T17:10:56.150,4027,2008-04-04 17:11:36.420,0.892,P,nc40214567.mseed,1256.44189453125,1256.44189453125,nc40214567,2008-04-04 17:11:26.150,1
NC.KMR..HH,2008-04-04T17:10:56.150,4025,2008-04-04 17:11:36.400,0.947,P,nc40214567.mseed,5649.39013671875,5649.39013671875,nc40214567,2008-04-04 17:11:26.150,1
NC.KOM..SH,2008-04-04T17:10:56.150,4286,2008-04-04 17:11:39.010,0.98,P,nc40214567.mseed,764.5506591796875,764.5506591796875,nc40214567,2008-04-04 17:11:26.150,1
NC.KRK..SH,2008-04-04T17:10:56.150,10226,2008-04-04 17:12:38.410,0.965,P,nc40214567.mseed,111.85213470458984,111.85213470458984,nc40214567,2008-04-04 17:11:26.150,1
NC.KRMB..HH,2008-04-04T17:10:56.150,4475,2008-04-04 17:11:40.900,0.981,P,nc40214567.mseed,483.9446716308594,483.9446716308594,nc40214567,2008-04-04 17:11:26.150,1
NC.KRP..HH,2008-04-04T17:10:56.150,3965,2008-04-04 17:11:35.800,0.957,P,nc40214567.mseed,1759.6815185546875,1759.6815185546875,nc40214567,2008-04-04 17:11:26.150,1
NC.KSM..SH,2008-04-04T17:10:56.150,4050,2008-04-04 17:11:36.650,0.857,P,nc40214567.mseed,1458.226806640625,1458.226806640625,nc40214567,2008-04-04 17:11:26.150,1
NC.KSXB..HH,2008-04-04T17:10:56.150,4903,2008-04-04 17:11:45.180,0.971,P,nc40214567.mseed,259.3788757324219,259.3788757324219,nc40214567,2008-04-04 17:11:26.150,1
NC.LBK..SH,2008-04-04T17:10:56.150,4779,2008-04-04 17:11:43.940,0.919,P,nc40214567.mseed,513.477294921875,513.477294921875,nc40214567,2008-04-04 17:11:26.150,1
NC.LGP..SH,2008-04-04T17:10:56.150,4525,2008-04-04 17:11:41.400,0.938,P,nc40214567.mseed,1082.58056640625,1082.58056640625,nc40214567,2008-04-04 17:11:26.150,1
NC.LSR..SH,2008-04-04T17:10:56.150,5259,2008-04-04 17:11:48.740,0.713,P,nc40214567.mseed,296.34625244140625,296.34625244140625,nc40214567,2008-04-04 17:11:26.150,1
XQ.ME03.01.BH,2008-04-04T17:10:56.150,4715,2008-04-04 17:11:43.300,0.952,P,nc40214567.mseed,445.375,445.375,nc40214567,2008-04-04 17:11:26.150,1
XQ.ME09.01.BH,2008-04-04T17:10:56.150,4704,2008-04-04 17:11:43.190,0.922,P,nc40214567.mseed,521.5194091796875,521.5194091796875,nc40214567,2008-04-04 17:11:26.150,1
XQ.ME29.01.BH,2008-04-04T17:10:56.150,4341,2008-04-04 17:11:39.560,0.926,P,nc40214567.mseed,5510.77099609375,5510.77099609375,nc40214567,2008-04-04 17:11:26.150,1
XQ.ME30.01.BH,2008-04-04T17:10:56.150,3698,2008-04-04 17:11:33.130,0.975,P,nc40214567.mseed,11503.591796875,11503.591796875,nc40214567,2008-04-04 17:11:26.150,1
XQ.ME31.01.BH,2008-04-04T17:10:56.150,3415,2008-04-04 17:11:30.300,0.965,P,nc40214567.mseed,14868.875,14868.875,nc40214567,2008-04-04 17:11:26.150,1
XQ.ME32.01.BH,2008-04-04T17:10:56.150,3461,2008-04-04 17:11:30.760,0.969,P,nc40214567.mseed,11310.1201171875,11310.1201171875,nc40214567,2008-04-04 17:11:26.150,1
XQ.ME33.01.BH,2008-04-04T17:10:56.150,3598,2008-04-04 17:11:32.130,0.938,P,nc40214567.mseed,5835.14794921875,5835.14794921875,nc40214567,2008-04-04 17:11:26.150,1
XQ.ME34.01.BH,2008-04-04T17:10:56.150,3654,2008-04-04 17:11:32.690,0.972,P,nc40214567.mseed,32403.18359375,32403.18359375,nc40214567,2008-04-04 17:11:26.150,1
XQ.ME35.01.BH,2008-04-04T17:10:56.150,3731,2008-04-04 17:11:33.460,0.958,P,nc40214567.mseed,5924.5263671875,5924.5263671875,nc40214567,2008-04-04 17:11:26.150,1
XQ.ME36.01.BH,2008-04-04T17:10:56.150,3971,2008-04-04 17:11:35.860,0.925,P,nc40214567.mseed,5525.439453125,5525.439453125,nc40214567,2008-04-04 17:11:26.150,1
XQ.ME37.01.BH,2008-04-04T17:10:56.150,3926,2008-04-04 17:11:35.410,0.925,P,nc40214567.mseed,1923.1744384765625,1923.1744384765625,nc40214567,2008-04-04 17:11:26.150,1
XQ.ME44.01.BH,2008-04-04T17:10:56.150,10079,2008-04-04 17:12:36.940,0.921,P,nc40214567.mseed,1101.9937744140625,1101.9937744140625,nc40214567,2008-04-04 17:11:26.150,1
NC.KCR..SH,2008-04-16T16:46:54.950,3682,2008-04-16 16:47:31.770,0.93,P,nc40215417.mseed,1604.5745849609375,1604.5745849609375,nc40215417,2008-04-16 16:47:24.950,1
NC.KCS..SH,2008-04-16T16:46:54.950,4202,2008-04-16 16:47:36.970,0.925,P,nc40215417.mseed,1545.007568359375,1545.007568359375,nc40215417,2008-04-16 16:47:24.950,1
NC.KCT..HH,2008-04-16T16:46:54.950,3690,2008-04-16 16:47:31.850,0.965,P,nc40215417.mseed,5411.3896484375,5411.3896484375,nc40215417,2008-04-16 16:47:24.950,1
NC.KJJ..SH,2008-04-16T16:46:54.950,3388,2008-04-16 16:47:28.830,0.978,P,nc40215417.mseed,1782.59716796875,1782.59716796875,nc40215417,2008-04-16 16:47:24.950,1
NC.KKP..SH,2008-04-16T16:46:54.950,4115,2008-04-16 16:47:36.100,0.949,P,nc40215417.mseed,683.88818359375,683.88818359375,nc40215417,2008-04-16 16:47:24.950,1
NC.KOM..SH,2008-04-16T16:46:54.950,5018,2008-04-16 16:47:45.130,0.907,P,nc40215417.mseed,153.37252807617188,153.37252807617188,nc40215417,2008-04-16 16:47:24.950,1
XQ.ME31.01.BH,2008-04-16T16:46:54.950,4074,2008-04-16 16:47:35.690,0.882,P,nc40215417.mseed,3090.258056640625,3090.258056640625,nc40215417,2008-04-16 16:47:24.950,1
