station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp
BK.JCC.00.HH,2013-11-20T18:35:07.050,3822,2013-11-20T18:35:45.270,0.95,P,nc72110581.mseed,11353.119140625,11353.119140625
BK.WDC.00.HH,2013-11-20T18:35:07.050,4630,2013-11-20T18:35:53.350,0.934,P,nc72110581.mseed,1222.1197509765625,1222.1197509765625
BK.YBH.00.HH,2013-11-20T18:35:07.050,4734,2013-11-20T18:35:54.390,0.893,P,nc72110581.mseed,4550.9091796875,4550.9091796875
NC.KCO..EH,2013-11-20T18:35:07.050,4560,2013-11-20T18:35:52.650,0.739,P,nc72110581.mseed,88.47146606445312,88.47146606445312
NC.KCR.02.EH,2013-11-20T18:35:07.050,4192,2013-11-20T18:35:48.970,0.725,P,nc72110581.mseed,84.5975341796875,84.5975341796875
NC.KCS..EH,2013-11-20T18:35:07.050,3967,2013-11-20T18:35:46.720,0.972,P,nc72110581.mseed,292.7582702636719,292.7582702636719
NC.KHBB..HH,2013-11-20T18:35:07.050,3870,2013-11-20T18:35:45.750,0.976,P,nc72110581.mseed,2125.60888671875,2125.60888671875
NC.KHMB..HH,2013-11-20T18:35:07.050,3549,2013-11-20T18:35:42.540,0.981,P,nc72110581.mseed,10136.76953125,10136.76953125
NC.KOM.02.EH,2013-11-20T18:35:07.050,3685,2013-11-20T18:35:43.900,0.959,P,nc72110581.mseed,631.905029296875,631.905029296875
NC.KPP..EH,2013-11-20T18:35:07.050,4286,2013-11-20T18:35:49.910,0.955,P,nc72110581.mseed,107.30693054199219,107.30693054199219
NC.KRMB..HH,2013-11-20T18:35:07.050,4115,2013-11-20T18:35:48.200,0.978,P,nc72110581.mseed,1006.6660766601562,1006.6660766601562
NC.KRP..HH,2013-11-20T18:35:07.050,3830,2013-11-20T18:35:45.350,0.858,P,nc72110581.mseed,1485.18408203125,1485.18408203125
NC.KSM.02.EH,2013-11-20T18:35:07.050,4607,2013-11-20T18:35:53.120,0.788,P,nc72110581.mseed,153.66873168945312,153.66873168945312
NC.KTR..EH,2013-11-20T18:35:07.050,4667,2013-11-20T18:35:53.720,0.78,P,nc72110581.mseed,26.343799591064453,26.343799591064453
NC.LAMB..EH,2013-11-20T18:35:07.050,4688,2013-11-20T18:35:53.930,0.869,P,nc72110581.mseed,77.6809310913086,77.6809310913086
NC.LBK..EH,2013-11-20T18:35:07.050,4262,2013-11-20T18:35:49.670,0.953,P,nc72110581.mseed,1074.503173828125,1074.503173828125
NC.LCSB..EH,2013-11-20T18:35:07.050,1,2013-11-20T18:35:07.060,0.795,P,nc72110581.mseed,128.37139892578125,128.37139892578125
NC.LGB.02.EH,2013-11-20T18:35:07.050,4989,2013-11-20T18:35:56.940,0.92,P,nc72110581.mseed,115.42853546142578,115.42853546142578
NC.LGM..EH,2013-11-20T18:35:07.050,5607,2013-11-20T18:36:03.120,0.762,P,nc72110581.mseed,113.87920379638672,113.87920379638672
NC.LGP..EH,2013-11-20T18:35:07.050,4074,2013-11-20T18:35:47.790,0.986,P,nc72110581.mseed,1720.439208984375,1720.439208984375
NC.LMI..EH,2013-11-20T18:35:07.050,5124,2013-11-20T18:35:58.290,0.725,P,nc72110581.mseed,54.84519958496094,54.84519958496094
NC.LPK..EH,2013-11-20T18:35:07.050,4600,2013-11-20T18:35:53.050,0.777,P,nc72110581.mseed,369.1354675292969,369.1354675292969
NC.LRB..EH,2013-11-20T18:35:07.050,5176,2013-11-20T18:35:58.810,0.831,P,nc72110581.mseed,41.11673355102539,41.11673355102539
NC.LSH.03.EH,2013-11-20T18:35:07.050,5066,2013-11-20T18:35:57.710,0.875,P,nc72110581.mseed,157.18927001953125,157.18927001953125
NC.LSR..EH,2013-11-20T18:35:07.050,4792,2013-11-20T18:35:54.970,0.817,P,nc72110581.mseed,94.2962646484375,94.2962646484375
NC.LVR..EH,2013-11-20T18:35:07.050,5209,2013-11-20T18:35:59.140,0.723,P,nc72110581.mseed,26.326932907104492,26.326932907104492
