station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp
7D.FS01B..BH,2013-05-17T23:14:24.840,11051,2013-05-17T23:16:15.350,0.976,P,nc71993336.mseed,3.9588549043401144e-06,3.9588549043401144e-06
7D.FS01B..BH,2013-05-17T23:14:24.840,11128,2013-05-17T23:16:16.120,0.907,S,nc71993336.mseed,3.9588549043401144e-06,3.9588549043401144e-06
7D.FS09B..BH,2013-05-17T23:14:24.840,3004,2013-05-17T23:14:54.880,0.38,S,nc71993336.mseed,8.991565891847131e-07,8.991565891847131e-07
BK.GASB.00.HH,2013-05-17T23:14:24.840,4039,2013-05-17T23:15:05.230,0.969,P,nc71993336.mseed,2.5286774985033844e-07,2.5286774985033844e-07
BK.GASB.00.HH,2013-05-17T23:14:24.840,4844,2013-05-17T23:15:13.280,0.712,S,nc71993336.mseed,2.5286774985033844e-07,2.5286774985033844e-07
BK.GASB.00.HH,2013-05-17T23:14:24.840,7015,2013-05-17T23:15:34.990,0.447,S,nc71993336.mseed,4.811618481426194e-08,4.811618481426194e-08
BK.WDC.00.HH,2013-05-17T23:14:24.840,11792,2013-05-17T23:16:22.760,0.518,P,nc71993336.mseed,1.4678054327532664e-08,1.4678054327532664e-08
BK.YBH.50.HH,2013-05-17T23:14:24.840,12324,2013-05-17T23:16:28.080,0.322,P,nc71993336.mseed,1.0373496728277587e-08,1.0373496728277587e-08
NC.GHM..EH,2013-05-17T23:14:24.840,4144,2013-05-17T23:15:06.280,0.917,P,nc71993336.mseed,2.3876020804891596e-07,2.3876020804891596e-07
NC.GHM..EH,2013-05-17T23:14:24.840,5059,2013-05-17T23:15:15.430,0.341,S,nc71993336.mseed,7.896309739408025e-08,7.896309739408025e-08
NC.GRO..EH,2013-05-17T23:14:24.840,3897,2013-05-17T23:15:03.810,0.96,P,nc71993336.mseed,2.555532034875796e-07,2.555532034875796e-07
NC.GRO..EH,2013-05-17T23:14:24.840,4525,2013-05-17T23:15:10.090,0.356,S,nc71993336.mseed,1.1053526804971625e-07,1.1053526804971625e-07
NC.GVV..EH,2013-05-17T23:14:24.840,3969,2013-05-17T23:15:04.530,0.974,P,nc71993336.mseed,4.4616552941079135e-07,4.4616552941079135e-07
NC.KBN..EH,2013-05-17T23:14:24.840,3307,2013-05-17T23:14:57.910,0.918,P,nc71993336.mseed,1.7094810118578607e-06,1.7094810118578607e-06
NC.KBN..EH,2013-05-17T23:14:24.840,3500,2013-05-17T23:14:59.840,0.572,S,nc71993336.mseed,1.7094810118578607e-06,1.7094810118578607e-06
NC.KCPB..HH,2013-05-17T23:14:24.840,4072,2013-05-17T23:15:05.560,0.432,P,nc71993336.mseed,4.5843546558899106e-07,4.5843546558899106e-07
NC.KCPB..HH,2013-05-17T23:14:24.840,4804,2013-05-17T23:15:12.880,0.336,S,nc71993336.mseed,4.913316615784424e-07,4.913316615784424e-07
NC.KFP..EH,2013-05-17T23:14:24.840,3923,2013-05-17T23:15:04.070,0.911,P,nc71993336.mseed,2.7129775048706506e-07,2.7129775048706506e-07
NC.KHBB..HH,2013-05-17T23:14:24.840,4668,2013-05-17T23:15:11.520,0.549,P,nc71993336.mseed,8.539936402485182e-08,8.539936402485182e-08
NC.KHBB..HH,2013-05-17T23:14:24.840,5720,2013-05-17T23:15:22.040,0.598,S,nc71993336.mseed,9.605901141185313e-08,9.605901141185313e-08
NC.KIP..EH,2013-05-17T23:14:24.840,3764,2013-05-17T23:15:02.480,0.823,P,nc71993336.mseed,2.583905427400168e-07,2.583905427400168e-07
NC.KIP..EH,2013-05-17T23:14:24.840,4332,2013-05-17T23:15:08.160,0.643,S,nc71993336.mseed,2.583905427400168e-07,2.583905427400168e-07
NC.KKP..EH,2013-05-17T23:14:24.840,3805,2013-05-17T23:15:02.890,0.944,P,nc71993336.mseed,2.7042258921028406e-07,2.7042258921028406e-07
NC.KKP..EH,2013-05-17T23:14:24.840,4535,2013-05-17T23:15:10.190,0.458,S,nc71993336.mseed,1.4243724422158266e-07,1.4243724422158266e-07
NC.KMR..HH,2013-05-17T23:14:24.840,4138,2013-05-17T23:15:06.220,0.541,P,nc71993336.mseed,4.3950757344646263e-07,4.3950757344646263e-07
NC.KPP..EH,2013-05-17T23:14:24.840,4004,2013-05-17T23:15:04.880,0.924,P,nc71993336.mseed,5.646033969242126e-07,5.646033969242126e-07
NC.KPP..EH,2013-05-17T23:14:24.840,4733,2013-05-17T23:15:12.170,0.372,S,nc71993336.mseed,2.0346135443105595e-07,2.0346135443105595e-07
NC.LBP..EH,2013-05-17T23:14:24.840,3975,2013-05-17T23:15:04.590,0.77,P,nc71993336.mseed,8.695131725744432e-08,8.695131725744432e-08
